Albany, Grover Cleveland, Democrat, 65.3
Allegany, Grover Cleveland, Democrat, 40.06
Broome, Grover Cleveland, Democrat, 48.43
Cattaraugus, Grover Cleveland, Democrat, 47.12
Cayuga, Grover Cleveland, Democrat, 51.33
Chautauqua, Grover Cleveland, Democrat, 50.85
Chemung, Grover Cleveland, Democrat, 58.36
Chenango, Grover Cleveland, Democrat, 46.15
Clinton, Charles J Folger, Republican, 54.35
Columbia, Grover Cleveland, Democrat, 64.27
Cortland, Grover Cleveland, Democrat, 46.9
Delaware, Grover Cleveland, Democrat, 48.37
Dutchess, Grover Cleveland, Democrat, 53.27
Erie, Grover Cleveland, Democrat, 57.37
Essex, Charles J Folger, Republican, 55.97
Franklin, Charles J Folger, Republican, 56.01
Fulton, Grover Cleveland, Democrat, 50.48
Genesee, Grover Cleveland, Democrat, 51.26
Greene, Grover Cleveland, Democrat, 58.07
Hamilton, Grover Cleveland, Democrat, 53.2
Herkimer, Grover Cleveland, Democrat, 54.08
Jefferson, Grover Cleveland, Democrat, 56.86
Kings, Grover Cleveland, Democrat, 68.86
Lewis, Grover Cleveland, Democrat, 59.26
Livingston, Grover Cleveland, Democrat, 48.59
Madison, Grover Cleveland, Democrat, 50.27
Monroe, Grover Cleveland, Democrat, 50.95
Montgomery, Grover Cleveland, Democrat, 56.77
New York, Grover Cleveland, Democrat, 71.45
Niagara, Grover Cleveland, Democrat, 59.84
Oneida, Grover Cleveland, Democrat, 58.05
Onondaga, Charles J Folger, Republican, 48.97
Ontario, Grover Cleveland, Democrat, 50.88
Orange, Grover Cleveland, Democrat, 55.05
Orleans, Grover Cleveland, Democrat, 49.99
Oswego, Grover Cleveland, Democrat, 48.32
Otsego, Grover Cleveland, Democrat, 51.66
Putnam, Charles J Folger, Republican, 51.47
Queens, Grover Cleveland, Democrat, 68.11
Rensselaer, Grover Cleveland, Democrat, 56.36
Richmond, Grover Cleveland, Democrat, 67.98
Rockland, Grover Cleveland, Democrat, 63.88
Saratoga, Grover Cleveland, Democrat, 48.84
Schenectady, Grover Cleveland, Democrat, 50.26
Schoharie, Grover Cleveland, Democrat, 68.11
Schuyler, Grover Cleveland, Democrat, 48.59
Seneca, Grover Cleveland, Democrat, 56.51
St. Lawrence, Charles J Folger, Republican, 62.79
Steuben, Grover Cleveland, Democrat, 51.94
Suffolk, Grover Cleveland, Democrat, 55.73
Sullivan, Grover Cleveland, Democrat, 55.43
Tioga, Grover Cleveland, Democrat, 47.97
Tompkins, Grover Cleveland, Democrat, 51.04
Ulster, Grover Cleveland, Democrat, 55.33
Warren, Grover Cleveland, Democrat, 47.36
Washington, Charles J Folger, Republican, 57.4
Wayne, Grover Cleveland, Democrat, 45.52
Westchester, Grover Cleveland, Democrat, 63.96
Wyoming, Grover Cleveland, Democrat, 49.25
Yates, Charles J Folger, Republican, 51.82
