Plumas, Pat Brown, Democrat, 66.44
Trinity, Pat Brown, Democrat, 64.58
Solano, Pat Brown, Democrat, 64.31
Shasta, Pat Brown, Democrat, 63.97
Lassen, Pat Brown, Democrat, 62.5
San Francisco, Pat Brown, Democrat, 62.19
Sacramento, Pat Brown, Democrat, 60.69
Yolo, Pat Brown, Democrat, 60.67
Madera, Pat Brown, Democrat, 60.46
Placer, Pat Brown, Democrat, 59.98
Siskiyou, Pat Brown, Democrat, 59.98
Kings, Pat Brown, Democrat, 59.03
Amador, Pat Brown, Democrat, 58.16
Alameda, Pat Brown, Democrat, 57.98
Sierra, Pat Brown, Democrat, 57.98
Fresno, Pat Brown, Democrat, 57.78
Merced, Pat Brown, Democrat, 57.62
El Dorado, Pat Brown, Democrat, 56.25
Contra Costa, Pat Brown, Democrat, 55.49
Yuba, Pat Brown, Democrat, 53.77
Stanislaus, Pat Brown, Democrat, 53.64
Napa, Pat Brown, Democrat, 53.5
Ventura, Pat Brown, Democrat, 53.46
San Luis Obispo, Pat Brown, Democrat, 52.86
Tuolumne, Pat Brown, Democrat, 52.48
Humboldt, Pat Brown, Democrat, 52.19
Kern, Pat Brown, Democrat, 52.1
Colusa, Pat Brown, Democrat, 52.06
Del Norte, Pat Brown, Democrat, 51.97
San Mateo, Pat Brown, Democrat, 51.88
Los Angeles, Pat Brown, Democrat, 51.83
Modoc, Pat Brown, Democrat, 51.73
San Bernardino, Pat Brown, Democrat, 51.68
Mendocino, Pat Brown, Democrat, 51.5
Tehama, Pat Brown, Democrat, 51.36
Santa Clara, Pat Brown, Democrat, 51.2
Nevada, Pat Brown, Democrat, 51.02
San Joaquin, Pat Brown, Democrat, 49.4
Sonoma, Richard Nixon, Republican, 49.65
Tulare, Richard Nixon, Republican, 49.71
Glenn, Richard Nixon, Republican, 49.5
San Benito, Richard Nixon, Republican, 50.46
Butte, Richard Nixon, Republican, 50.79
Mariposa, Richard Nixon, Republican, 50.37
Santa Barbara, Richard Nixon, Republican, 51.24
Inyo, Richard Nixon, Republican, 50.99
Riverside, Richard Nixon, Republican, 51.86
Monterey, Richard Nixon, Republican, 52.52
Calaveras, Richard Nixon, Republican, 51.75
Marin, Richard Nixon, Republican, 53.67
Santa Cruz, Richard Nixon, Republican, 53.28
Lake, Richard Nixon, Republican, 54.15
Imperial, Richard Nixon, Republican, 55.01
San Diego, Richard Nixon, Republican, 55.83
Sutter, Richard Nixon, Republican, 57.59
Orange, Richard Nixon, Republican, 59.35
Mono, Richard Nixon, Republican, 62.18
Alpine, Richard Nixon, Republican, 63.21
