Baker, David Frohnmayer, Republican, 48.4
Benton, Barbara Roberts, Democrat, 44.1
Clackamas, Barbara Roberts, Democrat, 47.9
Clatsop, Barbara Roberts, Democrat, 50
Columbia, David Frohnmayer, Republican, 40.3
Coos, Barbara Roberts, Democrat, 44.4
Crook, David Frohnmayer, Republican, 54.6
Curry, David Frohnmayer, Republican, 48.2
Deschutes, David Frohnmayer, Republican, 48
Douglas, David Frohnmayer, Republican, 46.2
Gilliam, David Frohnmayer, Republican, 42.7
Grant, David Frohnmayer, Republican, 40.4
Harney, David Frohnmayer, Republican, 51.6
Hood River, David Frohnmayer, Republican, 43.3
Jackson, David Frohnmayer, Republican, 47
Jefferson, David Frohnmayer, Republican, 51.2
Josephine, David Frohnmayer, Republican, 50
Klamath, David Frohnmayer, Republican, 55.4
Lake, David Frohnmayer, Republican, 52.6
Lane, Barbara Roberts, Democrat, 45.2
Lincoln, Barbara Roberts, Democrat, 52.3
Linn, David Frohnmayer, Republican, 41.7
Malheur, David Frohnmayer, Republican, 48.1
Marion, David Frohnmayer, Republican, 41.6
Morrow, David Frohnmayer, Republican, 41.5
Multnomah, Barbara Roberts, Democrat, 59.4
Polk, David Frohnmayer, Republican, 39.7
Sherman, David Frohnmayer, Republican, 47.6
Tillamook, Barbara Roberts, Democrat, 49.1
Umatilla, David Frohnmayer, Republican, 41.5
Union, David Frohnmayer, Republican, 41.6
Wallowa, David Frohnmayer, Republican, 36.2
Wasco, Barbara Roberts, Democrat, 44.4
Washington, Barbara Roberts, Democrat, 48.1
Wheeler, David Frohnmayer, Republican, 50.7
Yamhill, Barbara Roberts, Democrat, 43
