Anderson, Ned McWherter, Democrat, 59.3
Bedford, Ned McWherter, Democrat, 71.3
Benton, Ned McWherter, Democrat, 60.9
Bledsoe, Ned McWherter, Democrat, 54
Blount, Ned McWherter, Democrat, 50.3
Bradley, Ned McWherter, Democrat, 48.3
Campbell, Ned McWherter, Democrat, 64.1
Cannon, Ned McWherter, Democrat, 67.5
Carroll, Ned McWherter, Democrat, 68.1
Carter, Ned McWherter, Democrat, 56.7
Cheatham, Ned McWherter, Democrat, 64.1
Chester, Ned McWherter, Democrat, 55.6
Claiborne, Ned McWherter, Democrat, 63.2
Clay, Ned McWherter, Democrat, 67
Cocke, Ned McWherter, Democrat, 56.7
Coffee, Ned McWherter, Democrat, 59.1
Crockett, Ned McWherter, Democrat, 60.6
Cumberland, Ned McWherter, Democrat, 49.8
Davidson, Ned McWherter, Democrat, 65.8
Decatur, Ned McWherter, Democrat, 59
DeKalb, Ned McWherter, Democrat, 65
Dickson, Ned McWherter, Democrat, 68.6
Dyer, Ned McWherter, Democrat, 59.2
Fayette, Ned McWherter, Democrat, 60.6
Fentress, Ned McWherter, Democrat, 56.5
Franklin, Ned McWherter, Democrat, 69.6
Gibson, Ned McWherter, Democrat, 72.7
Giles, Ned McWherter, Democrat, 76.4
Grainger, Dwight Henry, Republican, 48.8
Greene, Ned McWherter, Democrat, 53.5
Grundy, Ned McWherter, Democrat, 68.7
Hamblen, Ned McWherter, Democrat, 54
Hamilton, Ned McWherter, Democrat, 58.2
Hancock, Ned McWherter, Democrat, 62.7
Hardeman, Ned McWherter, Democrat, 68.9
Hardin, Ned McWherter, Democrat, 59.8
Hawkins, Ned McWherter, Democrat, 61.7
Haywood, Ned McWherter, Democrat, 69.9
Henderson, Dwight Henry, Republican, 53.4
71.9, Ned McWherter, Democrat, 25.6
Hickman, Ned McWherter, Democrat, 73.4
Houston, Ned McWherter, Democrat, 74.8
Humphreys, Ned McWherter, Democrat, 73.7
Jackson, Ned McWherter, Democrat, 63.9
Jefferson, Ned McWherter, Democrat, 49.7
Johnson, Ned McWherter, Democrat, 59.3
Knox, Ned McWherter, Democrat, 55.4
Lake, Ned McWherter, Democrat, 71.5
Lauderdale, Ned McWherter, Democrat, 60.7
Lawrence, Ned McWherter, Democrat, 68.4
Lewis, Ned McWherter, Democrat, 71
Lincoln, Ned McWherter, Democrat, 75.2
Loudon, Tie, Tie, 48.5
McMinn, Dwight Henry, Republican, 52.5
McNairy, Ned McWherter, Democrat, 60.2
Macon, Ned McWherter, Democrat, 62.4
Madison, Ned McWherter, Democrat, 64.1
Marion, Ned McWherter, Democrat, 56.5
Marshall, Ned McWherter, Democrat, 65.4
Maury, Ned McWherter, Democrat, 64.3
Meigs, Dwight Henry, Republican, 49.7
Monroe, Ned McWherter, Democrat, 49.1
Montgomery, Ned McWherter, Democrat, 77.3
Moore, Ned McWherter, Democrat, 66.8
Morgan, Ned McWherter, Democrat, 61.5
Obion, Ned McWherter, Democrat, 65.3
Overton, Ned McWherter, Democrat, 67.1
Perry, Ned McWherter, Democrat, 69
Pickett, Ned McWherter, Democrat, 52.7
Polk, Ned McWherter, Democrat, 61.8
Putnam, Ned McWherter, Democrat, 54.6
Rhea, Ned McWherter, Democrat, 57
Roane, Ned McWherter, Democrat, 58.2
Robertson, Ned McWherter, Democrat, 70.3
Rutherford, Ned McWherter, Democrat, 63.3
Scott, Ned McWherter, Democrat, 60.2
Sequatchie, Ned McWherter, Democrat, 58.6
Sevier, Dwight Henry, Republican, 51.2
Shelby, Ned McWherter, Democrat, 58.9
Smith, Ned McWherter, Democrat, 74.1
Stewart, Ned McWherter, Democrat, 74.5
Sullivan, Ned McWherter, Democrat, 61.8
Sumner, Ned McWherter, Democrat, 65.8
Tipton, Ned McWherter, Democrat, 50.7
Trousdale, Ned McWherter, Democrat, 81.8
Unicoi, Ned McWherter, Democrat, 66
Union, Ned McWherter, Democrat, 50.4
Van Buren, Ned McWherter, Democrat, 71.4
Warren, Ned McWherter, Democrat, 70.3
Washington, Ned McWherter, Democrat, 64.6
Wayne, Ned McWherter, Democrat, 51.1
Weakley, Ned McWherter, Democrat, 72.5
White, Ned McWherter, Democrat, 63.4
Williamson, Ned McWherter, Democrat, 55.3
Wilson, Ned McWherter, Democrat, 67.2
