Adair, Mel Carnahan, Democrat, 52.7
Andrew, Mel Carnahan, Democrat, 50
Atchison, William L Webster, Republican, 50.7
Audrain, Mel Carnahan, Democrat, 56.8
Barry, William L Webster, Republican, 52.6
Barton, William L Webster, Republican, 64.8
Bates, Mel Carnahan, Democrat, 57.9
Benton, Mel Carnahan, Democrat, 54.3
Bollinger, William L Webster, Republican, 55
Boone, Mel Carnahan, Democrat, 61.7
Buchanan, Mel Carnahan, Democrat, 57.4
Butler, Mel Carnahan, Democrat, 50.8
Caldwell, Mel Carnahan, Democrat, 54.1
Callaway, Mel Carnahan, Democrat, 60.6
Camden, Mel Carnahan, Democrat, 51.7
Cape Girardeau, William L Webster, Republican, 54.4
Carroll, Mel Carnahan, Democrat, 52.5
Carter, Mel Carnahan, Democrat, 56.2
Cass, Mel Carnahan, Democrat, 55.1
Cedar, William L Webster, Republican, 51.9
Chariton, Mel Carnahan, Democrat, 60.5
Christian, William L Webster, Republican, 52.8
Clark, Mel Carnahan, Democrat, 56.1
Clay, Mel Carnahan, Democrat, 59.5
Clinton, Mel Carnahan, Democrat, 59.5
Cole, Mel Carnahan, Democrat, 54.2
Cooper, Mel Carnahan, Democrat, 51.9
Crawford, Mel Carnahan, Democrat, 57.8
Dade, William L Webster, Republican, 53.3
Dallas, Mel Carnahan, Democrat, 51
Daviess, Mel Carnahan, Democrat, 56.7
DeKalb, Mel Carnahan, Democrat, 55
Dent, Mel Carnahan, Democrat, 55.7
Douglas, William L Webster, Republican, 57.1
Dunklin, Mel Carnahan, Democrat, 60.6
Franklin, Mel Carnahan, Democrat, 57.5
Gasconade, William L Webster, Republican, 52.7
Gentry, Mel Carnahan, Democrat, 55.6
Greene, Mel Carnahan, Democrat, 50.7
Grundy, Mel Carnahan, Democrat, 54.1
Harrison, Mel Carnahan, Democrat, 51.8
Henry, Mel Carnahan, Democrat, 64.3
Hickory, Mel Carnahan, Democrat, 59.2
Holt, William L Webster, Republican, 54.8
Howard, Mel Carnahan, Democrat, 60.3
Howell, Mel Carnahan, Democrat, 51.7
Iron, Mel Carnahan, Democrat, 62.9
Jackson, Mel Carnahan, Democrat, 65.1
Jasper, William L Webster, Republican, 65.1
Jefferson, Mel Carnahan, Democrat, 63.2
Johnson, Mel Carnahan, Democrat, 57.2
Knox, Mel Carnahan, Democrat, 56.2
Laclede, William L Webster, Republican, 53
Lafayette, Mel Carnahan, Democrat, 54.9
Lawrence, William L Webster, Republican, 51.5
Lewis, Mel Carnahan, Democrat, 56.7
Lincoln, Mel Carnahan, Democrat, 60.1
Linn, Mel Carnahan, Democrat, 59.1
Livingston, Mel Carnahan, Democrat, 56
McDonald, William L Webster, Republican, 57.9
Macon, Mel Carnahan, Democrat, 59.6
Madison, Mel Carnahan, Democrat, 54.4
Maries, Mel Carnahan, Democrat, 60.2
Marion, Mel Carnahan, Democrat, 55.2
Mercer, Mel Carnahan, Democrat, 55.5
Miller, William L Webster, Republican, 52.5
Mississippi, Mel Carnahan, Democrat, 58.1
Moniteau, Mel Carnahan, Democrat, 51.7
Monroe, Mel Carnahan, Democrat, 63.4
Montgomery, Mel Carnahan, Democrat, 53
Morgan, Mel Carnahan, Democrat, 50.6
New Madrid, Mel Carnahan, Democrat, 61
Newton, William L Webster, Republican, 61
Nodaway, Mel Carnahan, Democrat, 54.2
Oregon, Mel Carnahan, Democrat, 60.7
Osage, Mel Carnahan, Democrat, 53.3
Ozark, William L Webster, Republican, 53.2
Pemiscot, Mel Carnahan, Democrat, 65.2
Perry, William L Webster, Republican, 56.7
Pettis, Mel Carnahan, Democrat, 52.7
Phelps, Mel Carnahan, Democrat, 59.6
Pike, Mel Carnahan, Democrat, 61.5
Platte, Mel Carnahan, Democrat, 57.2
Polk, William L Webster, Republican, 50.1
Pulaski, Mel Carnahan, Democrat, 53.9
Putnam, William L Webster, Republican, 57
Ralls, Mel Carnahan, Democrat, 61.7
Randolph, Mel Carnahan, Democrat, 61.4
Ray, Mel Carnahan, Democrat, 62.4
Reynolds, Mel Carnahan, Democrat, 67.6
Ripley, Mel Carnahan, Democrat, 54.5
St. Charles, Mel Carnahan, Democrat, 55.5
St. Clair, Mel Carnahan, Democrat, 56.6
St. Francois, Mel Carnahan, Democrat, 60.6
St. Louis County, Mel Carnahan, Democrat, 60.8
Ste. Genevieve, Mel Carnahan, Democrat, 66
Saline, Mel Carnahan, Democrat, 64.1
Schuyler, Mel Carnahan, Democrat, 55.6
Scotland, Mel Carnahan, Democrat, 55.8
Scott, Mel Carnahan, Democrat, 52.7
Shannon, Mel Carnahan, Democrat, 61.7
Shelby, Mel Carnahan, Democrat, 55.9
Stoddard, Mel Carnahan, Democrat, 53.3
Stone, William L Webster, Republican, 51.4
Sullivan, Mel Carnahan, Democrat, 52.3
Taney, William L Webster, Republican, 53.8
Texas, Mel Carnahan, Democrat, 54
Vernon, Mel Carnahan, Democrat, 56.4
Warren, Mel Carnahan, Democrat, 54.1
Washington, Mel Carnahan, Democrat, 60.4
Wayne, Mel Carnahan, Democrat, 57.3
Webster, Mel Carnahan, Democrat, 50.8
Worth, Mel Carnahan, Democrat, 53.4
Wright, William L Webster, Republican, 56.4
St. Louis City, Mel Carnahan, Democrat, 77.2
