Apache, Eddie Basha, Democrat, 72.7
Cochise, Fife Symington, Republican, 57.1
Coconino, Eddie Basha, Democrat, 53
Gila, Eddie Basha, Democrat, 50.9
Graham, Fife Symington, Republican, 58.5
Greenlee, Fife Symington, Republican, 51.8
La Paz, Fife Symington, Republican, 49.5
Maricopa, Fife Symington, Republican, 54.3
Mohave, Fife Symington, Republican, 58.7
Navajo, Eddie Basha, Democrat, 53.7
Pima, Fife Symington, Republican, 49.3
Pinal, Eddie Basha, Democrat, 52.9
Santa Cruz, Eddie Basha, Democrat, 57.3
Yavapai, Fife Symington, Republican, 60
Yuma, Fife Symington, Republican, 64.1
