Aitkin, Arne Carlson, Republican, 55.1
Anoka, Arne Carlson, Republican, 65.5
Becker, Arne Carlson, Republican, 65.9
Beltrami, Arne Carlson, Republican, 52.5
Benton, Arne Carlson, Republican, 61.6
Big Stone, Arne Carlson, Republican, 50.2
Blue Earth, Arne Carlson, Republican, 57.5
Brown, Arne Carlson, Republican, 67.8
Carlton, John Marty, Democrat, 51.1
Carver, Arne Carlson, Republican, 76.3
Cass, Arne Carlson, Republican, 63.4
Chippewa, Arne Carlson, Republican, 61.3
Chisago, Arne Carlson, Republican, 64.4
Clay, Arne Carlson, Republican, 69.7
Clearwater, Arne Carlson, Republican, 56.6
Cook, Arne Carlson, Republican, 56.9
Cottonwood, Arne Carlson, Republican, 60.3
Crow Wing, Arne Carlson, Republican, 63.6
Dakota, Arne Carlson, Republican, 71.3
Dodge, Arne Carlson, Republican, 69.3
Douglas, Arne Carlson, Republican, 65.4
Faribault, Arne Carlson, Republican, 65.9
Fillmore, Arne Carlson, Republican, 71.5
Freeborn, Arne Carlson, Republican, 63.8
Goodhue, Arne Carlson, Republican, 70.5
Grant, Arne Carlson, Republican, 57
Hennepin, Arne Carlson, Republican, 65.6
Houston, Arne Carlson, Republican, 66.3
Hubbard, Arne Carlson, Republican, 61.1
Isanti, Arne Carlson, Republican, 61
Itasca, Arne Carlson, Republican, 50.3
Jackson, Arne Carlson, Republican, 58.9
Kanabec, Arne Carlson, Republican, 61.1
Kandiyohi, Arne Carlson, Republican, 60.5
Kittson, Arne Carlson, Republican, 54
Koochiching, Arne Carlson, Republican, 49.5
Lac qui Parle, Arne Carlson, Republican, 53.4
Lake, John Marty, Democrat, 51.9
Lake of the Woods, Arne Carlson, Republican, 59.4
Le Sueur, Arne Carlson, Republican, 59.9
Lincoln, Arne Carlson, Republican, 55.8
Lyon, Arne Carlson, Republican, 63
McLeod, Arne Carlson, Republican, 72.4
Mahnomen, Arne Carlson, Republican, 59.4
Marshall, Arne Carlson, Republican, 55.3
Martin, Arne Carlson, Republican, 68.4
Meeker, Arne Carlson, Republican, 64.2
Mille Lacs, Arne Carlson, Republican, 61.3
Morrison, Arne Carlson, Republican, 54.7
Mower, Arne Carlson, Republican, 55.5
Murray, Arne Carlson, Republican, 55.4
Nicollet, Arne Carlson, Republican, 59.7
Nobles, Arne Carlson, Republican, 59.4
Norman, Arne Carlson, Republican, 61.3
Olmsted, Arne Carlson, Republican, 75.5
Otter Tail, Arne Carlson, Republican, 66.8
Pennington, Arne Carlson, Republican, 56.4
Pine, Arne Carlson, Republican, 54.3
Pipestone, Arne Carlson, Republican, 57.8
Polk, Arne Carlson, Republican, 59.9
Pope, Arne Carlson, Republican, 61.1
Ramsey, Arne Carlson, Republican, 59.5
Red Lake, Arne Carlson, Republican, 50.7
Redwood, Arne Carlson, Republican, 71
Renville, Arne Carlson, Republican, 64.3
Rice, Arne Carlson, Republican, 57.9
Rock, Arne Carlson, Republican, 60.4
Roseau, Arne Carlson, Republican, 59.8
St. Louis, John Marty, Democrat, 53
Scott, Arne Carlson, Republican, 70.8
Sherburne, Arne Carlson, Republican, 67
Sibley, Arne Carlson, Republican, 68
Stearns, Arne Carlson, Republican, 63.3
Steele, Arne Carlson, Republican, 69.7
Stevens, Arne Carlson, Republican, 59
Swift, Arne Carlson, Republican, 49.4
Todd, Arne Carlson, Republican, 58.3
Traverse, Arne Carlson, Republican, 56.7
Wabasha, Arne Carlson, Republican, 66.7
Wadena, Arne Carlson, Republican, 61.2
Waseca, Arne Carlson, Republican, 65.6
Washington, Arne Carlson, Republican, 69.7
Watonwan, Arne Carlson, Republican, 59.9
Wilkin, Arne Carlson, Republican, 71.5
Winona, Arne Carlson, Republican, 61.7
Wright, Arne Carlson, Republican, 66.8
Yellow Medicine, Arne Carlson, Republican, 57.3
