Churchill, Jim Gibbons, Republican, 51.5
Clark, Bob Miller, Democrat, 58.4
Douglas, Jim Gibbons, Republican, 49.1
Elko, Jim Gibbons, Republican, 61.3
Esmeralda, Jim Gibbons, Republican, 58
Eureka, Jim Gibbons, Republican, 61.2
Humboldt, Jim Gibbons, Republican, 52.6
Lander, Jim Gibbons, Republican, 55.5
Lincoln, Jim Gibbons, Republican, 57.5
Lyon, Jim Gibbons, Republican, 47.5
Mineral, Bob Miller, Democrat, 55.2
Nye, Jim Gibbons, Republican, 48.3
Pershing, Jim Gibbons, Republican, 51.8
Storey, Bob Miller, Democrat, 50.2
Washoe, Bob Miller, Democrat, 49
White Pine, Jim Gibbons, Republican, 52.1
Carson City, Jim Gibbons, Republican, 50.2
