Adams, George Voinovich, Republican, 70.9
Allen, George Voinovich, Republican, 76.5
Ashland, George Voinovich, Republican, 79.8
Ashtabula, George Voinovich, Republican, 68.4
Athens, George Voinovich, Republican, 56
Auglaize, George Voinovich, Republican, 77.3
Belmont, George Voinovich, Republican, 51.3
Brown, George Voinovich, Republican, 72.3
Butler, George Voinovich, Republican, 78.2
Carroll, George Voinovich, Republican, 62.5
Champaign, George Voinovich, Republican, 76
Clark, George Voinovich, Republican, 71.1
Clermont, George Voinovich, Republican, 80.2
Clinton, George Voinovich, Republican, 79
Columbiana, George Voinovich, Republican, 60.9
Coshocton, George Voinovich, Republican, 66.8
Crawford, George Voinovich, Republican, 75.7
Cuyahoga, George Voinovich, Republican, 70.6
Darke, George Voinovich, Republican, 76.2
Defiance, George Voinovich, Republican, 73.9
Delaware, George Voinovich, Republican, 78
Erie, George Voinovich, Republican, 69.6
Fairfield, George Voinovich, Republican, 75.1
Fayette, George Voinovich, Republican, 76.9
Franklin, George Voinovich, Republican, 70.1
Fulton, George Voinovich, Republican, 80.6
Gallia, George Voinovich, Republican, 67.8
Geauga, George Voinovich, Republican, 84
Greene, George Voinovich, Republican, 77.6
Guernsey, George Voinovich, Republican, 64.6
Hamilton, George Voinovich, Republican, 76.3
Hancock, George Voinovich, Republican, 77.7
Hardin, George Voinovich, Republican, 74
Harrison, Rob Burch, Democrat, 52.7
Henry, George Voinovich, Republican, 81.3
Highland, George Voinovich, Republican, 74.7
Hocking, George Voinovich, Republican, 62.7
Holmes, George Voinovich, Republican, 79.5
Huron, George Voinovich, Republican, 70.4
Jackson, George Voinovich, Republican, 72
Jefferson, Rob Burch, Democrat, 57.7
Knox, George Voinovich, Republican, 73.8
Lake, George Voinovich, Republican, 78.6
Lawrence, George Voinovich, Republican, 68.3
Licking, George Voinovich, Republican, 71.8
Logan, George Voinovich, Republican, 77.3
Lorain, George Voinovich, Republican, 69.4
Lucas, George Voinovich, Republican, 68.8
Madison, George Voinovich, Republican, 74.9
Mahoning, George Voinovich, Republican, 65.9
Marion, George Voinovich, Republican, 71.3
Medina, George Voinovich, Republican, 79.7
Meigs, George Voinovich, Republican, 67.1
Mercer, George Voinovich, Republican, 70.4
Miami, George Voinovich, Republican, 76.3
Monroe, George Voinovich, Republican, 50.2
Montgomery, George Voinovich, Republican, 72.1
Morgan, George Voinovich, Republican, 70.8
Morrow, George Voinovich, Republican, 70.8
Muskingum, George Voinovich, Republican, 73.5
Noble, George Voinovich, Republican, 65.3
Ottawa, George Voinovich, Republican, 71.9
Paulding, George Voinovich, Republican, 67.3
Perry, George Voinovich, Republican, 61.2
Pickaway, George Voinovich, Republican, 73.1
Pike, George Voinovich, Republican, 58
Portage, George Voinovich, Republican, 69.8
Preble, George Voinovich, Republican, 74.3
Putnam, George Voinovich, Republican, 79.5
Richland, George Voinovich, Republican, 72.7
Ross, George Voinovich, Republican, 67.7
Sandusky, George Voinovich, Republican, 76.1
Scioto, George Voinovich, Republican, 63.5
Seneca, George Voinovich, Republican, 75.9
Shelby, George Voinovich, Republican, 75.5
Stark, George Voinovich, Republican, 72.7
Summit, George Voinovich, Republican, 71.7
Trumbull, George Voinovich, Republican, 63.6
Tuscarawas, George Voinovich, Republican, 53.2
Union, George Voinovich, Republican, 76.1
Van Wert, George Voinovich, Republican, 75.6
Vinton, George Voinovich, Republican, 61.4
Warren, George Voinovich, Republican, 81.9
Washington, George Voinovich, Republican, 72.6
Wayne, George Voinovich, Republican, 78.4
Williams, George Voinovich, Republican, 76.4
Wood, George Voinovich, Republican, 74.1
Wyandot, George Voinovich, Republican, 79.5
