Arkansas, Mike Huckabee, Republican, 55.6
Ashley, Mike Huckabee, Republican, 56.1
Baxter, Mike Huckabee, Republican, 65.8
Benton, Mike Huckabee, Republican, 72.3
Boone, Mike Huckabee, Republican, 70.7
Bradley, Mike Huckabee, Republican, 53
Calhoun, Mike Huckabee, Republican, 60.2
Carroll, Mike Huckabee, Republican, 64.2
Chicot, Bill Bristow, Democrat, 53.6
Clark, Mike Huckabee, Republican, 54
Clay, Bill Bristow, Democrat, 50.5
Cleburne, Mike Huckabee, Republican, 65.1
Cleveland, Mike Huckabee, Republican, 60.3
Columbia, Mike Huckabee, Republican, 71.3
Conway, Mike Huckabee, Republican, 59
Craighead, Mike Huckabee, Republican, 49.2
Crawford, Mike Huckabee, Republican, 70.8
Crittenden, Mike Huckabee, Republican, 52.2
Cross, Mike Huckabee, Republican, 50.7
Dallas, Mike Huckabee, Republican, 57.3
Desha, Mike Huckabee, Republican, 51.6
Drew, Mike Huckabee, Republican, 56.6
Faulkner, Mike Huckabee, Republican, 65.5
Franklin, Mike Huckabee, Republican, 62.1
Fulton, Mike Huckabee, Republican, 50.6
Garland, Mike Huckabee, Republican, 61.6
Grant, Mike Huckabee, Republican, 62.1
Greene, Mike Huckabee, Republican, 54.6
Hempstead, Mike Huckabee, Republican, 61.2
Hot Spring, Mike Huckabee, Republican, 52.7
Howard, Mike Huckabee, Republican, 55.4
Independence, Mike Huckabee, Republican, 52.2
Izard, Mike Huckabee, Republican, 52
Jackson, Bill Bristow, Democrat, 54.4
Jefferson, Mike Huckabee, Republican, 52.3
Johnson, Mike Huckabee, Republican, 63.6
Lafayette, Mike Huckabee, Republican, 54.7
Lawrence, Bill Bristow, Democrat, 59.3
Lee, Bill Bristow, Democrat, 51.9
Lincoln, Mike Huckabee, Republican, 51.6
Little River, Mike Huckabee, Republican, 51.1
Logan, Mike Huckabee, Republican, 63.8
Lonoke, Mike Huckabee, Republican, 69.5
Madison, Mike Huckabee, Republican, 63.9
Marion, Mike Huckabee, Republican, 62.1
Miller, Mike Huckabee, Republican, 64.6
Mississippi, Mike Huckabee, Republican, 50.8
Monroe, Mike Huckabee, Republican, 55
Montgomery, Mike Huckabee, Republican, 67.3
Nevada, Mike Huckabee, Republican, 56
Newton, Mike Huckabee, Republican, 63
Ouachita, Mike Huckabee, Republican, 53.2
Perry, Mike Huckabee, Republican, 63.8
Phillips, Mike Huckabee, Republican, 49.7
Pike, Mike Huckabee, Republican, 68.6
Poinsett, Bill Bristow, Democrat, 53.6
Polk, Mike Huckabee, Republican, 66.5
Pope, Mike Huckabee, Republican, 69.4
Prairie, Mike Huckabee, Republican, 61.1
Pulaski, Mike Huckabee, Republican, 53.3
Randolph, Bill Bristow, Democrat, 50.6
St. Francis, Bill Bristow, Democrat, 53.3
Saline, Mike Huckabee, Republican, 66.6
Scott, Mike Huckabee, Republican, 58.6
Searcy, Mike Huckabee, Republican, 69.5
Sebastian, Mike Huckabee, Republican, 70
Sevier, Mike Huckabee, Republican, 54.2
Sharp, Mike Huckabee, Republican, 54
Stone, Mike Huckabee, Republican, 61.2
Union, Mike Huckabee, Republican, 64.2
Van Buren, Mike Huckabee, Republican, 60.7
Washington, Mike Huckabee, Republican, 64.3
White, Mike Huckabee, Republican, 68
Woodruff, Bill Bristow, Democrat, 54.3
Yell, Mike Huckabee, Republican, 59.6
