Ada, Dirk Kempthorne, Republican, 65.1
Adams, Dirk Kempthorne, Republican, 73.9
Bannock, Dirk Kempthorne, Republican, 56.6
Bear Lake, Dirk Kempthorne, Republican, 72.8
Benewah, Dirk Kempthorne, Republican, 69.2
Bingham, Dirk Kempthorne, Republican, 72.3
Blaine, Robert Huntley, Democrat, 51.2
Boise, Dirk Kempthorne, Republican, 66.8
Bonner, Dirk Kempthorne, Republican, 60.9
Bonneville, Dirk Kempthorne, Republican, 75.1
Boundary, Dirk Kempthorne, Republican, 68
Butte, Dirk Kempthorne, Republican, 63.3
Camas, Dirk Kempthorne, Republican, 70.7
Canyon, Dirk Kempthorne, Republican, 73.2
Caribou, Dirk Kempthorne, Republican, 78.8
Cassia, Dirk Kempthorne, Republican, 78.5
Clark, Dirk Kempthorne, Republican, 77.2
Clearwater, Dirk Kempthorne, Republican, 64.9
Custer, Dirk Kempthorne, Republican, 69.6
Elmore, Dirk Kempthorne, Republican, 75.5
Franklin, Dirk Kempthorne, Republican, 82.8
Fremont, Dirk Kempthorne, Republican, 79.2
Gem, Dirk Kempthorne, Republican, 70.8
Gooding, Dirk Kempthorne, Republican, 65.5
Idaho, Dirk Kempthorne, Republican, 73.9
Jefferson, Dirk Kempthorne, Republican, 79.8
Jerome, Dirk Kempthorne, Republican, 69.9
Kootenai, Dirk Kempthorne, Republican, 67.5
Latah, Dirk Kempthorne, Republican, 55.3
Lemhi, Dirk Kempthorne, Republican, 77.3
Lewis, Dirk Kempthorne, Republican, 71.4
Lincoln, Dirk Kempthorne, Republican, 63.4
Madison, Dirk Kempthorne, Republican, 84.1
Minidoka, Dirk Kempthorne, Republican, 72.6
Nez Perce, Dirk Kempthorne, Republican, 63.1
Oneida, Dirk Kempthorne, Republican, 77.2
Owyhee, Dirk Kempthorne, Republican, 75.7
Payette, Dirk Kempthorne, Republican, 73.2
Power, Dirk Kempthorne, Republican, 67.9
Shoshone, Dirk Kempthorne, Republican, 51.3
Teton, Dirk Kempthorne, Republican, 66.4
Twin Falls, Dirk Kempthorne, Republican, 64.5
Valley, Dirk Kempthorne, Republican, 66.7
Washington, Dirk Kempthorne, Republican, 73.9
