Churchill, Kenny Guinn, Republican, 63.5
Clark, Kenny Guinn, Republican, 49.8
Douglas, Kenny Guinn, Republican, 60.9
Elko, Kenny Guinn, Republican, 73
Esmeralda, Kenny Guinn, Republican, 59.5
Eureka, Kenny Guinn, Republican, 68.5
Humboldt, Kenny Guinn, Republican, 62.1
Lander, Kenny Guinn, Republican, 64.6
Lincoln, Kenny Guinn, Republican, 61.7
Lyon, Kenny Guinn, Republican, 54.3
Mineral, Jan Laverty Jones, Democrat, 46.8
Nye, Kenny Guinn, Republican, 51
Pershing, Kenny Guinn, Republican, 56.3
Storey, Kenny Guinn, Republican, 47.2
Washoe, Kenny Guinn, Republican, 50.2
White Pine, Kenny Guinn, Republican, 62.4
Carson City, Kenny Guinn, Republican, 52.5
