Beaver, Mike Leavitt, Republican, 62.7
Box Elder, Mike Leavitt, Republican, 64.8
Cache, Mike Leavitt, Republican, 73.3
Carbon, Bill Orton, Democrat, 63.6
Daggett, Mike Leavitt, Republican, 58.2
Davis, Mike Leavitt, Republican, 62.7
Duchesne, Mike Leavitt, Republican, 57.3
Emery, Mike Leavitt, Republican, 56.1
Garfield, Mike Leavitt, Republican, 64.1
Grand, Bill Orton, Democrat, 50.6
Iron, Mike Leavitt, Republican, 68.4
Juab, Mike Leavitt, Republican, 55.9
Kane, Mike Leavitt, Republican, 68.7
Millard, Mike Leavitt, Republican, 60.5
Morgan, Mike Leavitt, Republican, 58.9
Piute, Mike Leavitt, Republican, 70.8
Rich, Mike Leavitt, Republican, 61.6
Salt Lake, Bill Orton, Democrat, 51.7
San Juan, Bill Orton, Democrat, 51.2
Sanpete, Mike Leavitt, Republican, 61.2
Sevier, Mike Leavitt, Republican, 69.7
Summit, Bill Orton, Democrat, 57.3
Tooele, Mike Leavitt, Republican, 51.3
Uintah, Mike Leavitt, Republican, 61.1
Utah, Mike Leavitt, Republican, 67.2
Wasatch, Mike Leavitt, Republican, 51.4
Washington, Mike Leavitt, Republican, 68.1
Wayne, Mike Leavitt, Republican, 62
Weber, Mike Leavitt, Republican, 52.2
