Apache, Janet Napolitano, Democrat, 61.2
Cochise, Matt Salmon, Republican, 47.6
Coconino, Janet Napolitano, Democrat, 54.9
Gila, Janet Napolitano, Democrat, 47.4
Graham, Matt Salmon, Republican, 56.3
Greenlee, Janet Napolitano, Democrat, 44.9
La Paz, Matt Salmon, Republican, 48.7
Maricopa, Matt Salmon, Republican, 48
Mohave, Matt Salmon, Republican, 52.4
Navajo, Janet Napolitano, Democrat, 49.7
Pima, Janet Napolitano, Democrat, 51.7
Pinal, Janet Napolitano, Democrat, 48.1
Santa Cruz, Janet Napolitano, Democrat, 57.9
Yavapai, Matt Salmon, Republican, 49.2
Yuma, Matt Salmon, Republican, 48.4
