Adams, Jim Ryan, Republican, 62.2
Alexander, Rod Blagojevich, Democrat, 63.5
Bond, Jim Ryan, Republican, 49.8
Boone, Jim Ryan, Republican, 54.1
Brown, Jim Ryan, Republican, 56
Bureau, Jim Ryan, Republican, 52.2
Calhoun, Rod Blagojevich, Democrat, 55.7
Carroll, Jim Ryan, Republican, 52.1
Cass, Rod Blagojevich, Democrat, 49.3
Champaign, Jim Ryan, Republican, 52.3
Christian, Rod Blagojevich, Democrat, 51.3
Clark, Jim Ryan, Republican, 56.5
Clay, Jim Ryan, Republican, 58.4
Clinton, Rod Blagojevich, Democrat, 50.1
Coles, Jim Ryan, Republican, 54.6
Cook, Rod Blagojevich, Democrat, 65.9
Crawford, Jim Ryan, Republican, 51.1
Cumberland, Jim Ryan, Republican, 58.4
DeKalb, Jim Ryan, Republican, 53.6
DeWitt, Jim Ryan, Republican, 53.7
Douglas, Jim Ryan, Republican, 58.5
DuPage, Jim Ryan, Republican, 63.3
Edgar, Jim Ryan, Republican, 55.3
Edwards, Jim Ryan, Republican, 70.5
Effingham, Jim Ryan, Republican, 64.4
Fayette, Jim Ryan, Republican, 50.6
Ford, Jim Ryan, Republican, 63.4
Franklin, Rod Blagojevich, Democrat, 58.3
Fulton, Rod Blagojevich, Democrat, 55
Gallatin, Rod Blagojevich, Democrat, 61.6
Greene, Rod Blagojevich, Democrat, 49.7
Grundy, Jim Ryan, Republican, 54.9
Hamilton, Rod Blagojevich, Democrat, 51.3
Hancock, Jim Ryan, Republican, 59.8
Hardin, Rod Blagojevich, Democrat, 53.6
Henderson, Jim Ryan, Republican, 49.6
Henry, Jim Ryan, Republican, 54.5
Iroquois, Jim Ryan, Republican, 63.4
Jackson, Rod Blagojevich, Democrat, 50.6
Jasper, Jim Ryan, Republican, 55.7
Jefferson, Rod Blagojevich, Democrat, 49.5
Jersey, Rod Blagojevich, Democrat, 50.8
Jo Daviess, Jim Ryan, Republican, 57.7
Johnson, Jim Ryan, Republican, 56.6
Kane, Jim Ryan, Republican, 57.6
Kankakee, Jim Ryan, Republican, 51.1
Kendall, Jim Ryan, Republican, 61.6
Knox, Jim Ryan, Republican, 54.2
Lake, Jim Ryan, Republican, 52.8
LaSalle, Rod Blagojevich, Democrat, 50.2
Lawrence, Rod Blagojevich, Democrat, 49.7
Lee, Jim Ryan, Republican, 53
Livingston, Jim Ryan, Republican, 61.1
Logan, Jim Ryan, Republican, 57.6
McDonough, Jim Ryan, Republican, 57.8
McHenry, Jim Ryan, Republican, 59.3
McLean, Jim Ryan, Republican, 57.9
Macon, Rod Blagojevich, Democrat, 49.4
Macoupin, Rod Blagojevich, Democrat, 55.5
Madison, Rod Blagojevich, Democrat, 56
Marion, Rod Blagojevich, Democrat, 54.5
Marshall, Jim Ryan, Republican, 55.7
Mason, Rod Blagojevich, Democrat, 50.1
Massac, Rod Blagojevich, Democrat, 53.7
Menard, Jim Ryan, Republican, 60.7
Mercer, Jim Ryan, Republican, 51.2
Monroe, Jim Ryan, Republican, 51.5
Montgomery, Rod Blagojevich, Democrat, 55
Morgan, Jim Ryan, Republican, 52
Moultrie, Jim Ryan, Republican, 53
Ogle, Jim Ryan, Republican, 57.7
Peoria, Jim Ryan, Republican, 53.3
Perry, Rod Blagojevich, Democrat, 53.8
Piatt, Jim Ryan, Republican, 56.5
Pike, Jim Ryan, Republican, 54.5
Pope, Rod Blagojevich, Democrat, 49.2
Pulaski, Rod Blagojevich, Democrat, 53.8
Putnam, Rod Blagojevich, Democrat, 51.4
Randolph, Rod Blagojevich, Democrat, 59.4
Richland, Jim Ryan, Republican, 54.3
Rock Island, Rod Blagojevich, Democrat, 54.3
St. Clair, Rod Blagojevich, Democrat, 57.3
Saline, Rod Blagojevich, Democrat, 51.4
Sangamon, Jim Ryan, Republican, 54.9
Schuyler, Jim Ryan, Republican, 56.6
Scott, Jim Ryan, Republican, 53.7
Shelby, Jim Ryan, Republican, 57.1
Stark, Jim Ryan, Republican, 60.1
Stephenson, Jim Ryan, Republican, 57.5
Tazewell, Jim Ryan, Republican, 57.5
Union, Rod Blagojevich, Democrat, 49.2
Vermilion, Jim Ryan, Republican, 49.1
Wabash, Jim Ryan, Republican, 65.1
Warren, Jim Ryan, Republican, 59.1
Washington, Jim Ryan, Republican, 53.1
Wayne, Jim Ryan, Republican, 66.8
White, Jim Ryan, Republican, 53.1
Whiteside, Rod Blagojevich, Democrat, 49.1
Will, Jim Ryan, Republican, 53
Williamson, Jim Ryan, Republican, 52.1
Winnebago, Rod Blagojevich, Democrat, 48
Woodford, Jim Ryan, Republican, 66
