Adams, Jim Doyle, Democrat, 46.2
Ashland, Jim Doyle, Democrat, 60.4
Barron, Jim Doyle, Democrat, 46
Bayfield, Jim Doyle, Democrat, 59.6
Brown, Scott McCallum, Republican, 45.7
Buffalo, Jim Doyle, Democrat, 48.8
Burnett, Scott McCallum, Republican, 48.7
Calumet, Scott McCallum, Republican, 48.8
Chippewa, Scott McCallum, Republican, 40.8
Clark, Scott McCallum, Republican, 38.9
Columbia, Jim Doyle, Democrat, 41.8
Crawford, Jim Doyle, Democrat, 44.3
Dane, Jim Doyle, Democrat, 56.4
Dodge, Scott McCallum, Republican, 48.3
Door, Scott McCallum, Republican, 46.5
Douglas, Jim Doyle, Democrat, 63.8
Dunn, Jim Doyle, Democrat, 48.5
Eau Claire, Jim Doyle, Democrat, 48.7
Florence, Scott McCallum, Republican, 54.9
Fond du Lac, Scott McCallum, Republican, 56.3
Forest, Jim Doyle, Democrat, 44.8
Grant, Jim Doyle, Democrat, 43.1
Green, Jim Doyle, Democrat, 46.6
Green Lake, Scott McCallum, Republican, 51.6
Iowa, Jim Doyle, Democrat, 47.3
Iron, Jim Doyle, Democrat, 51.5
Jackson, Jim Doyle, Democrat, 43.8
Jefferson, Scott McCallum, Republican, 44.6
Juneau, Ed Thompson, Libertarian, 39.1
Kenosha, Jim Doyle, Democrat, 55.3
Kewaunee, Scott McCallum, Republican, 44.4
La Crosse, Jim Doyle, Democrat, 43.4
Lafayette, Jim Doyle, Democrat, 43.4
Langlade, Jim Doyle, Democrat, 43.9
Lincoln, Jim Doyle, Democrat, 43
Manitowoc, Jim Doyle, Democrat, 44.4
Marathon, Jim Doyle, Democrat, 43.9
Marinette, Scott McCallum, Republican, 47.6
Marquette, Jim Doyle, Democrat, 40.3
Menominee, Jim Doyle, Democrat, 72.5
Milwaukee, Jim Doyle, Democrat, 56.4
Monroe, Ed Thompson, Libertarian, 47.5
Oconto, Scott McCallum, Republican, 47.2
Oneida, Jim Doyle, Democrat, 42.6
Outagamie, Scott McCallum, Republican, 46.9
Ozaukee, Scott McCallum, Republican, 61.1
Pepin, Jim Doyle, Democrat, 51.9
Pierce, Jim Doyle, Democrat, 49.4
Polk, Jim Doyle, Democrat, 47.6
Portage, Jim Doyle, Democrat, 49.9
Price, Jim Doyle, Democrat, 41.9
Racine, Jim Doyle, Democrat, 47.3
Richland, Jim Doyle, Democrat, 36.2
Rock, Jim Doyle, Democrat, 53
Rusk, Jim Doyle, Democrat, 38.3
St. Croix, Scott McCallum, Republican, 52.4
Sauk, Jim Doyle, Democrat, 41.1
Sawyer, Scott McCallum, Republican, 47.4
Shawano, Scott McCallum, Republican, 47.7
Sheboygan, Scott McCallum, Republican, 47.6
Taylor, Jim Doyle, Democrat, 36.8
Trempealeau, Jim Doyle, Democrat, 46.7
Vernon, Jim Doyle, Democrat, 38.7
Vilas, Scott McCallum, Republican, 48
Walworth, Scott McCallum, Republican, 50.9
Washburn, Jim Doyle, Democrat, 47.1
Washington, Scott McCallum, Republican, 61.7
Waukesha, Scott McCallum, Republican, 62.4
Waupaca, Scott McCallum, Republican, 48.9
Waushara, Scott McCallum, Republican, 46.3
Winnebago, Scott McCallum, Republican, 45.1
Wood, Jim Doyle, Democrat, 44.6
