Beaver, Jon Huntsman Jr, Republican, 60.5
Box Elder, Jon Huntsman Jr, Republican, 69
Cache, Jon Huntsman Jr, Republican, 64.5
Carbon, Scott Matheson Jr, Democrat, 60.8
Daggett, Jon Huntsman Jr, Republican, 59.7
Davis, Jon Huntsman Jr, Republican, 63.4
Duchesne, Jon Huntsman Jr, Republican, 71.3
Emery, Jon Huntsman Jr, Republican, 59.1
Garfield, Jon Huntsman Jr, Republican, 73
Grand, Scott Matheson Jr, Democrat, 54.3
Iron, Jon Huntsman Jr, Republican, 69.6
Juab, Jon Huntsman Jr, Republican, 58.8
Kane, Jon Huntsman Jr, Republican, 71.7
Millard, Jon Huntsman Jr, Republican, 64.9
Morgan, Jon Huntsman Jr, Republican, 66.2
Piute, Jon Huntsman Jr, Republican, 68.4
Rich, Jon Huntsman Jr, Republican, 68.9
Salt Lake, Scott Matheson Jr, Democrat, 52.1
San Juan, Jon Huntsman Jr, Republican, 52.5
Sanpete, Jon Huntsman Jr, Republican, 65.3
Sevier, Jon Huntsman Jr, Republican, 66.6
Summit, Scott Matheson Jr, Democrat, 58.4
Tooele, Jon Huntsman Jr, Republican, 55.7
Uintah, Jon Huntsman Jr, Republican, 74.6
Utah, Jon Huntsman Jr, Republican, 72.9
Wasatch, Jon Huntsman Jr, Republican, 58.5
Washington, Jon Huntsman Jr, Republican, 72.3
Wayne, Jon Huntsman Jr, Republican, 65.8
Weber, Jon Huntsman Jr, Republican, 54.7
