Adams, Bill Ritter, Democrat, 60
Alamosa, Bill Ritter, Democrat, 64.8
Arapahoe, Bill Ritter, Democrat, 58
Archuleta, Bill Ritter, Democrat, 49.2
Baca, Bob Beauprez, Republican, 54.7
Bent, Bill Ritter, Democrat, 56.6
Boulder, Bill Ritter, Democrat, 71.2
Broomfield, Bill Ritter, Democrat, 56.8
Chaffee, Bill Ritter, Democrat, 57.8
Cheyenne, Bob Beauprez, Republican, 62.6
Clear Creek, Bill Ritter, Democrat, 61.3
Conejos, Bill Ritter, Democrat, 64.6
Costilla, Bill Ritter, Democrat, 77.9
Crowley, Bob Beauprez, Republican, 49.5
Custer, Bob Beauprez, Republican, 55.7
Delta, Bob Beauprez, Republican, 50.8
Denver, Bill Ritter, Democrat, 77.2
Dolores, Bill Ritter, Democrat, 53.2
Douglas, Bob Beauprez, Republican, 52.9
Eagle, Bill Ritter, Democrat, 62.7
Elbert, Bob Beauprez, Republican, 61.9
El Paso, Bob Beauprez, Republican, 57.2
Fremont, Bob Beauprez, Republican, 48.9
Garfield, Bill Ritter, Democrat, 56.7
Gilpin, Bill Ritter, Democrat, 63.2
Grand, Bill Ritter, Democrat, 53
Gunnison, Bill Ritter, Democrat, 65.9
Hinsdale, Bill Ritter, Democrat, 50.4
Huerfano, Bill Ritter, Democrat, 65.7
Jackson, Bob Beauprez, Republican, 53.8
Jefferson, Bill Ritter, Democrat, 57.5
Kiowa, Bob Beauprez, Republican, 59.4
Kit Carson, Bob Beauprez, Republican, 56.8
Lake, Bill Ritter, Democrat, 64.9
La Plata, Bill Ritter, Democrat, 62.5
Larimer, Bill Ritter, Democrat, 56.1
Las Animas, Bill Ritter, Democrat, 66.6
Lincoln, Bob Beauprez, Republican, 56.3
Logan, Bob Beauprez, Republican, 50.5
Mesa, Bob Beauprez, Republican, 50.2
Mineral, Bill Ritter, Democrat, 58
Moffat, Bob Beauprez, Republican, 53.3
Montezuma, Bob Beauprez, Republican, 49.5
Montrose, Bob Beauprez, Republican, 49.6
Morgan, Bob Beauprez, Republican, 52.5
Otero, Bill Ritter, Democrat, 55.5
Ouray, Bill Ritter, Democrat, 56.6
Park, Bob Beauprez, Republican, 48.5
Phillips, Bob Beauprez, Republican, 55.4
Pitkin, Bill Ritter, Democrat, 76.1
Prowers, Bob Beauprez, Republican, 51.1
Pueblo, Bill Ritter, Democrat, 67.2
Rio Blanco, Bob Beauprez, Republican, 60.6
Rio Grande, Bill Ritter, Democrat, 53.6
Routt, Bill Ritter, Democrat, 66.2
Saguache, Bill Ritter, Democrat, 67
San Juan, Bill Ritter, Democrat, 65.7
San Miguel, Bill Ritter, Democrat, 73.6
Sedgwick, Bill Ritter, Democrat, 49.3
Summit, Bill Ritter, Democrat, 67.4
Teller, Bob Beauprez, Republican, 57.6
Washington, Bob Beauprez, Republican, 65.2
Weld, Bill Ritter, Democrat, 48.4
Yuma, Bob Beauprez, Republican, 61.9
