Allen, Kathleen Sebelius, Democrat, 62
Anderson, Kathleen Sebelius, Democrat, 60.4
Atchison, Kathleen Sebelius, Democrat, 66.4
Barber, Jim Barnett, Republican, 49.9
Barton, Kathleen Sebelius, Democrat, 55
Bourbon, Kathleen Sebelius, Democrat, 51.5
Brown, Kathleen Sebelius, Democrat, 56.8
Butler, Jim Barnett, Republican, 50.5
Chase, Jim Barnett, Republican, 57.7
Chautauqua, Jim Barnett, Republican, 59
Cherokee, Kathleen Sebelius, Democrat, 57.8
Cheyenne, Jim Barnett, Republican, 56.9
Clark, Jim Barnett, Republican, 50
Clay, Kathleen Sebelius, Democrat, 49.6
Cloud, Kathleen Sebelius, Democrat, 54.4
Coffey, Jim Barnett, Republican, 53.2
Comanche, Jim Barnett, Republican, 52.2
Cowley, Kathleen Sebelius, Democrat, 54.3
Crawford, Kathleen Sebelius, Democrat, 65.5
Decatur, Kathleen Sebelius, Democrat, 51.6
Dickinson, Kathleen Sebelius, Democrat, 51.9
Doniphan, Kathleen Sebelius, Democrat, 53.3
Douglas, Kathleen Sebelius, Democrat, 76.8
Edwards, Kathleen Sebelius, Democrat, 51.7
Elk, Jim Barnett, Republican, 50.3
Ellis, Kathleen Sebelius, Democrat, 62.4
Ellsworth, Kathleen Sebelius, Democrat, 58
Finney, Jim Barnett, Republican, 51.2
Ford, Kathleen Sebelius, Democrat, 49.8
Franklin, Kathleen Sebelius, Democrat, 59.4
Geary, Kathleen Sebelius, Democrat, 62.9
Gove, Jim Barnett, Republican, 50.8
Graham, Kathleen Sebelius, Democrat, 52.3
Grant, Jim Barnett, Republican, 54.2
Gray, Jim Barnett, Republican, 57.2
Greeley, Jim Barnett, Republican, 54.4
Greenwood, Jim Barnett, Republican, 50.8
Hamilton, Jim Barnett, Republican, 50.2
Harper, Jim Barnett, Republican, 49.4
Harvey, Kathleen Sebelius, Democrat, 53.2
Haskell, Jim Barnett, Republican, 60
Hodgeman, Jim Barnett, Republican, 55.4
Jackson, Kathleen Sebelius, Democrat, 56.6
Jefferson, Kathleen Sebelius, Democrat, 58.4
Jewell, Jim Barnett, Republican, 48.5
Johnson, Kathleen Sebelius, Democrat, 62.1
Kearny, Jim Barnett, Republican, 53.2
Kingman, Kathleen Sebelius, Democrat, 49.7
Kiowa, Jim Barnett, Republican, 51.1
Labette, Kathleen Sebelius, Democrat, 62.2
Lane, Kathleen Sebelius, Democrat, 51.3
Leavenworth, Kathleen Sebelius, Democrat, 62.8
Lincoln, Kathleen Sebelius, Democrat, 49.8
Linn, Kathleen Sebelius, Democrat, 59.1
Logan, Jim Barnett, Republican, 53
Lyon, Kathleen Sebelius, Democrat, 49.8
McPherson, Kathleen Sebelius, Democrat, 49.5
Marion, Jim Barnett, Republican, 57
Marshall, Kathleen Sebelius, Democrat, 59.9
Meade, Jim Barnett, Republican, 56.3
Miami, Kathleen Sebelius, Democrat, 57.2
Mitchell, Kathleen Sebelius, Democrat, 53.2
Montgomery, Jim Barnett, Republican, 51.1
Morris, Kathleen Sebelius, Democrat, 52.4
Morton, Jim Barnett, Republican, 50.7
Nemaha, Kathleen Sebelius, Democrat, 55.6
Neosho, Kathleen Sebelius, Democrat, 58.1
Ness, Jim Barnett, Republican, 50.1
Norton, Jim Barnett, Republican, 50.1
Osage, Kathleen Sebelius, Democrat, 55.1
Osborne, Kathleen Sebelius, Democrat, 52.8
Ottawa, Kathleen Sebelius, Democrat, 50.1
Pawnee, Kathleen Sebelius, Democrat, 58.1
Phillips, Kathleen Sebelius, Democrat, 52.6
Pottawatomie, Jim Barnett, Republican, 49.4
Pratt, Kathleen Sebelius, Democrat, 57.6
Rawlins, Jim Barnett, Republican, 59.9
Reno, Kathleen Sebelius, Democrat, 53.2
Republic, Jim Barnett, Republican, 51.7
Rice, Kathleen Sebelius, Democrat, 53.3
Riley, Kathleen Sebelius, Democrat, 61.3
Rooks, Kathleen Sebelius, Democrat, 53.5
Rush, Kathleen Sebelius, Democrat, 58
Russell, Kathleen Sebelius, Democrat, 56.8
Saline, Kathleen Sebelius, Democrat, 59
Scott, Jim Barnett, Republican, 57.4
Sedgwick, Kathleen Sebelius, Democrat, 51.5
Seward, Jim Barnett, Republican, 55.6
Shawnee, Kathleen Sebelius, Democrat, 61.9
Sheridan, Kathleen Sebelius, Democrat, 53.6
Sherman, Kathleen Sebelius, Democrat, 52.3
Smith, Kathleen Sebelius, Democrat, 57.8
Stafford, Kathleen Sebelius, Democrat, 52.7
Stanton, Jim Barnett, Republican, 53.5
Stevens, Jim Barnett, Republican, 59
Sumner, Kathleen Sebelius, Democrat, 51.6
Thomas, Jim Barnett, Republican, 55.4
Trego, Kathleen Sebelius, Democrat, 57.9
Wabaunsee, Jim Barnett, Republican, 51.4
Wallace, Jim Barnett, Republican, 59.3
Washington, Jim Barnett, Republican, 54.5
Wichita, Jim Barnett, Republican, 55.9
Wilson, Kathleen Sebelius, Democrat, 50.5
Woodson, Kathleen Sebelius, Democrat, 52.4
Wyandotte, Kathleen Sebelius, Democrat, 79.1
