Adams, Haley Barbour, Republican, 54.8
Alcorn, Haley Barbour, Republican, 59.2
Amite, Haley Barbour, Republican, 52.5
Attala, Haley Barbour, Republican, 57.6
Benton, John Arthur Eaves Jr, Democrat, 51.9
Bolivar, John Arthur Eaves Jr, Democrat, 58.1
Calhoun, Haley Barbour, Republican, 52.6
Carroll, Haley Barbour, Republican, 63.1
Chickasaw, John Arthur Eaves Jr, Democrat, 56.9
Choctaw, Haley Barbour, Republican, 59.7
Claiborne, John Arthur Eaves Jr, Democrat, 75.6
Clarke, Haley Barbour, Republican, 55.7
Clay, John Arthur Eaves Jr, Democrat, 54.4
Coahoma, John Arthur Eaves Jr, Democrat, 51.1
Copiah, John Arthur Eaves Jr, Democrat, 50.4
Covington, Haley Barbour, Republican, 51.8
DeSoto, Haley Barbour, Republican, 76.6
Forrest, Haley Barbour, Republican, 61.2
Franklin, Haley Barbour, Republican, 56
George, Haley Barbour, Republican, 58.5
Greene, Haley Barbour, Republican, 54.1
Grenada, Haley Barbour, Republican, 56.6
Hancock, Haley Barbour, Republican, 72
Harrison, Haley Barbour, Republican, 71.4
Hinds, John Arthur Eaves Jr, Democrat, 56
Holmes, John Arthur Eaves Jr, Democrat, 71.1
Humphreys, John Arthur Eaves Jr, Democrat, 62.9
Issaquena, John Arthur Eaves Jr, Democrat, 54.3
Itawamba, Haley Barbour, Republican, 52.7
Jackson, Haley Barbour, Republican, 69.5
Jasper, John Arthur Eaves Jr, Democrat, 59.8
Jefferson, John Arthur Eaves Jr, Democrat, 79.9
Jefferson Davis, John Arthur Eaves Jr, Democrat, 59.1
Jones, Haley Barbour, Republican, 60.4
Kemper, John Arthur Eaves Jr, Democrat, 58.2
Lafayette, Haley Barbour, Republican, 67.6
Lamar, Haley Barbour, Republican, 74.5
Lauderdale, Haley Barbour, Republican, 65.2
Lawrence, Haley Barbour, Republican, 55.2
Leake, Haley Barbour, Republican, 55.2
Lee, Haley Barbour, Republican, 59.2
Leflore, John Arthur Eaves Jr, Democrat, 54.6
Lincoln, Haley Barbour, Republican, 59.5
Lowndes, Haley Barbour, Republican, 62.7
Madison, Haley Barbour, Republican, 68.8
Marion, Haley Barbour, Republican, 59.4
Marshall, John Arthur Eaves Jr, Democrat, 50.1
Monroe, Haley Barbour, Republican, 53.5
Montgomery, Haley Barbour, Republican, 52
Neshoba, Haley Barbour, Republican, 63.9
Newton, Haley Barbour, Republican, 63.6
Noxubee, John Arthur Eaves Jr, Democrat, 65.8
Oktibbeha, Haley Barbour, Republican, 58.7
Panola, Haley Barbour, Republican, 56.7
Pearl River, Haley Barbour, Republican, 68.9
Perry, Haley Barbour, Republican, 53
Pike, Haley Barbour, Republican, 51
Pontotoc, Haley Barbour, Republican, 54.9
Prentiss, John Arthur Eaves Jr, Democrat, 52
Quitman, John Arthur Eaves Jr, Democrat, 56.6
Rankin, Haley Barbour, Republican, 78.6
Scott, Haley Barbour, Republican, 56.8
Sharkey, John Arthur Eaves Jr, Democrat, 60.2
Simpson, Haley Barbour, Republican, 59.8
Smith, Haley Barbour, Republican, 61.8
Stone, Haley Barbour, Republican, 58.7
Sunflower, John Arthur Eaves Jr, Democrat, 61.4
Tallahatchie, John Arthur Eaves Jr, Democrat, 58.3
Tate, Haley Barbour, Republican, 67.5
Tippah, Haley Barbour, Republican, 58
Tishomingo, Haley Barbour, Republican, 53.5
Tunica, John Arthur Eaves Jr, Democrat, 51.5
Union, Haley Barbour, Republican, 56
Walthall, Haley Barbour, Republican, 55.1
Warren, Haley Barbour, Republican, 59.8
Washington, John Arthur Eaves Jr, Democrat, 56.8
Wayne, John Arthur Eaves Jr, Democrat, 52.2
Webster, Haley Barbour, Republican, 64.7
Wilkinson, John Arthur Eaves Jr, Democrat, 57.6
Winston, John Arthur Eaves Jr, Democrat, 50.7
Yalobusha, Haley Barbour, Republican, 55.5
Yazoo, Haley Barbour, Republican, 57
