Adams, John Hoeven, Republican, 76.7
Barnes, John Hoeven, Republican, 73.4
Benson, John Hoeven, Republican, 62.3
Billings, John Hoeven, Republican, 83.3
Bottineau, John Hoeven, Republican, 79.7
Bowman, John Hoeven, Republican, 81.8
Burke, John Hoeven, Republican, 83.7
Burleigh, John Hoeven, Republican, 77.7
Cass, John Hoeven, Republican, 70.3
Cavalier, John Hoeven, Republican, 79.8
Dickey, John Hoeven, Republican, 75.3
Divide, John Hoeven, Republican, 77.2
Dunn, John Hoeven, Republican, 77.4
Eddy, John Hoeven, Republican, 71.5
Emmons, John Hoeven, Republican, 75.8
Foster, John Hoeven, Republican, 79.3
Golden Valley, John Hoeven, Republican, 83.3
Grand Forks, John Hoeven, Republican, 74.1
Grant, John Hoeven, Republican, 77.5
Griggs, John Hoeven, Republican, 74.8
Hettinger, John Hoeven, Republican, 78.5
Kidder, John Hoeven, Republican, 71.8
LaMoure, John Hoeven, Republican, 68.2
Logan, John Hoeven, Republican, 74.1
McHenry, John Hoeven, Republican, 74.5
McIntosh, John Hoeven, Republican, 80.3
McKenzie, John Hoeven, Republican, 78.3
McLean, John Hoeven, Republican, 74.4
Mercer, John Hoeven, Republican, 76
Morton, John Hoeven, Republican, 74.6
Mountrail, John Hoeven, Republican, 66.2
Nelson, John Hoeven, Republican, 73.7
Oliver, John Hoeven, Republican, 76.7
Pembina, John Hoeven, Republican, 80.5
Pierce, John Hoeven, Republican, 77
Ramsey, John Hoeven, Republican, 76.9
Ransom, John Hoeven, Republican, 63.5
Renville, John Hoeven, Republican, 79
Richland, John Hoeven, Republican, 74.7
Rolette, Tim Mathern, Democrat, 57.7
Sargent, John Hoeven, Republican, 65.3
Sheridan, John Hoeven, Republican, 79.2
Sioux, John Hoeven, Republican, 50.2
Slope, John Hoeven, Republican, 80.9
Stark, John Hoeven, Republican, 80.3
Steele, John Hoeven, Republican, 63.3
Stutsman, John Hoeven, Republican, 75.8
Towner, John Hoeven, Republican, 72.7
Traill, John Hoeven, Republican, 72.9
Walsh, John Hoeven, Republican, 79.2
Ward, John Hoeven, Republican, 79.8
Wells, John Hoeven, Republican, 76.5
Williams, John Hoeven, Republican, 82.4
