Adams, John Hickenlooper, Democrat, 49.8
Alamosa, John Hickenlooper, Democrat, 58.5
Arapahoe, John Hickenlooper, Democrat, 52.6
Archuleta, John Hickenlooper, Democrat, 41.5
Baca, Tommy Tancredo, Constitution, 38.9
Bent, John Hickenlooper, Democrat, 46.1
Boulder, John Hickenlooper, Democrat, 70
Broomfield, John Hickenlooper, Democrat, 52.4
Chaffee, John Hickenlooper, Democrat, 51.1
Cheyenne, Tommy Tancredo, Constitution, 54.6
Clear Creek, John Hickenlooper, Democrat, 55.2
Conejos, John Hickenlooper, Democrat, 55.9
Costilla, John Hickenlooper, Democrat, 70.1
Crowley, Tommy Tancredo, Constitution, 40.1
Custer, Tommy Tancredo, Constitution, 43.2
Delta, Tommy Tancredo, Constitution, 41
Denver, John Hickenlooper, Democrat, 74.4
Dolores, Dan Maes, Republican, 36.1
Douglas, Tommy Tancredo, Constitution, 48.6
Eagle, John Hickenlooper, Democrat, 58.6
Elbert, Tommy Tancredo, Constitution, 64
El Paso, Tommy Tancredo, Constitution, 44.2
Fremont, Tommy Tancredo, Constitution, 41.2
Garfield, John Hickenlooper, Democrat, 48
Gilpin, John Hickenlooper, Democrat, 51.3
Grand, John Hickenlooper, Democrat, 48.6
Gunnison, John Hickenlooper, Democrat, 61.1
Hinsdale, John Hickenlooper, Democrat, 50.1
Huerfano, John Hickenlooper, Democrat, 55.1
Jackson, John Hickenlooper, Democrat, 39.3
Jefferson, John Hickenlooper, Democrat, 50.8
Kiowa, Tommy Tancredo, Constitution, 50.5
Kit Carson, Tommy Tancredo, Constitution, 48.8
Lake, John Hickenlooper, Democrat, 56.3
La Plata, John Hickenlooper, Democrat, 53.3
Larimer, John Hickenlooper, Democrat, 51.4
Las Animas, John Hickenlooper, Democrat, 55.6
Lincoln, Tommy Tancredo, Constitution, 57
Logan, Tommy Tancredo, Constitution, 47.7
Mesa, Tommy Tancredo, Constitution, 44.3
Mineral, John Hickenlooper, Democrat, 52.5
Moffat, Tommy Tancredo, Constitution, 46.7
Montezuma, Dan Maes, Republican, 37.9
Montrose, Tommy Tancredo, Constitution, 38.7
Morgan, Tommy Tancredo, Constitution, 53.1
Otero, John Hickenlooper, Democrat, 45.1
Ouray, John Hickenlooper, Democrat, 54.9
Park, Tommy Tancredo, Constitution, 49.2
Phillips, Tommy Tancredo, Constitution, 48
Pitkin, John Hickenlooper, Democrat, 72.5
Prowers, Tommy Tancredo, Constitution, 43.7
Pueblo, John Hickenlooper, Democrat, 57.4
Rio Blanco, Tommy Tancredo, Constitution, 42.7
Rio Grande, John Hickenlooper, Democrat, 47.2
Routt, John Hickenlooper, Democrat, 62.7
Saguache, John Hickenlooper, Democrat, 61.6
San Juan, John Hickenlooper, Democrat, 58.3
San Miguel, John Hickenlooper, Democrat, 71.9
Sedgwick, John Hickenlooper, Democrat, 41.6
Summit, John Hickenlooper, Democrat, 64.1
Teller, Tommy Tancredo, Constitution, 46.9
Washington, Tommy Tancredo, Constitution, 60.1
Weld, Tommy Tancredo, Constitution, 47.3
Yuma, Tommy Tancredo, Constitution, 50
