Androscoggin, Paul LePage, Republican, 43
Aroostook, Paul LePage, Republican, 42.4
Cumberland, Eliot Cutler, Independent, 41.3
Franklin, Paul LePage, Republican, 42.9
Hancock, Eliot Cutler, Independent, 43.8
Kennebec, Paul LePage, Republican, 43.5
Knox, Eliot Cutler, Independent, 39.2
Lincoln, Paul LePage, Republican, 40.5
Oxford, Paul LePage, Republican, 39.5
Penobscot, Paul LePage, Republican, 42.5
Piscataquis, Paul LePage, Republican, 48.5
Sagadahoc, Eliot Cutler, Independent, 39
Somerset, Paul LePage, Republican, 48.8
Waldo, Paul LePage, Republican, 40.3
Washington, Paul LePage, Republican, 43.1
York, Paul LePage, Republican, 34.1
