Barnstable, Charlie Baker, Republican, 47.4
Berkshire, Deval Patrick, Democrat, 71.2
Bristol, Deval Patrick, Democrat, 47.2
Dukes, Deval Patrick, Democrat, 58.4
Essex, Charlie Baker, Republican, 47.9
Franklin, Deval Patrick, Democrat, 61.5
Hampden, Deval Patrick, Democrat, 46
Hampshire, Deval Patrick, Democrat, 58.9
Middlesex, Deval Patrick, Democrat, 51.4
Nantucket, Deval Patrick, Democrat, 52.1
Norfolk, Deval Patrick, Democrat, 44.2
Plymouth, Charlie Baker, Republican, 50.2
Suffolk, Deval Patrick, Democrat, 67.7
Worcester, Charlie Baker, Republican, 48.6
