Aitkin, Mark Dayton, Democrat, 44.2
Anoka, Tom Emmer, Republican, 49.4
Becker, Tom Emmer, Republican, 49.9
Beltrami, Mark Dayton, Democrat, 47.1
Benton, Tom Emmer, Republican, 50.9
Big Stone, Mark Dayton, Democrat, 45.4
Blue Earth, Mark Dayton, Democrat, 43.3
Brown, Tom Emmer, Republican, 52.5
Carlton, Mark Dayton, Democrat, 58.7
Carver, Tom Emmer, Republican, 58.4
Cass, Tom Emmer, Republican, 49.2
Chippewa, Mark Dayton, Democrat, 45.2
Chisago, Tom Emmer, Republican, 51.4
Clay, Mark Dayton, Democrat, 44.8
Clearwater, Tom Emmer, Republican, 48.8
Cook, Mark Dayton, Democrat, 57.8
Cottonwood, Tom Emmer, Republican, 49
Crow Wing, Tom Emmer, Republican, 49.1
Dakota, Tom Emmer, Republican, 47.1
Dodge, Tom Emmer, Republican, 52.3
Douglas, Tom Emmer, Republican, 51.6
Faribault, Tom Emmer, Republican, 47.9
Fillmore, Tom Emmer, Republican, 43.8
Freeborn, Mark Dayton, Democrat, 48.6
Goodhue, Tom Emmer, Republican, 47.4
Grant, Tom Emmer, Republican, 42.9
Hennepin, Mark Dayton, Democrat, 50.8
Houston, Tom Emmer, Republican, 48.9
Hubbard, Tom Emmer, Republican, 50.3
Isanti, Tom Emmer, Republican, 53.4
Itasca, Mark Dayton, Democrat, 52.9
Jackson, Tom Emmer, Republican, 47.8
Kanabec, Tom Emmer, Republican, 48.7
Kandiyohi, Tom Emmer, Republican, 46.4
Kittson, Mark Dayton, Democrat, 53.4
Koochiching, Mark Dayton, Democrat, 57
Lac qui Parle, Mark Dayton, Democrat, 45
Lake, Mark Dayton, Democrat, 58.6
Lake of the Woods, Tom Emmer, Republican, 46.5
Le Sueur, Tom Emmer, Republican, 47
Lincoln, Tom Emmer, Republican, 44.1
Lyon, Tom Emmer, Republican, 46.6
McLeod, Tom Emmer, Republican, 55
Mahnomen, Mark Dayton, Democrat, 53.9
Marshall, Mark Dayton, Democrat, 48.2
Martin, Tom Emmer, Republican, 54.9
Meeker, Tom Emmer, Republican, 49.8
Mille Lacs, Tom Emmer, Republican, 48.6
Morrison, Tom Emmer, Republican, 53.1
Mower, Mark Dayton, Democrat, 52.1
Murray, Tom Emmer, Republican, 44.7
Nicollet, Mark Dayton, Democrat, 43.3
Nobles, Tom Emmer, Republican, 47
Norman, Mark Dayton, Democrat, 55.4
Olmsted, Tom Emmer, Republican, 45.8
Otter Tail, Tom Emmer, Republican, 53.6
Pennington, Tom Emmer, Republican, 44.8
Pine, Tom Emmer, Republican, 45.3
Pipestone, Tom Emmer, Republican, 56.5
Polk, Mark Dayton, Democrat, 44.7
Pope, Tom Emmer, Republican, 43.3
Ramsey, Mark Dayton, Democrat, 54.9
Red Lake, Mark Dayton, Democrat, 48.2
Redwood, Tom Emmer, Republican, 53.2
Renville, Tom Emmer, Republican, 43.7
Rice, Mark Dayton, Democrat, 44.6
Rock, Tom Emmer, Republican, 55.2
Roseau, Tom Emmer, Republican, 49.5
St. Louis, Mark Dayton, Democrat, 61.8
Scott, Tom Emmer, Republican, 56.2
Sherburne, Tom Emmer, Republican, 57.4
Sibley, Tom Emmer, Republican, 52.7
Stearns, Tom Emmer, Republican, 50.3
Steele, Tom Emmer, Republican, 47.7
Stevens, Tom Emmer, Republican, 44.3
Swift, Mark Dayton, Democrat, 47.4
Todd, Tom Emmer, Republican, 50.9
Traverse, Mark Dayton, Democrat, 46.3
Wabasha, Tom Emmer, Republican, 48.7
Wadena, Tom Emmer, Republican, 53.7
Waseca, Tom Emmer, Republican, 45.7
Washington, Tom Emmer, Republican, 47.6
Watonwan, Tom Emmer, Republican, 45
Wilkin, Tom Emmer, Republican, 51.9
Winona, Mark Dayton, Democrat, 45.6
Wright, Tom Emmer, Republican, 58.2
Yellow Medicine, Tom Emmer, Republican, 44.2
