Churchill, Brian Sandoval, Republican, 74.2
Clark, Brian Sandoval, Republican, 48.6
Douglas, Brian Sandoval, Republican, 69.1
Elko, Brian Sandoval, Republican, 74
Esmeralda, Brian Sandoval, Republican, 72.6
Eureka, Brian Sandoval, Republican, 79
Humboldt, Brian Sandoval, Republican, 71.6
Lander, Brian Sandoval, Republican, 76.4
Lincoln, Brian Sandoval, Republican, 70.9
Lyon, Brian Sandoval, Republican, 68.5
Mineral, Brian Sandoval, Republican, 59.9
Nye, Brian Sandoval, Republican, 61.5
Pershing, Brian Sandoval, Republican, 65.9
Storey, Brian Sandoval, Republican, 63.7
Washoe, Brian Sandoval, Republican, 57.7
White Pine, Brian Sandoval, Republican, 69.4
Carson City, Brian Sandoval, Republican, 59.1
