Addison, Peter Shumlin, Democrat, 50.8
Bennington, Peter Shumlin, Democrat, 55.3
Caledonia, Brian Dubie, Republican, 57.3
Chittenden, Peter Shumlin, Democrat, 52.4
Essex, Brian Dubie, Republican, 61
Franklin, Brian Dubie, Republican, 60.4
Grand Isle, Brian Dubie, Republican, 54.6
Lamoille, Brian Dubie, Republican, 49.6
Orange, Peter Shumlin, Democrat, 49.5
Orleans, Brian Dubie, Republican, 55.5
Rutland, Brian Dubie, Republican, 55.2
Washington, Peter Shumlin, Democrat, 53.1
Windham, Peter Shumlin, Democrat, 60.6
Windsor, Peter Shumlin, Democrat, 53.7
