Adair, David L Williams, Republican, 51.1
Allen, David L Williams, Republican, 53.2
Anderson, Steve Beshear, Democrat, 50.2
Ballard, Steve Beshear, Democrat, 59
Barren, Steve Beshear, Democrat, 56.3
Bath, Steve Beshear, Democrat, 58.6
Bell, David L Williams, Republican, 50.2
Boone, David L Williams, Republican, 50.6
Bourbon, Steve Beshear, Democrat, 54.8
Boyd, Steve Beshear, Democrat, 62.8
Boyle, Steve Beshear, Democrat, 54.9
Bracken, Steve Beshear, Democrat, 55.2
Breathitt, Steve Beshear, Democrat, 55.2
Breckinridge, Steve Beshear, Democrat, 58.6
Bullitt, Steve Beshear, Democrat, 53.4
Butler, David L Williams, Republican, 52.5
Caldwell, Steve Beshear, Democrat, 60.1
Calloway, Steve Beshear, Democrat, 57.9
Campbell, Steve Beshear, Democrat, 52.8
Carlisle, Steve Beshear, Democrat, 54.2
Carroll, Steve Beshear, Democrat, 66.6
Carter, Steve Beshear, Democrat, 63.9
Casey, David L Williams, Republican, 54.1
Christian, Steve Beshear, Democrat, 48.7
Clark, Steve Beshear, Democrat, 51.6
Clay, David L Williams, Republican, 56.1
Clinton, David L Williams, Republican, 72.4
Crittenden, David L Williams, Republican, 49.3
Cumberland, David L Williams, Republican, 78.4
Daviess, Steve Beshear, Democrat, 59
Edmonson, David L Williams, Republican, 50.6
Elliott, Steve Beshear, Democrat, 73.1
Estill, David L Williams, Republican, 41.8
Fayette, Steve Beshear, Democrat, 54.7
Fleming, Steve Beshear, Democrat, 53.8
Floyd, Steve Beshear, Democrat, 63.6
Franklin, Steve Beshear, Democrat, 59.6
Fulton, Steve Beshear, Democrat, 57.1
Gallatin, Steve Beshear, Democrat, 56.9
Garrard, Steve Beshear, Democrat, 41.9
Grant, Steve Beshear, Democrat, 50
Graves, Steve Beshear, Democrat, 54.4
Grayson, Steve Beshear, Democrat, 52
Green, Steve Beshear, Democrat, 48.7
Greenup, Steve Beshear, Democrat, 60.7
Hancock, Steve Beshear, Democrat, 62.7
Hardin, Steve Beshear, Democrat, 57.8
Harlan, Steve Beshear, Democrat, 47.2
Harrison, Steve Beshear, Democrat, 51.1
Hart, Steve Beshear, Democrat, 59.7
Henderson, Steve Beshear, Democrat, 68.7
Henry, Steve Beshear, Democrat, 58.8
Hickman, Steve Beshear, Democrat, 57.7
Hopkins, Steve Beshear, Democrat, 66.8
Jackson, David L Williams, Republican, 65.2
Jefferson, Steve Beshear, Democrat, 67
Jessamine, Steve Beshear, Democrat, 40.6
Johnson, Steve Beshear, Democrat, 48
Kenton, Steve Beshear, Democrat, 50.9
Knott, Steve Beshear, Democrat, 51.8
Knox, Steve Beshear, Democrat, 50
Larue, Steve Beshear, Democrat, 57.3
Laurel, David L Williams, Republican, 52.3
Lawrence, Steve Beshear, Democrat, 54.3
Lee, David L Williams, Republican, 45.2
Leslie, David L Williams, Republican, 63.6
Letcher, Steve Beshear, Democrat, 50.8
Lewis, David L Williams, Republican, 51.5
Lincoln, Steve Beshear, Democrat, 47.7
Livingston, Steve Beshear, Democrat, 58.3
Logan, Steve Beshear, Democrat, 52.7
Lyon, Steve Beshear, Democrat, 59.4
McCracken, Steve Beshear, Democrat, 52.4
McCreary, David L Williams, Republican, 61.9
McLean, Steve Beshear, Democrat, 66.7
Madison, Steve Beshear, Democrat, 49.9
Magoffin, Steve Beshear, Democrat, 59.9
Marion, Steve Beshear, Democrat, 72.9
Marshall, Steve Beshear, Democrat, 56.1
Martin, David L Williams, Republican, 59.5
Mason, Steve Beshear, Democrat, 59.2
Meade, Steve Beshear, Democrat, 59.3
Menifee, Steve Beshear, Democrat, 57.9
Mercer, Steve Beshear, Democrat, 50.6
Metcalfe, Steve Beshear, Democrat, 54.8
Monroe, David L Williams, Republican, 66.5
Montgomery, Steve Beshear, Democrat, 53.3
Morgan, Steve Beshear, Democrat, 57.6
Muhlenberg, Steve Beshear, Democrat, 69.4
Nelson, Steve Beshear, Democrat, 62.2
Nicholas, Steve Beshear, Democrat, 47
Ohio, Steve Beshear, Democrat, 53.8
Oldham, Steve Beshear, Democrat, 50.3
Owen, Steve Beshear, Democrat, 51.2
Owsley, David L Williams, Republican, 50.9
Pendleton, Steve Beshear, Democrat, 53.7
Perry, Steve Beshear, Democrat, 46.7
Pike, Steve Beshear, Democrat, 57.9
Powell, Steve Beshear, Democrat, 55.9
Pulaski, David L Williams, Republican, 51.8
Robertson, Steve Beshear, Democrat, 53
Rockcastle, David L Williams, Republican, 53.4
Rowan, Steve Beshear, Democrat, 61
Russell, David L Williams, Republican, 51.7
Scott, Steve Beshear, Democrat, 52.8
Shelby, Steve Beshear, Democrat, 53.7
Simpson, Steve Beshear, Democrat, 55.4
Spencer, Steve Beshear, Democrat, 51.6
Taylor, Steve Beshear, Democrat, 54
Todd, David L Williams, Republican, 48.7
Trigg, David L Williams, Republican, 49
Trimble, Steve Beshear, Democrat, 59.6
Union, Steve Beshear, Democrat, 72.4
Warren, Steve Beshear, Democrat, 54.1
Washington, Steve Beshear, Democrat, 56.3
Wayne, David L Williams, Republican, 47.9
Webster, Steve Beshear, Democrat, 69.6
Whitley, David L Williams, Republican, 51
Wolfe, Steve Beshear, Democrat, 58.9
Woodford, Steve Beshear, Democrat, 51.3
