Barbour, Earl Ray Tomblin, Democrat, 50.3
Berkeley, Bill Maloney, Republican, 58.1
Boone, Earl Ray Tomblin, Democrat, 74.2
Braxton, Earl Ray Tomblin, Democrat, 57
Brooke, Earl Ray Tomblin, Democrat, 53.3
Cabell, Earl Ray Tomblin, Democrat, 52.5
Calhoun, Bill Maloney, Republican, 48
Clay, Earl Ray Tomblin, Democrat, 54.1
Doddridge, Bill Maloney, Republican, 66.7
Fayette, Earl Ray Tomblin, Democrat, 59.4
Gilmer, Bill Maloney, Republican, 51.7
Grant, Bill Maloney, Republican, 75.6
Greenbrier, Earl Ray Tomblin, Democrat, 49.7
Hampshire, Bill Maloney, Republican, 65.2
Hancock, Earl Ray Tomblin, Democrat, 51
Hardy, Bill Maloney, Republican, 55.1
Harrison, Earl Ray Tomblin, Democrat, 49
Jackson, Bill Maloney, Republican, 51.7
Jefferson, Bill Maloney, Republican, 49.1
Kanawha, Earl Ray Tomblin, Democrat, 49.5
Lewis, Bill Maloney, Republican, 49.4
Lincoln, Earl Ray Tomblin, Democrat, 66.7
Logan, Earl Ray Tomblin, Democrat, 91.6
McDowell, Earl Ray Tomblin, Democrat, 76.3
Marion, Earl Ray Tomblin, Democrat, 55.1
Marshall, Earl Ray Tomblin, Democrat, 49.1
Mason, Earl Ray Tomblin, Democrat, 49.3
Mercer, Earl Ray Tomblin, Democrat, 49.4
Mineral, Bill Maloney, Republican, 61.3
Mingo, Earl Ray Tomblin, Democrat, 85.2
Monongalia, Bill Maloney, Republican, 55.4
Monroe, Bill Maloney, Republican, 48.2
Morgan, Bill Maloney, Republican, 61.9
Nicholas, Earl Ray Tomblin, Democrat, 50.6
Ohio, Bill Maloney, Republican, 52.7
Pendleton, Bill Maloney, Republican, 57.2
Pleasants, Earl Ray Tomblin, Democrat, 51.4
Pocahontas, Bill Maloney, Republican, 47.8
Preston, Bill Maloney, Republican, 61.7
Putnam, Bill Maloney, Republican, 59.5
Raleigh, Earl Ray Tomblin, Democrat, 49.3
Randolph, Earl Ray Tomblin, Democrat, 54
Ritchie, Bill Maloney, Republican, 64.3
Roane, Bill Maloney, Republican, 48.9
Summers, Earl Ray Tomblin, Democrat, 56.6
Taylor, Bill Maloney, Republican, 50.7
Tucker, Earl Ray Tomblin, Democrat, 50.6
Tyler, Bill Maloney, Republican, 55.8
Upshur, Bill Maloney, Republican, 57.9
Wayne, Earl Ray Tomblin, Democrat, 57.6
Webster, Earl Ray Tomblin, Democrat, 63.6
Wetzel, Earl Ray Tomblin, Democrat, 54
Wirt, Bill Maloney, Republican, 51.1
Wood, Bill Maloney, Republican, 53.6
Wyoming, Earl Ray Tomblin, Democrat, 71.3
