Atlantic, Chris Christie, Republican, 62.2
Bergen, Chris Christie, Republican, 60.2
Burlington, Chris Christie, Republican, 62.3
Camden, Chris Christie, Republican, 54.7
Cape May, Chris Christie, Republican, 71.5
Cumberland, Chris Christie, Republican, 56.6
Essex, Barbara Buono, Democrat, 61.8
Gloucester, Chris Christie, Republican, 64
Hudson, Barbara Buono, Democrat, 54.7
Hunterdon, Chris Christie, Republican, 73.4
Mercer, Chris Christie, Republican, 51.9
Middlesex, Chris Christie, Republican, 58.2
Monmouth, Chris Christie, Republican, 70.6
Morris, Chris Christie, Republican, 70
Ocean, Chris Christie, Republican, 75.7
Passaic, Chris Christie, Republican, 52.9
Salem, Chris Christie, Republican, 66.5
Somerset, Chris Christie, Republican, 67.6
Sussex, Chris Christie, Republican, 71
Union, Chris Christie, Republican, 51.2
Warren, Chris Christie, Republican, 72.4
