Arkansas, Asa Hutchinson, Republican, 52.5
Ashley, Mike Ross, Democrat, 49.3
Baxter, Asa Hutchinson, Republican, 64.8
Benton, Asa Hutchinson, Republican, 69.2
Boone, Asa Hutchinson, Republican, 67
Bradley, Mike Ross, Democrat, 51.5
Calhoun, Asa Hutchinson, Republican, 52.4
Carroll, Asa Hutchinson, Republican, 57.3
Chicot, Mike Ross, Democrat, 69.6
Clark, Mike Ross, Democrat, 57.6
Clay, Asa Hutchinson, Republican, 48.4
Cleburne, Asa Hutchinson, Republican, 67.5
Cleveland, Asa Hutchinson, Republican, 57
Columbia, Asa Hutchinson, Republican, 53.7
Conway, Asa Hutchinson, Republican, 53
Craighead, Asa Hutchinson, Republican, 56.1
Crawford, Asa Hutchinson, Republican, 68.9
Crittenden, Mike Ross, Democrat, 55
Cross, Asa Hutchinson, Republican, 55.1
Dallas, Mike Ross, Democrat, 53.4
Desha, Mike Ross, Democrat, 67.4
Drew, Mike Ross, Democrat, 50
Faulkner, Asa Hutchinson, Republican, 60.5
Franklin, Asa Hutchinson, Republican, 63.3
Fulton, Asa Hutchinson, Republican, 55.2
Garland, Asa Hutchinson, Republican, 57.3
Grant, Asa Hutchinson, Republican, 62.2
Greene, Asa Hutchinson, Republican, 57.3
Hempstead, Asa Hutchinson, Republican, 49.3
Hot Spring, Asa Hutchinson, Republican, 52.6
Howard, Mike Ross, Democrat, 50.3
Independence, Asa Hutchinson, Republican, 62.3
Izard, Asa Hutchinson, Republican, 56.7
Jackson, Mike Ross, Democrat, 49.3
Jefferson, Mike Ross, Democrat, 66.6
Johnson, Asa Hutchinson, Republican, 57
Lafayette, Mike Ross, Democrat, 49.6
Lawrence, Asa Hutchinson, Republican, 50.8
Lee, Mike Ross, Democrat, 64.7
Lincoln, Mike Ross, Democrat, 49.6
Little River, Mike Ross, Democrat, 48.9
Logan, Asa Hutchinson, Republican, 60.2
Lonoke, Asa Hutchinson, Republican, 68.5
Madison, Asa Hutchinson, Republican, 61.3
Marion, Asa Hutchinson, Republican, 63.6
Miller, Asa Hutchinson, Republican, 61.2
Mississippi, Mike Ross, Democrat, 54
Monroe, Mike Ross, Democrat, 54.8
Montgomery, Asa Hutchinson, Republican, 58.5
Nevada, Mike Ross, Democrat, 59.7
Newton, Asa Hutchinson, Republican, 62.8
Ouachita, Mike Ross, Democrat, 54.8
Perry, Asa Hutchinson, Republican, 57.7
Phillips, Mike Ross, Democrat, 64.5
Pike, Asa Hutchinson, Republican, 56
Poinsett, Asa Hutchinson, Republican, 53.8
Polk, Asa Hutchinson, Republican, 64.5
Pope, Asa Hutchinson, Republican, 66.8
Prairie, Asa Hutchinson, Republican, 58.8
Pulaski, Mike Ross, Democrat, 56.2
Randolph, Asa Hutchinson, Republican, 51.4
St. Francis, Mike Ross, Democrat, 61.7
Saline, Asa Hutchinson, Republican, 65
Scott, Asa Hutchinson, Republican, 61.9
Searcy, Asa Hutchinson, Republican, 71
Sebastian, Asa Hutchinson, Republican, 65.5
Sevier, Asa Hutchinson, Republican, 53.7
Sharp, Asa Hutchinson, Republican, 59.8
Stone, Asa Hutchinson, Republican, 62.2
Union, Asa Hutchinson, Republican, 53.3
Van Buren, Asa Hutchinson, Republican, 60.4
Washington, Asa Hutchinson, Republican, 55.3
White, Asa Hutchinson, Republican, 68.6
Woodruff, Mike Ross, Democrat, 62.5
Yell, Asa Hutchinson, Republican, 57.1
