Albany, Andrew Cuomo, Democrat, 44.6
Allegany, Rob Astorino, Republican, 70.6
Bronx, Andrew Cuomo, Democrat, 86.5
Broome, Andrew Cuomo, Democrat, 50.6
Cattaraugus, Rob Astorino, Republican, 62.5
Cayuga, Rob Astorino, Republican, 50
Chautauqua, Rob Astorino, Republican, 57.7
Chemung, Rob Astorino, Republican, 59.5
Chenango, Rob Astorino, Republican, 56.6
Clinton, Andrew Cuomo, Democrat, 55.6
Columbia, Rob Astorino, Republican, 47.5
Cortland, Rob Astorino, Republican, 52.8
Delaware, Rob Astorino, Republican, 58.3
Dutchess, Rob Astorino, Republican, 50.1
Erie, Andrew Cuomo, Democrat, 52.4
Essex, Andrew Cuomo, Democrat, 52.9
Franklin, Andrew Cuomo, Democrat, 48.8
Fulton, Rob Astorino, Republican, 65.5
Genesee, Rob Astorino, Republican, 70
Greene, Rob Astorino, Republican, 60.3
Hamilton, Rob Astorino, Republican, 67.2
Herkimer, Rob Astorino, Republican, 57.8
Jefferson, Rob Astorino, Republican, 50
Kings, Andrew Cuomo, Democrat, 78.5
Lewis, Rob Astorino, Republican, 59.9
Livingston, Rob Astorino, Republican, 68.6
Madison, Rob Astorino, Republican, 52.7
Monroe, Rob Astorino, Republican, 48
Montgomery, Rob Astorino, Republican, 59
Nassau, Andrew Cuomo, Democrat, 52.8
New York, Andrew Cuomo, Democrat, 79.5
Niagara, Rob Astorino, Republican, 54.2
Oneida, Rob Astorino, Republican, 49.1
Onondaga, Andrew Cuomo, Democrat, 51.7
Ontario, Rob Astorino, Republican, 60.2
Orange, Rob Astorino, Republican, 52.2
Orleans, Rob Astorino, Republican, 72
Oswego, Rob Astorino, Republican, 55.5
Otsego, Rob Astorino, Republican, 50.4
Putnam, Rob Astorino, Republican, 54.8
Queens, Andrew Cuomo, Democrat, 74.8
Rensselaer, Rob Astorino, Republican, 53.5
Richmond, Andrew Cuomo, Democrat, 54.7
Rockland, Andrew Cuomo, Democrat, 51.5
St. Lawrence, Rob Astorino, Republican, 47.5
Saratoga, Rob Astorino, Republican, 54.6
Schenectady, Rob Astorino, Republican, 49.1
Schoharie, Rob Astorino, Republican, 63.5
Schuyler, Rob Astorino, Republican, 61.2
Seneca, Rob Astorino, Republican, 57.3
Steuben, Rob Astorino, Republican, 66.1
Suffolk, Rob Astorino, Republican, 48.3
Sullivan, Rob Astorino, Republican, 57.6
Tioga, Rob Astorino, Republican, 56.5
Tompkins, Andrew Cuomo, Democrat, 53.3
Ulster, Rob Astorino, Republican, 45.9
Warren, Rob Astorino, Republican, 55.5
Washington, Rob Astorino, Republican, 58.3
Wayne, Rob Astorino, Republican, 67
Westchester, Andrew Cuomo, Democrat, 55.3
Wyoming, Rob Astorino, Republican, 75.6
Yates, Rob Astorino, Republican, 62.6
