Adams, John Kasich, Republican, 73.8
Allen, John Kasich, Republican, 71.9
Ashland, John Kasich, Republican, 75.9
Ashtabula, John Kasich, Republican, 58.2
Athens, Ed FitzGerald, Democrat, 54.5
Auglaize, John Kasich, Republican, 81.1
Belmont, John Kasich, Republican, 53.3
Brown, John Kasich, Republican, 74
Butler, John Kasich, Republican, 72.5
Carroll, John Kasich, Republican, 69.2
Champaign, John Kasich, Republican, 74.5
Clark, John Kasich, Republican, 66.6
Clermont, John Kasich, Republican, 77.9
Clinton, John Kasich, Republican, 79.1
Columbiana, John Kasich, Republican, 70.2
Coshocton, John Kasich, Republican, 70
Crawford, John Kasich, Republican, 74.5
Cuyahoga, John Kasich, Republican, 51.2
Darke, John Kasich, Republican, 83.2
Defiance, John Kasich, Republican, 71.4
Delaware, John Kasich, Republican, 76.1
Erie, John Kasich, Republican, 60.3
Fairfield, John Kasich, Republican, 70.6
Fayette, John Kasich, Republican, 76.5
Franklin, John Kasich, Republican, 55.6
Fulton, John Kasich, Republican, 72.4
Gallia, John Kasich, Republican, 68.7
Geauga, John Kasich, Republican, 75.1
Greene, John Kasich, Republican, 73.1
Guernsey, John Kasich, Republican, 66.7
Hamilton, John Kasich, Republican, 60.1
Hancock, John Kasich, Republican, 80
Hardin, John Kasich, Republican, 73.9
Harrison, John Kasich, Republican, 62
Henry, John Kasich, Republican, 75.7
Highland, John Kasich, Republican, 77.1
Hocking, John Kasich, Republican, 64.8
Holmes, John Kasich, Republican, 82.9
Huron, John Kasich, Republican, 69.7
Jackson, John Kasich, Republican, 65.2
Jefferson, John Kasich, Republican, 57.9
Knox, John Kasich, Republican, 74.3
Lake, John Kasich, Republican, 68
Lawrence, John Kasich, Republican, 63.6
Licking, John Kasich, Republican, 71.3
Logan, John Kasich, Republican, 79.1
Lorain, John Kasich, Republican, 60.7
Lucas, John Kasich, Republican, 50.8
Madison, John Kasich, Republican, 73.7
Mahoning, John Kasich, Republican, 53.7
Marion, John Kasich, Republican, 70.4
Medina, John Kasich, Republican, 71.8
Meigs, John Kasich, Republican, 63.7
Mercer, John Kasich, Republican, 82.9
Miami, John Kasich, Republican, 79.6
Monroe, Ed FitzGerald, Democrat, 51.9
Montgomery, John Kasich, Republican, 62.2
Morgan, John Kasich, Republican, 66.3
Morrow, John Kasich, Republican, 73.5
Muskingum, John Kasich, Republican, 70.6
Noble, John Kasich, Republican, 61.6
Ottawa, John Kasich, Republican, 63.4
Paulding, John Kasich, Republican, 67.8
Perry, John Kasich, Republican, 65.6
Pickaway, John Kasich, Republican, 74.7
Pike, John Kasich, Republican, 60.8
Portage, John Kasich, Republican, 62.4
Preble, John Kasich, Republican, 78.9
Putnam, John Kasich, Republican, 80
Richland, John Kasich, Republican, 70.3
Ross, John Kasich, Republican, 65.4
Sandusky, John Kasich, Republican, 66.7
Scioto, John Kasich, Republican, 54.7
Seneca, John Kasich, Republican, 70.1
Shelby, John Kasich, Republican, 80.5
Stark, John Kasich, Republican, 67
Summit, John Kasich, Republican, 58.7
Trumbull, John Kasich, Republican, 55.1
Tuscarawas, John Kasich, Republican, 65
Union, John Kasich, Republican, 78.3
Van Wert, John Kasich, Republican, 76.1
Vinton, John Kasich, Republican, 62.4
Warren, John Kasich, Republican, 78.4
Washington, John Kasich, Republican, 66.3
Wayne, John Kasich, Republican, 74.6
Williams, John Kasich, Republican, 73.5
Wood, John Kasich, Republican, 63.6
Wyandot, John Kasich, Republican, 77.4
