Adams, Tom Corbett, Republican, 60.1
Allegheny, Tom Wolf, Democrat, 58.3
Armstrong, Tom Corbett, Republican, 61.6
Beaver, Tom Wolf, Democrat, 51.2
Bedford, Tom Corbett, Republican, 65.4
Berks, Tom Wolf, Democrat, 50.9
Blair, Tom Corbett, Republican, 58.1
Bradford, Tom Corbett, Republican, 66.1
Bucks, Tom Wolf, Democrat, 52.3
Butler, Tom Corbett, Republican, 64
Cambria, Tom Wolf, Democrat, 54.6
Cameron, Tom Corbett, Republican, 56.1
Carbon, Tom Wolf, Democrat, 53.8
Centre, Tom Wolf, Democrat, 57.6
Chester, Tom Wolf, Democrat, 51.8
Clarion, Tom Corbett, Republican, 59.5
Clearfield, Tom Corbett, Republican, 53.5
Clinton, Tom Wolf, Democrat, 53.8
Columbia, Tom Corbett, Republican, 56.6
Crawford, Tom Corbett, Republican, 56.9
Cumberland, Tom Corbett, Republican, 58.2
Dauphin, Tom Wolf, Democrat, 50.8
Delaware, Tom Wolf, Democrat, 60.9
Elk, Tom Corbett, Republican, 51.5
Erie, Tom Wolf, Democrat, 58.1
Fayette, Tom Wolf, Democrat, 58
Forest, Tom Corbett, Republican, 50.2
Franklin, Tom Corbett, Republican, 67.5
Fulton, Tom Corbett, Republican, 70.5
Greene, Tom Wolf, Democrat, 56.2
Huntingdon, Tom Corbett, Republican, 56.9
Indiana, Tom Corbett, Republican, 54.4
Jefferson, Tom Corbett, Republican, 63
Juniata, Tom Corbett, Republican, 67.1
Lackawanna, Tom Wolf, Democrat, 69.7
Lancaster, Tom Corbett, Republican, 59.1
Lawrence, Tom Wolf, Democrat, 51.8
Lebanon, Tom Corbett, Republican, 62.5
Lehigh, Tom Wolf, Democrat, 54.8
Luzerne, Tom Wolf, Democrat, 56.1
Lycoming, Tom Corbett, Republican, 64.6
McKean, Tom Corbett, Republican, 64.3
Mercer, Tom Corbett, Republican, 51.6
Mifflin, Tom Corbett, Republican, 67.7
Monroe, Tom Wolf, Democrat, 56.9
Montgomery, Tom Wolf, Democrat, 59.9
Montour, Tom Corbett, Republican, 57.7
Northampton, Tom Wolf, Democrat, 55
Northumberland, Tom Wolf, Democrat, 50.4
Perry, Tom Corbett, Republican, 66.6
Philadelphia, Tom Wolf, Democrat, 88
Pike, Tom Corbett, Republican, 58.5
Potter, Tom Corbett, Republican, 67.3
Schuylkill, Tom Wolf, Democrat, 54.5
Snyder, Tom Corbett, Republican, 59.2
Somerset, Tom Corbett, Republican, 57.8
Sullivan, Tom Corbett, Republican, 63
Susquehanna, Tom Corbett, Republican, 64.5
Tioga, Tom Corbett, Republican, 69.1
Union, Tom Corbett, Republican, 52.8
Venango, Tom Corbett, Republican, 55.1
Warren, Tom Corbett, Republican, 55.5
Washington, Tom Corbett, Republican, 51.8
Wayne, Tom Corbett, Republican, 55.6
Westmoreland, Tom Corbett, Republican, 57.2
Wyoming, Tom Corbett, Republican, 55.7
York, Tom Corbett, Republican, 57.1
