Beaverhead, Greg Gianforte, Republican, 57.4
Big Horn, Steve Bullock, Democrat, 62.4
Blaine, Steve Bullock, Democrat, 58.6
Broadwater, Greg Gianforte, Republican, 56.7
Carbon, Greg Gianforte, Republican, 51.4
Carter, Greg Gianforte, Republican, 81.9
Cascade, Steve Bullock, Democrat, 53.6
Chouteau, Greg Gianforte, Republican, 50.5
Custer, Greg Gianforte, Republican, 57.3
Daniels, Greg Gianforte, Republican, 66.8
Dawson, Greg Gianforte, Republican, 71.1
Deer Lodge, Steve Bullock, Democrat, 69.6
Fallon, Greg Gianforte, Republican, 71.9
Fergus, Greg Gianforte, Republican, 60.7
Flathead, Greg Gianforte, Republican, 55.6
Gallatin, Steve Bullock, Democrat, 55.8
Garfield, Greg Gianforte, Republican, 82.4
Glacier, Steve Bullock, Democrat, 73
Golden Valley, Greg Gianforte, Republican, 63
Granite, Greg Gianforte, Republican, 53.6
Hill, Steve Bullock, Democrat, 57.3
Jefferson, Greg Gianforte, Republican, 52.3
Judith Basin, Greg Gianforte, Republican, 58.3
Lake, Steve Bullock, Democrat, 48.8
Lewis and Clark, Steve Bullock, Democrat, 60.1
Liberty, Greg Gianforte, Republican, 58.6
Lincoln, Greg Gianforte, Republican, 60.7
McCone, Greg Gianforte, Republican, 74.6
Madison, Greg Gianforte, Republican, 56.3
Meagher, Greg Gianforte, Republican, 60.4
Mineral, Greg Gianforte, Republican, 51.6
Missoula, Steve Bullock, Democrat, 65.3
Musselshell, Greg Gianforte, Republican, 64.9
Park, Steve Bullock, Democrat, 53
Petroleum, Greg Gianforte, Republican, 74.6
Phillips, Greg Gianforte, Republican, 75.9
Pondera, Greg Gianforte, Republican, 50.8
Powder River, Greg Gianforte, Republican, 73.2
Powell, Greg Gianforte, Republican, 57.6
Prairie, Greg Gianforte, Republican, 71.5
Ravalli, Greg Gianforte, Republican, 55.3
Richland, Greg Gianforte, Republican, 73.6
Roosevelt, Steve Bullock, Democrat, 54.7
Rosebud, Greg Gianforte, Republican, 56.9
Sanders, Greg Gianforte, Republican, 57.5
Sheridan, Greg Gianforte, Republican, 54.9
Silver Bow, Steve Bullock, Democrat, 70.5
Stillwater, Greg Gianforte, Republican, 61.4
Sweet Grass, Greg Gianforte, Republican, 64.5
Teton, Greg Gianforte, Republican, 54
Toole, Greg Gianforte, Republican, 58.7
Treasure, Greg Gianforte, Republican, 61.6
Valley, Greg Gianforte, Republican, 59.3
Wheatland, Greg Gianforte, Republican, 56.6
Wibaux, Greg Gianforte, Republican, 69.9
Yellowstone, Greg Gianforte, Republican, 48.6
