Allen, Kris Kobach, Republican, 51.7
Anderson, Kris Kobach, Republican, 57.7
Atchison, Kris Kobach, Republican, 46.7
Barber, Kris Kobach, Republican, 65.7
Barton, Kris Kobach, Republican, 56.4
Bourbon, Kris Kobach, Republican, 60.2
Brown, Kris Kobach, Republican, 54.2
Butler, Kris Kobach, Republican, 53.5
Chase, Kris Kobach, Republican, 53.6
Chautauqua, Kris Kobach, Republican, 71.2
Cherokee, Kris Kobach, Republican, 61.3
Cheyenne, Kris Kobach, Republican, 67.4
Clark, Kris Kobach, Republican, 61.4
Clay, Kris Kobach, Republican, 54.9
Cloud, Kris Kobach, Republican, 53.8
Coffey, Kris Kobach, Republican, 55.4
Comanche, Kris Kobach, Republican, 63.4
Cowley, Kris Kobach, Republican, 49.1
Crawford, Laura Kelly, Democrat, 48.9
Decatur, Kris Kobach, Republican, 65.2
Dickinson, Kris Kobach, Republican, 56
Doniphan, Kris Kobach, Republican, 65.4
Douglas, Laura Kelly, Democrat, 74.1
Edwards, Kris Kobach, Republican, 60.6
Elk, Kris Kobach, Republican, 63.3
Ellis, Kris Kobach, Republican, 49.2
Ellsworth, Kris Kobach, Republican, 50.8
Finney, Kris Kobach, Republican, 44.8
Ford, Kris Kobach, Republican, 50.2
Franklin, Kris Kobach, Republican, 50.6
Geary, Kris Kobach, Republican, 44.9
Gove, Kris Kobach, Republican, 65.7
Graham, Kris Kobach, Republican, 62.1
Grant, Kris Kobach, Republican, 59.7
Gray, Kris Kobach, Republican, 63.5
Greeley, Kris Kobach, Republican, 62.9
Greenwood, Kris Kobach, Republican, 56.9
Hamilton, Kris Kobach, Republican, 59.2
Harper, Kris Kobach, Republican, 60.8
Harvey, Laura Kelly, Democrat, 47
Haskell, Kris Kobach, Republican, 60.1
Hodgeman, Kris Kobach, Republican, 67.6
Jackson, Kris Kobach, Republican, 48.3
Jefferson, Kris Kobach, Republican, 46.1
Jewell, Kris Kobach, Republican, 64.7
Johnson, Laura Kelly, Democrat, 54.7
Kearny, Kris Kobach, Republican, 62.7
Kingman, Kris Kobach, Republican, 58.9
Kiowa, Kris Kobach, Republican, 65.1
Labette, Kris Kobach, Republican, 51.6
Lane, Kris Kobach, Republican, 60.8
Leavenworth, Kris Kobach, Republican, 47
Lincoln, Kris Kobach, Republican, 61.4
Linn, Kris Kobach, Republican, 63.7
Logan, Kris Kobach, Republican, 67.6
Lyon, Laura Kelly, Democrat, 52.1
McPherson, Kris Kobach, Republican, 51.4
Marion, Kris Kobach, Republican, 52.7
Marshall, Kris Kobach, Republican, 45.3
Meade, Kris Kobach, Republican, 65.6
Miami, Kris Kobach, Republican, 54.7
Mitchell, Kris Kobach, Republican, 55
Montgomery, Kris Kobach, Republican, 62.7
Morris, Kris Kobach, Republican, 49.2
Morton, Kris Kobach, Republican, 69
Nemaha, Kris Kobach, Republican, 56.9
Neosho, Kris Kobach, Republican, 53.9
Ness, Kris Kobach, Republican, 68.6
Norton, Kris Kobach, Republican, 62.8
Osage, Kris Kobach, Republican, 47
Osborne, Kris Kobach, Republican, 60.5
Ottawa, Kris Kobach, Republican, 61.4
Pawnee, Kris Kobach, Republican, 51.1
Phillips, Kris Kobach, Republican, 65.4
Pottawatomie, Kris Kobach, Republican, 54.8
Pratt, Kris Kobach, Republican, 52
Rawlins, Kris Kobach, Republican, 63.4
Reno, Kris Kobach, Republican, 47.1
Republic, Kris Kobach, Republican, 61.5
Rice, Kris Kobach, Republican, 56
Riley, Laura Kelly, Democrat, 56.8
Rooks, Kris Kobach, Republican, 65.5
Rush, Kris Kobach, Republican, 57.8
Russell, Kris Kobach, Republican, 58.2
Saline, Kris Kobach, Republican, 45.6
Scott, Kris Kobach, Republican, 66.7
Sedgwick, Laura Kelly, Democrat, 48.2
Seward, Kris Kobach, Republican, 52.7
Shawnee, Laura Kelly, Democrat, 57.9
Sheridan, Kris Kobach, Republican, 69.9
Sherman, Kris Kobach, Republican, 65.4
Smith, Kris Kobach, Republican, 66.5
Stafford, Kris Kobach, Republican, 58.6
Stanton, Kris Kobach, Republican, 62.9
Stevens, Kris Kobach, Republican, 68.7
Sumner, Kris Kobach, Republican, 52.6
Thomas, Kris Kobach, Republican, 61.3
Trego, Kris Kobach, Republican, 59.5
Wabaunsee, Kris Kobach, Republican, 50.3
Wallace, Kris Kobach, Republican, 76.6
Washington, Kris Kobach, Republican, 59.2
Wichita, Kris Kobach, Republican, 73.9
Wilson, Kris Kobach, Republican, 62.7
Woodson, Kris Kobach, Republican, 58.7
Wyandotte, Laura Kelly, Democrat, 67.1
