Allegany, Larry Hogan, Republican, 81.7
Anne Arundel, Larry Hogan, Republican, 68.6
Baltimore, Larry Hogan, Republican, 61.1
Calvert, Larry Hogan, Republican, 75.4
Caroline, Larry Hogan, Republican, 82.5
Carroll, Larry Hogan, Republican, 83.2
Cecil, Larry Hogan, Republican, 77.5
Charles, Ben Jealous, Democrat, 49.9
Dorchester, Larry Hogan, Republican, 74.4
Frederick, Larry Hogan, Republican, 67.7
Garrett, Larry Hogan, Republican, 86
Harford, Larry Hogan, Republican, 77.1
Howard, Larry Hogan, Republican, 56.2
Kent, Larry Hogan, Republican, 73.3
Montgomery, Ben Jealous, Democrat, 54.9
Prince George's, Ben Jealous, Democrat, 70.8
Queen Anne's, Larry Hogan, Republican, 84.9
St. Mary's, Larry Hogan, Republican, 76
Somerset, Larry Hogan, Republican, 67.6
Talbot, Larry Hogan, Republican, 77.4
Washington, Larry Hogan, Republican, 76.8
Wicomico, Larry Hogan, Republican, 67.6
Worcester, Larry Hogan, Republican, 76.1
Baltimore City, Ben Jealous, Democrat, 66.9
