Bernalillo, Michelle Lujan Grisham, Democrat, 62.1
Catron, Steve Pearce, Republican, 72.27
Chaves, Steve Pearce, Republican, 67.98
Cibola, Michelle Lujan Grisham, Democrat, 55.94
Colfax, Steve Pearce, Republican, 50.09
Curry, Steve Pearce, Republican, 69.59
De Baca, Steve Pearce, Republican, 71.94
Doña Ana, Michelle Lujan Grisham, Democrat, 60.64
Eddy, Steve Pearce, Republican, 70.71
Grant, Michelle Lujan Grisham, Democrat, 59.72
Guadalupe, Michelle Lujan Grisham, Democrat, 60.27
Harding, Steve Pearce, Republican, 62.76
Hidalgo, Steve Pearce, Republican, 51.75
Lea, Steve Pearce, Republican, 77.85
Lincoln, Steve Pearce, Republican, 66.52
Los Alamos, Michelle Lujan Grisham, Democrat, 58.61
Luna, Steve Pearce, Republican, 51.7
McKinley, Michelle Lujan Grisham, Democrat, 71.46
Mora, Michelle Lujan Grisham, Democrat, 71.05
Otero, Steve Pearce, Republican, 62.27
Quay, Steve Pearce, Republican, 62.97
Rio Arriba, Michelle Lujan Grisham, Democrat, 73
Roosevelt, Steve Pearce, Republican, 69.26
San Juan, Steve Pearce, Republican, 64.22
San Miguel, Michelle Lujan Grisham, Democrat, 75.78
Sandoval, Michelle Lujan Grisham, Democrat, 55.09
Santa Fe, Michelle Lujan Grisham, Democrat, 78.54
Sierra, Steve Pearce, Republican, 60.19
Socorro, Michelle Lujan Grisham, Democrat, 57.44
Taos, Michelle Lujan Grisham, Democrat, 81.46
Torrance, Steve Pearce, Republican, 61.83
Union, Steve Pearce, Republican, 71.85
Valencia, Steve Pearce, Republican, 51.93
