Albany, Mary Throne, Democrat, 49.5
Big Horn, Mark Gordon, Republican, 78.6
Campbell, Mark Gordon, Republican, 79.9
Carbon, Mark Gordon, Republican, 68.9
Converse, Mark Gordon, Republican, 78.4
Crook, Mark Gordon, Republican, 83.4
Fremont, Mark Gordon, Republican, 64.4
Goshen, Mark Gordon, Republican, 74.3
Hot Springs, Mark Gordon, Republican, 74.7
Johnson, Mark Gordon, Republican, 83.6
Laramie, Mark Gordon, Republican, 61.3
Lincoln, Mark Gordon, Republican, 76.8
Natrona, Mark Gordon, Republican, 68.9
Niobrara, Mark Gordon, Republican, 79.1
Park, Mark Gordon, Republican, 74.6
Platte, Mark Gordon, Republican, 70
Sheridan, Mark Gordon, Republican, 73.9
Sublette, Mark Gordon, Republican, 78.3
Sweetwater, Mark Gordon, Republican, 64.8
Teton, Mary Throne, Democrat, 56
Uinta, Mark Gordon, Republican, 72.6
Washakie, Mark Gordon, Republican, 77
Weston, Mark Gordon, Republican, 78.6
