Adams, Eric Holcomb, Republican, 66.7
Allen, Eric Holcomb, Republican, 58.5
Bartholomew, Eric Holcomb, Republican, 60.9
Benton, Eric Holcomb, Republican, 68.7
Blackford, Eric Holcomb, Republican, 63.1
Boone, Eric Holcomb, Republican, 61.7
Brown, Eric Holcomb, Republican, 55.3
Carroll, Eric Holcomb, Republican, 63.9
Cass, Eric Holcomb, Republican, 58.3
Clark, Eric Holcomb, Republican, 60.4
Clay, Eric Holcomb, Republican, 67
Clinton, Eric Holcomb, Republican, 61.8
Crawford, Eric Holcomb, Republican, 63.1
Daviess, Eric Holcomb, Republican, 70.1
Dearborn, Eric Holcomb, Republican, 72.6
Decatur, Eric Holcomb, Republican, 64.5
DeKalb, Eric Holcomb, Republican, 66.9
Delaware, Eric Holcomb, Republican, 56
Dubois, Eric Holcomb, Republican, 66.7
Elkhart, Eric Holcomb, Republican, 62.1
Fayette, Eric Holcomb, Republican, 69
Floyd, Eric Holcomb, Republican, 60
Fountain, Eric Holcomb, Republican, 65.3
Franklin, Eric Holcomb, Republican, 73
Fulton, Eric Holcomb, Republican, 59.6
Gibson, Eric Holcomb, Republican, 72
Grant, Eric Holcomb, Republican, 62.3
Greene, Eric Holcomb, Republican, 65.2
Hamilton, Eric Holcomb, Republican, 60.8
Hancock, Eric Holcomb, Republican, 59.9
Harrison, Eric Holcomb, Republican, 69.7
Hendricks, Eric Holcomb, Republican, 57.5
Henry, Eric Holcomb, Republican, 59.3
Howard, Eric Holcomb, Republican, 60.1
Huntington, Eric Holcomb, Republican, 66.3
Jackson, Eric Holcomb, Republican, 61.2
Jasper, Eric Holcomb, Republican, 67.5
Jay, Eric Holcomb, Republican, 62.2
Jefferson, Eric Holcomb, Republican, 62.4
Jennings, Eric Holcomb, Republican, 62.1
Johnson, Eric Holcomb, Republican, 61.4
Knox, Eric Holcomb, Republican, 70.8
Kosciusko, Eric Holcomb, Republican, 64.6
LaGrange, Eric Holcomb, Republican, 71.1
Lake, Woody Myers, Democrat, 51.7
LaPorte, Eric Holcomb, Republican, 53.7
Lawrence, Eric Holcomb, Republican, 64.1
Madison, Eric Holcomb, Republican, 56.8
Marion, Woody Myers, Democrat, 52.1
Marshall, Eric Holcomb, Republican, 66.4
Martin, Eric Holcomb, Republican, 63.1
Miami, Eric Holcomb, Republican, 64.1
Monroe, Woody Myers, Democrat, 52.8
Montgomery, Eric Holcomb, Republican, 61.6
Morgan, Eric Holcomb, Republican, 61.6
Newton, Eric Holcomb, Republican, 66.5
Noble, Eric Holcomb, Republican, 65.5
Ohio, Eric Holcomb, Republican, 69.4
Orange, Eric Holcomb, Republican, 63.8
Owen, Eric Holcomb, Republican, 59.5
Parke, Eric Holcomb, Republican, 68.4
Perry, Eric Holcomb, Republican, 63.9
Pike, Eric Holcomb, Republican, 68.4
Porter, Eric Holcomb, Republican, 53.2
Posey, Eric Holcomb, Republican, 72.9
Pulaski, Eric Holcomb, Republican, 67.2
Putnam, Eric Holcomb, Republican, 56.7
Randolph, Eric Holcomb, Republican, 67.3
Ripley, Eric Holcomb, Republican, 67
Rush, Eric Holcomb, Republican, 62.8
Scott, Eric Holcomb, Republican, 60.8
Shelby, Eric Holcomb, Republican, 61.8
Spencer, Eric Holcomb, Republican, 68.2
St. Joseph, Eric Holcomb, Republican, 52.9
Starke, Eric Holcomb, Republican, 66.1
Steuben, Eric Holcomb, Republican, 70.9
Sullivan, Eric Holcomb, Republican, 67.4
Switzerland, Eric Holcomb, Republican, 69.8
Tippecanoe, Eric Holcomb, Republican, 53.3
Tipton, Eric Holcomb, Republican, 64
Union, Eric Holcomb, Republican, 73.2
Vanderburgh, Eric Holcomb, Republican, 60.1
Vermillion, Eric Holcomb, Republican, 66.9
Vigo, Eric Holcomb, Republican, 59.8
Wabash, Eric Holcomb, Republican, 62.8
Warren, Eric Holcomb, Republican, 67.5
Warrick, Eric Holcomb, Republican, 67.7
Washington, Eric Holcomb, Republican, 65.6
Wayne, Eric Holcomb, Republican, 61.2
Wells, Eric Holcomb, Republican, 66.7
White, Eric Holcomb, Republican, 65.8
Whitley, Eric Holcomb, Republican, 66
