Addison, Phil Scott, Republican, 68.75
Bennington, Phil Scott, Republican, 60.24
Caledonia, Phil Scott, Republican, 73.25
Chittenden, Phil Scott, Republican, 66.5
Essex, Phil Scott, Republican, 75.7
Franklin, Phil Scott, Republican, 78.35
Grand Isle, Phil Scott, Republican, 77.84
Lamoille, Phil Scott, Republican, 72.19
Orange, Phil Scott, Republican, 71.62
Orleans, Phil Scott, Republican, 74.3
Rutland, Phil Scott, Republican, 73.33
Washington, Phil Scott, Republican, 69.08
Windham, Phil Scott, Republican, 54.05
Windsor, Phil Scott, Republican, 67.1
