Apache, Katie Hobbs, Democrat, 66.65
Cochise, Kari Lake, Republican, 58.89
Coconino, Katie Hobbs, Democrat, 62.84
Gila, Kari Lake, Republican, 65.76
Graham, Kari Lake, Republican, 71.54
Greenlee, Kari Lake, Republican, 62.39
La Paz, Kari Lake, Republican, 69.96
Maricopa, Katie Hobbs, Democrat, 51.2
Mohave, Kari Lake, Republican, 74.99
Navajo, Kari Lake, Republican, 55.28
Pima, Katie Hobbs, Democrat, 60.57
Pinal, Kari Lake, Republican, 58.25
Santa Cruz, Katie Hobbs, Democrat, 66.6
Yavapai, Kari Lake, Republican, 63.99
Yuma, Kari Lake, Republican, 56.47
