Arkansas, Sarah Huckabee Sanders, Republican, 71.2
Ashley, Sarah Huckabee Sanders, Republican, 73.5
Baxter, Sarah Huckabee Sanders, Republican, 77.2
Benton, Sarah Huckabee Sanders, Republican, 61.5
Boone, Sarah Huckabee Sanders, Republican, 79.4
Bradley, Sarah Huckabee Sanders, Republican, 66.9
Calhoun, Sarah Huckabee Sanders, Republican, 78.5
Carroll, Sarah Huckabee Sanders, Republican, 63
Chicot, Chris Jones, Democrat, 52.3
Clark, Sarah Huckabee Sanders, Republican, 56.6
Clay, Sarah Huckabee Sanders, Republican, 77.6
Cleburne, Sarah Huckabee Sanders, Republican, 82.2
Cleveland, Sarah Huckabee Sanders, Republican, 81.9
Columbia, Sarah Huckabee Sanders, Republican, 66.8
Conway, Sarah Huckabee Sanders, Republican, 66.2
Craighead, Sarah Huckabee Sanders, Republican, 65.6
Crawford, Sarah Huckabee Sanders, Republican, 76.9
Crittenden, Chris Jones, Democrat, 49.2
Cross, Sarah Huckabee Sanders, Republican, 74.4
Dallas, Sarah Huckabee Sanders, Republican, 63.7
Desha, Sarah Huckabee Sanders, Republican, 51.8
Drew, Sarah Huckabee Sanders, Republican, 63.6
Faulkner, Sarah Huckabee Sanders, Republican, 62.9
Franklin, Sarah Huckabee Sanders, Republican, 75.9
Fulton, Sarah Huckabee Sanders, Republican, 76.4
Garland, Sarah Huckabee Sanders, Republican, 66.7
Grant, Sarah Huckabee Sanders, Republican, 81.3
Greene, Sarah Huckabee Sanders, Republican, 77.7
Hempstead, Sarah Huckabee Sanders, Republican, 70.7
Hot Spring, Sarah Huckabee Sanders, Republican, 72.7
Howard, Sarah Huckabee Sanders, Republican, 70.8
Independence, Sarah Huckabee Sanders, Republican, 76.3
Izard, Sarah Huckabee Sanders, Republican, 79.1
Jackson, Sarah Huckabee Sanders, Republican, 70.8
Jefferson, Chris Jones, Democrat, 59.8
Johnson, Sarah Huckabee Sanders, Republican, 72.3
Lafayette, Sarah Huckabee Sanders, Republican, 64.9
Lawrence, Sarah Huckabee Sanders, Republican, 78.7
Lee, Chris Jones, Democrat, 50.2
Lincoln, Sarah Huckabee Sanders, Republican, 72.6
Little River, Sarah Huckabee Sanders, Republican, 76.2
Logan, Sarah Huckabee Sanders, Republican, 77.6
Lonoke, Sarah Huckabee Sanders, Republican, 74.2
Madison, Sarah Huckabee Sanders, Republican, 75.7
Marion, Sarah Huckabee Sanders, Republican, 79
Miller, Sarah Huckabee Sanders, Republican, 76.1
Mississippi, Sarah Huckabee Sanders, Republican, 62.1
Monroe, Sarah Huckabee Sanders, Republican, 55
Montgomery, Sarah Huckabee Sanders, Republican, 79.2
Nevada, Sarah Huckabee Sanders, Republican, 67.3
Newton, Sarah Huckabee Sanders, Republican, 79.2
Ouachita, Sarah Huckabee Sanders, Republican, 57.9
Perry, Sarah Huckabee Sanders, Republican, 75.2
Phillips, Chris Jones, Democrat, 55.3
Pike, Sarah Huckabee Sanders, Republican, 83.8
Poinsett, Sarah Huckabee Sanders, Republican, 78.8
Polk, Sarah Huckabee Sanders, Republican, 81.6
Pope, Sarah Huckabee Sanders, Republican, 73.3
Prairie, Sarah Huckabee Sanders, Republican, 81.2
Pulaski, Chris Jones, Democrat, 60.7
Randolph, Sarah Huckabee Sanders, Republican, 78.4
St. Francis, Chris Jones, Democrat, 49.7
Saline, Sarah Huckabee Sanders, Republican, 69.2
Scott, Sarah Huckabee Sanders, Republican, 84.4
Searcy, Sarah Huckabee Sanders, Republican, 82.3
Sebastian, Sarah Huckabee Sanders, Republican, 66.7
Sevier, Sarah Huckabee Sanders, Republican, 77.1
Sharp, Sarah Huckabee Sanders, Republican, 79.6
Stone, Sarah Huckabee Sanders, Republican, 77
Union, Sarah Huckabee Sanders, Republican, 66.9
Van Buren, Sarah Huckabee Sanders, Republican, 76.7
Washington, Chris Jones, Democrat, 49.3
White, Sarah Huckabee Sanders, Republican, 77.9
Woodruff, Sarah Huckabee Sanders, Republican, 64.4
Yell, Sarah Huckabee Sanders, Republican, 78.9
