Aurora, Kristi Noem, Republican, 73.64
Beadle, Kristi Noem, Republican, 66.84
Bennett, Kristi Noem, Republican, 60.39
Bon Homme, Kristi Noem, Republican, 72.52
Brookings, Kristi Noem, Republican, 56.12
Brown, Kristi Noem, Republican, 60.56
Brule, Kristi Noem, Republican, 69.37
Buffalo, Jamie Smith, Democrat, 58.94
Butte, Kristi Noem, Republican, 76.71
Campbell, Kristi Noem, Republican, 84.11
Charles Mix, Kristi Noem, Republican, 70.75
Clark, Kristi Noem, Republican, 76.44
Clay, Jamie Smith, Democrat, 54.39
Codington, Kristi Noem, Republican, 67.87
Corson, Kristi Noem, Republican, 56.25
Custer, Kristi Noem, Republican, 71.56
Davison, Kristi Noem, Republican, 67.51
Day, Kristi Noem, Republican, 63.43
Deuel, Kristi Noem, Republican, 74.28
Dewey, Jamie Smith, Democrat, 54.76
Douglas, Kristi Noem, Republican, 85.71
Edmunds, Kristi Noem, Republican, 77.66
Fall River, Kristi Noem, Republican, 73.04
Faulk, Kristi Noem, Republican, 80.73
Grant, Kristi Noem, Republican, 72.41
Gregory, Kristi Noem, Republican, 78.77
Haakon, Kristi Noem, Republican, 90.37
Hamlin, Kristi Noem, Republican, 77.58
Hand, Kristi Noem, Republican, 78.36
Hanson, Kristi Noem, Republican, 77.63
Harding, Kristi Noem, Republican, 93.35
Hughes, Kristi Noem, Republican, 61.38
Hutchinson, Kristi Noem, Republican, 78.99
Hyde, Kristi Noem, Republican, 80
Jackson, Kristi Noem, Republican, 67.79
Jerauld, Kristi Noem, Republican, 69.75
Jones, Kristi Noem, Republican, 83.69
Kingsbury, Kristi Noem, Republican, 70.25
Lake, Kristi Noem, Republican, 63.05
Lawrence, Kristi Noem, Republican, 63.27
Lincoln, Kristi Noem, Republican, 59.76
Lyman, Kristi Noem, Republican, 66.69
Marshall, Kristi Noem, Republican, 59.42
McCook, Kristi Noem, Republican, 72.67
McPherson, Kristi Noem, Republican, 82.82
Meade, Kristi Noem, Republican, 71.46
Mellette, Kristi Noem, Republican, 61.27
Miner, Kristi Noem, Republican, 72.69
Minnehaha, Kristi Noem, Republican, 52.53
Moody, Kristi Noem, Republican, 62.97
Oglala Lakota, Jamie Smith, Democrat, 87.58
Pennington, Kristi Noem, Republican, 60.78
Perkins, Kristi Noem, Republican, 83.24
Potter, Kristi Noem, Republican, 81.16
Roberts, Kristi Noem, Republican, 60.7
Sanborn, Kristi Noem, Republican, 75.4
Spink, Kristi Noem, Republican, 68.61
Stanley, Kristi Noem, Republican, 69.04
Sully, Kristi Noem, Republican, 75.76
Todd, Jamie Smith, Democrat, 74.97
Tripp, Kristi Noem, Republican, 82.58
Turner, Kristi Noem, Republican, 73.32
Union, Kristi Noem, Republican, 70.07
Walworth, Kristi Noem, Republican, 76.62
Yankton, Kristi Noem, Republican, 58.89
Ziebach, Kristi Noem, Republican, 50.51
