Albany, Mark Gordon, Republican, 59.2
Big Horn, Mark Gordon, Republican, 83.3
Campbell, Mark Gordon, Republican, 79.8
Carbon, Mark Gordon, Republican, 78.3
Converse, Mark Gordon, Republican, 76.3
Crook, Mark Gordon, Republican, 77.5
Fremont, Mark Gordon, Republican, 73.6
Goshen, Mark Gordon, Republican, 82.5
Hot Springs, Mark Gordon, Republican, 70.2
Johnson, Mark Gordon, Republican, 82.3
Laramie, Mark Gordon, Republican, 73.8
Lincoln, Mark Gordon, Republican, 80.5
Natrona, Mark Gordon, Republican, 76.7
Niobrara, Mark Gordon, Republican, 67.2
Park, Mark Gordon, Republican, 76.4
Platte, Mark Gordon, Republican, 74.3
Sheridan, Mark Gordon, Republican, 76.6
Sublette, Mark Gordon, Republican, 81.8
Sweetwater, Mark Gordon, Republican, 74.1
Teton, Mark Gordon, Republican, 48.7
Uinta, Mark Gordon, Republican, 79.2
Washakie, Mark Gordon, Republican, 81
Weston, Mark Gordon, Republican, 74.3
