Adams, Brandon Presley, Democrat, 61.3
Alcorn, Tate Reeves, Republican, 72.5
Amite, Tate Reeves, Republican, 58
Attala, Tate Reeves, Republican, 50.4
Benton, Tate Reeves, Republican, 56.5
Bolivar, Brandon Presley, Democrat, 70.2
Calhoun, Tate Reeves, Republican, 62.6
Carroll, Tate Reeves, Republican, 58.4
Chickasaw, Brandon Presley, Democrat, 56.4
Choctaw, Tate Reeves, Republican, 63.3
Claiborne, Brandon Presley, Democrat, 86.2
Clarke, Tate Reeves, Republican, 60.1
Clay, Brandon Presley, Democrat, 63.8
Coahoma, Brandon Presley, Democrat, 75.8
Copiah, Brandon Presley, Democrat, 55.7
Covington, Tate Reeves, Republican, 56.1
DeSoto, Tate Reeves, Republican, 57.7
Forrest, Brandon Presley, Democrat, 49.7
Franklin, Tate Reeves, Republican, 58.5
George, Tate Reeves, Republican, 82.5
Greene, Tate Reeves, Republican, 71.3
Grenada, Brandon Presley, Democrat, 53
Hancock, Tate Reeves, Republican, 71.1
Harrison, Tate Reeves, Republican, 56.2
Hinds, Brandon Presley, Democrat, 79.1
Holmes, Brandon Presley, Democrat, 84.5
Humphreys, Brandon Presley, Democrat, 76.5
Issaquena, Brandon Presley, Democrat, 53.4
Itawamba, Tate Reeves, Republican, 74.9
Jackson, Tate Reeves, Republican, 62
Jasper, Brandon Presley, Democrat, 55.7
Jefferson, Brandon Presley, Democrat, 87.9
Jefferson Davis, Brandon Presley, Democrat, 64.4
Jones, Tate Reeves, Republican, 65
Kemper, Brandon Presley, Democrat, 63.7
Lafayette, Tate Reeves, Republican, 51.4
Lamar, Tate Reeves, Republican, 68.1
Lauderdale, Tate Reeves, Republican, 55.4
Lawrence, Tate Reeves, Republican, 56.1
Leake, Tate Reeves, Republican, 54.2
Lee, Tate Reeves, Republican, 55.7
Leflore, Brandon Presley, Democrat, 79
Lincoln, Tate Reeves, Republican, 62.5
Lowndes, Brandon Presley, Democrat, 52.9
Madison, Tate Reeves, Republican, 50.6
Marion, Tate Reeves, Republican, 60.3
Marshall, Brandon Presley, Democrat, 50.3
Monroe, Tate Reeves, Republican, 53
Montgomery, Tate Reeves, Republican, 49.6
Neshoba, Tate Reeves, Republican, 67.6
Newton, Tate Reeves, Republican, 63.5
Noxubee, Brandon Presley, Democrat, 81.2
Oktibbeha, Brandon Presley, Democrat, 56.5
Panola, Brandon Presley, Democrat, 50.7
Pearl River, Tate Reeves, Republican, 76.1
Perry, Tate Reeves, Republican, 68
Pike, Brandon Presley, Democrat, 54.8
Pontotoc, Tate Reeves, Republican, 70.8
Prentiss, Tate Reeves, Republican, 65.9
Quitman, Brandon Presley, Democrat, 70.2
Rankin, Tate Reeves, Republican, 65.5
Scott, Tate Reeves, Republican, 50.8
Sharkey, Brandon Presley, Democrat, 75.3
Simpson, Tate Reeves, Republican, 57.6
Smith, Tate Reeves, Republican, 68.6
Stone, Tate Reeves, Republican, 69.2
Sunflower, Brandon Presley, Democrat, 73.6
Tallahatchie, Brandon Presley, Democrat, 64.5
Tate, Tate Reeves, Republican, 60.9
Tippah, Tate Reeves, Republican, 69.9
Tishomingo, Tate Reeves, Republican, 73
Tunica, Brandon Presley, Democrat, 73.9
Union, Tate Reeves, Republican, 72.6
Walthall, Tate Reeves, Republican, 53
Warren, Brandon Presley, Democrat, 53.4
Washington, Brandon Presley, Democrat, 75.1
Wayne, Tate Reeves, Republican, 56.2
Webster, Tate Reeves, Republican, 71.8
Wilkinson, Brandon Presley, Democrat, 65.1
Winston, Brandon Presley, Democrat, 50
Yalobusha, Brandon Presley, Democrat, 49.6
Yazoo, Brandon Presley, Democrat, 55.3
