Adams, James Buchanan, Democrat, 51.51
Allen, James Buchanan, Democrat, 49.98
Ashland, James Buchanan, Democrat, 51.71
Ashtabula, John C Frémont, Republican, 80.63
Athens, John C Frémont, Republican, 60.45
Auglaize, James Buchanan, Democrat, 61.6
Belmont, James Buchanan, Democrat, 44.04
Brown, James Buchanan, Democrat, 54.96
Butler, James Buchanan, Democrat, 57.47
Carroll, John C Frémont, Republican, 56.6
Champaign, John C Frémont, Republican, 49.55
Clark, John C Frémont, Republican, 60.74
Clermont, James Buchanan, Democrat, 48
Clinton, John C Frémont, Republican, 60.02
Columbiana, John C Frémont, Republican, 57.55
Coshocton, James Buchanan, Democrat, 50.7
Crawford, James Buchanan, Democrat, 55.64
Cuyahoga, John C Frémont, Republican, 57.29
Darke, John C Frémont, Republican, 48.7
Defiance, James Buchanan, Democrat, 51.03
Delaware, John C Frémont, Republican, 55.75
Erie, John C Frémont, Republican, 60.86
Fairfield, James Buchanan, Democrat, 57.28
Fayette, John C Frémont, Republican, 49.11
Franklin, James Buchanan, Democrat, 48.27
Fulton, John C Frémont, Republican, 56.77
Gallia, James Buchanan, Democrat, 42.48
Geauga, John C Frémont, Republican, 80.97
Greene, John C Frémont, Republican, 64.36
Guernsey, John C Frémont, Republican, 52.76
Hamilton, James Buchanan, Democrat, 46.48
Hancock, James Buchanan, Democrat, 51.78
Hardin, John C Frémont, Republican, 53.09
Harrison, John C Frémont, Republican, 56.55
Henry, James Buchanan, Democrat, 51.82
Highland, James Buchanan, Democrat, 44.18
Hocking, James Buchanan, Democrat, 54.64
Holmes, James Buchanan, Democrat, 61.98
Huron, John C Frémont, Republican, 66.3
Jackson, James Buchanan, Democrat, 50.53
Jefferson, John C Frémont, Republican, 51.86
Knox, John C Frémont, Republican, 51.64
Lake, John C Frémont, Republican, 78.04
Lawrence, James Buchanan, Democrat, 41.14
Licking, James Buchanan, Democrat, 49.46
Logan, John C Frémont, Republican, 56.75
Lorain, John C Frémont, Republican, 70.97
Lucas, James Buchanan, Democrat, 46.76
Madison, John C Frémont, Republican, 46.85
Mahoning, John C Frémont, Republican, 54.16
Marion, John C Frémont, Republican, 51.66
Medina, John C Frémont, Republican, 62.22
Meigs, John C Frémont, Republican, 50.65
Mercer, James Buchanan, Democrat, 60.94
Miami, John C Frémont, Republican, 59.63
Monroe, James Buchanan, Democrat, 66.31
Montgomery, James Buchanan, Democrat, 49.17
Morgan, John C Frémont, Republican, 53.19
Morrow, John C Frémont, Republican, 53.46
Muskingum, James Buchanan, Democrat, 44.3
Noble, John C Frémont, Republican, 51.81
Ottawa, James Buchanan, Democrat, 51.18
Paulding, John C Frémont, Republican, 73.96
Perry, James Buchanan, Democrat, 49.6
Pickaway, James Buchanan, Democrat, 49.52
Pike, James Buchanan, Democrat, 56.68
Portage, John C Frémont, Republican, 58.94
Preble, John C Frémont, Republican, 55.08
Putnam, James Buchanan, Democrat, 58.43
Richland, James Buchanan, Democrat, 51.14
Ross, James Buchanan, Democrat, 46.99
Sandusky, James Buchanan, Democrat, 50.09
Scioto, James Buchanan, Democrat, 46.67
Seneca, James Buchanan, Democrat, 49.4
Shelby, James Buchanan, Democrat, 49.37
Stark, John C Frémont, Republican, 50.73
Summit, John C Frémont, Republican, 63.64
Trumbull, John C Frémont, Republican, 67.63
Tuscarawas, John C Frémont, Republican, 52.93
Union, John C Frémont, Republican, 52.06
Van Wert, James Buchanan, Democrat, 49.97
Vinton, James Buchanan, Democrat, 54.43
Warren, John C Frémont, Republican, 55.91
Washington, John C Frémont, Republican, 52.36
Wayne, James Buchanan, Democrat, 49.72
Williams, John C Frémont, Republican, 55.34
Wood, John C Frémont, Republican, 55.03
Wyandot, James Buchanan, Democrat, 48.54
