Aitkin, Charles Evans Hughes, Republican, 46.23
Anoka, Charles Evans Hughes, Republican, 48.95
Becker, Charles Evans Hughes, Republican, 50.44
Beltrami, Woodrow Wilson, Democrat, 47.47
Benton, Charles Evans Hughes, Republican, 49.09
Big Stone, Woodrow Wilson, Democrat, 48.14
Blue Earth, Charles Evans Hughes, Republican, 53.96
Brown, Charles Evans Hughes, Republican, 59.68
Carlton, Woodrow Wilson, Democrat, 40.87
Carver, Charles Evans Hughes, Republican, 65.57
Cass, Woodrow Wilson, Democrat, 49.03
Chippewa, Charles Evans Hughes, Republican, 46.79
Chisago, Charles Evans Hughes, Republican, 61.22
Clay, Woodrow Wilson, Democrat, 49.62
Clearwater, Woodrow Wilson, Democrat, 44.05
Cook, Woodrow Wilson, Democrat, 44.63
Cottonwood, Charles Evans Hughes, Republican, 60.23
Crow Wing, Charles Evans Hughes, Republican, 44.42
Dakota, Woodrow Wilson, Democrat, 52.64
Dodge, Charles Evans Hughes, Republican, 55.8
Douglas, Charles Evans Hughes, Republican, 50.26
Faribault, Charles Evans Hughes, Republican, 61.71
Fillmore, Charles Evans Hughes, Republican, 65.2
Freeborn, Charles Evans Hughes, Republican, 60.07
Goodhue, Charles Evans Hughes, Republican, 53.09
Grant, Charles Evans Hughes, Republican, 49.19
Hennepin, Woodrow Wilson, Democrat, 53.09
Houston, Charles Evans Hughes, Republican, 69.08
Hubbard, Woodrow Wilson, Democrat, 47.11
Isanti, Charles Evans Hughes, Republican, 48.18
Itasca, Woodrow Wilson, Democrat, 47.7
Jackson, Charles Evans Hughes, Republican, 51.95
Kanabec, Charles Evans Hughes, Republican, 49.02
Kandiyohi, Woodrow Wilson, Democrat, 51.05
Kittson, Woodrow Wilson, Democrat, 46.46
Koochiching, Woodrow Wilson, Democrat, 58.99
Lac qui Parle, Charles Evans Hughes, Republican, 56.3
Lake, Woodrow Wilson, Democrat, 38.13
Le Sueur, Woodrow Wilson, Democrat, 52.89
Lincoln, Woodrow Wilson, Democrat, 57.69
Lyon, Woodrow Wilson, Democrat, 53.11
McLeod, Charles Evans Hughes, Republican, 55.22
Mahnomen, Woodrow Wilson, Democrat, 57.08
Marshall, Woodrow Wilson, Democrat, 46.33
Martin, Woodrow Wilson, Democrat, 47.56
Meeker, Charles Evans Hughes, Republican, 52.69
Mille Lacs, Charles Evans Hughes, Republican, 44.58
Morrison, Charles Evans Hughes, Republican, 48.84
Mower, Charles Evans Hughes, Republican, 59.43
Murray, Woodrow Wilson, Democrat, 48.93
Nicollet, Charles Evans Hughes, Republican, 58.44
Nobles, Charles Evans Hughes, Republican, 50.39
Norman, Woodrow Wilson, Democrat, 43.32
Olmsted, Charles Evans Hughes, Republican, 49.67
Otter Tail, Charles Evans Hughes, Republican, 53.81
Pennington, Woodrow Wilson, Democrat, 46.81
Pine, Charles Evans Hughes, Republican, 44.38
Pipestone, Charles Evans Hughes, Republican, 52.44
Polk, Woodrow Wilson, Democrat, 53.7
Pope, Charles Evans Hughes, Republican, 51.18
Ramsey, Woodrow Wilson, Democrat, 58.72
Red Lake, Woodrow Wilson, Democrat, 56.51
Redwood, Charles Evans Hughes, Republican, 56.98
Renville, Charles Evans Hughes, Republican, 55.25
Rice, Charles Evans Hughes, Republican, 51.66
Rock, Charles Evans Hughes, Republican, 59.68
Roseau, Woodrow Wilson, Democrat, 39.32
Saint Louis, Woodrow Wilson, Democrat, 46.15
Scott, Woodrow Wilson, Democrat, 57.21
Sherburne, Charles Evans Hughes, Republican, 54.09
Sibley, Charles Evans Hughes, Republican, 62.37
Stearns, Charles Evans Hughes, Republican, 54.44
Steele, Charles Evans Hughes, Republican, 52.2
Stevens, Charles Evans Hughes, Republican, 52.56
Swift, Charles Evans Hughes, Republican, 50.21
Todd, Woodrow Wilson, Democrat, 44.57
Traverse, Woodrow Wilson, Democrat, 49.02
Wabasha, Charles Evans Hughes, Republican, 53.11
Wadena, Charles Evans Hughes, Republican, 54.31
Waseca, Charles Evans Hughes, Republican, 54.11
Washington, Charles Evans Hughes, Republican, 53.55
Watonwan, Charles Evans Hughes, Republican, 59.94
Wilkin, Woodrow Wilson, Democrat, 51.76
Winona, Charles Evans Hughes, Republican, 47.94
Wright, Charles Evans Hughes, Republican, 52.24
Yellow Medicine, Charles Evans Hughes, Republican, 50.08
