Adams, Woodrow Wilson, Democrat, 54.58
Antelope, Woodrow Wilson, Democrat, 54.52
Arthur, Woodrow Wilson, Democrat, 64.27
Banner, Woodrow Wilson, Democrat, 50
Blaine, Woodrow Wilson, Democrat, 54.42
Boone, Woodrow Wilson, Democrat, 60.61
Box Butte, Woodrow Wilson, Democrat, 58.22
Boyd, Woodrow Wilson, Democrat, 49.48
Brown, Woodrow Wilson, Democrat, 59.91
Buffalo, Woodrow Wilson, Democrat, 54.25
Burt, Charles Evans Hughes, Republican, 50.33
Butler, Woodrow Wilson, Democrat, 66.42
Cass, Woodrow Wilson, Democrat, 54.93
Cedar, Charles Evans Hughes, Republican, 49.47
Chase, Woodrow Wilson, Democrat, 55.83
Cherry, Woodrow Wilson, Democrat, 57.92
Cheyenne, Woodrow Wilson, Democrat, 56.62
Clay, Woodrow Wilson, Democrat, 51.69
Colfax, Woodrow Wilson, Democrat, 63.13
Cuming, Charles Evans Hughes, Republican, 51.04
Custer, Woodrow Wilson, Democrat, 60.37
Dakota, Woodrow Wilson, Democrat, 61.47
Dawes, Woodrow Wilson, Democrat, 57.11
Dawson, Woodrow Wilson, Democrat, 56.12
Deuel, Woodrow Wilson, Democrat, 62.5
Dixon, Woodrow Wilson, Democrat, 51.63
Dodge, Woodrow Wilson, Democrat, 49.83
Douglas, Woodrow Wilson, Democrat, 59.84
Dundy, Woodrow Wilson, Democrat, 58.34
Fillmore, Woodrow Wilson, Democrat, 53.8
Franklin, Woodrow Wilson, Democrat, 53.8
Frontier, Woodrow Wilson, Democrat, 57.65
Furnas, Woodrow Wilson, Democrat, 55.9
Gage, Woodrow Wilson, Democrat, 48.74
Garden, Woodrow Wilson, Democrat, 62.55
Garfield, Woodrow Wilson, Democrat, 52.79
Gosper, Woodrow Wilson, Democrat, 56.87
Grant, Woodrow Wilson, Democrat, 59.21
Greeley, Woodrow Wilson, Democrat, 64.97
Hall, Charles Evans Hughes, Republican, 48.54
Hamilton, Woodrow Wilson, Democrat, 54.27
Harlan, Woodrow Wilson, Democrat, 56.94
Hayes, Woodrow Wilson, Democrat, 58.14
Hitchcock, Woodrow Wilson, Democrat, 60.93
Holt, Woodrow Wilson, Democrat, 56.73
Hooker, Woodrow Wilson, Democrat, 64.5
Howard, Woodrow Wilson, Democrat, 68.18
Jefferson, Woodrow Wilson, Democrat, 47.57
Johnson, Charles Evans Hughes, Republican, 54.4
Kearney, Woodrow Wilson, Democrat, 62.83
Keith, Woodrow Wilson, Democrat, 54.62
Keya Paha, Woodrow Wilson, Democrat, 50.44
Kimball, Woodrow Wilson, Democrat, 59.78
Knox, Woodrow Wilson, Democrat, 53.79
Lancaster, Woodrow Wilson, Democrat, 54.49
Lincoln, Woodrow Wilson, Democrat, 57.96
Logan, Woodrow Wilson, Democrat, 57.76
Loup, Woodrow Wilson, Democrat, 50.81
Madison, Charles Evans Hughes, Republican, 49.58
McPherson, Woodrow Wilson, Democrat, 57.86
Merrick, Woodrow Wilson, Democrat, 51.33
Morrill, Woodrow Wilson, Democrat, 62.18
Nance, Woodrow Wilson, Democrat, 54.57
Nemaha, Woodrow Wilson, Democrat, 52.15
Nuckolls, Woodrow Wilson, Democrat, 53.41
Otoe, Woodrow Wilson, Democrat, 51.34
Pawnee, Charles Evans Hughes, Republican, 49.66
Perkins, Woodrow Wilson, Democrat, 60.61
Phelps, Woodrow Wilson, Democrat, 56.66
Pierce, Charles Evans Hughes, Republican, 53.6
Platte, Woodrow Wilson, Democrat, 54.76
Polk, Woodrow Wilson, Democrat, 57.8
Red Willow, Woodrow Wilson, Democrat, 55.2
Richardson, Woodrow Wilson, Democrat, 54.98
Rock, Woodrow Wilson, Democrat, 51.08
Saline, Woodrow Wilson, Democrat, 63.23
Sarpy, Woodrow Wilson, Democrat, 58.46
Saunders, Woodrow Wilson, Democrat, 55.73
Scotts Bluff, Woodrow Wilson, Democrat, 54.07
Seward, Charles Evans Hughes, Republican, 50.11
Sheridan, Woodrow Wilson, Democrat, 62.02
Sherman, Woodrow Wilson, Democrat, 59.57
Sioux, Woodrow Wilson, Democrat, 65.34
Stanton, Woodrow Wilson, Democrat, 53.64
Thayer, Charles Evans Hughes, Republican, 51.26
Thomas, Woodrow Wilson, Democrat, 48.97
Thurston, Woodrow Wilson, Democrat, 62.47
Valley, Woodrow Wilson, Democrat, 60.22
Washington, Woodrow Wilson, Democrat, 52.71
Wayne, Charles Evans Hughes, Republican, 53.26
Webster, Woodrow Wilson, Democrat, 53.01
Wheeler, Woodrow Wilson, Democrat, 54.66
York, Woodrow Wilson, Democrat, 50.7
