#, Charles Evans Hughes, Republican, 0
Adams, Charles Evans Hughes, Republican, 957
Ashland, Charles Evans Hughes, Republican, 1998
Barron, Charles Evans Hughes, Republican, 2746
Bayfield, Charles Evans Hughes, Republican, 1320
Brown, Woodrow Wilson, Democrat, 5771
Buffalo, Charles Evans Hughes, Republican, 1492
Burnett, Charles Evans Hughes, Republican, 1007
Calumet, Charles Evans Hughes, Republican, 1979
Chippewa, Charles Evans Hughes, Republican, 3324
Clark, Charles Evans Hughes, Republican, 3371
Columbia, Charles Evans Hughes, Republican, 3395
Crawford, Charles Evans Hughes, Republican, 1883
Dane, Woodrow Wilson, Democrat, 9859
Dodge, Charles Evans Hughes, Republican, 4887
Door, Charles Evans Hughes, Republican, 1656
Douglas, Charles Evans Hughes, Republican, 3007
Dunn, Charles Evans Hughes, Republican, 2556
Eau Claire, Charles Evans Hughes, Republican, 2922
Florence, Charles Evans Hughes, Republican, 412
Fond du Lac, Charles Evans Hughes, Republican, 5781
Forest, Charles Evans Hughes, Republican, 738
Grant, Charles Evans Hughes, Republican, 4718
Green, Charles Evans Hughes, Republican, 2422
Green Lake, Charles Evans Hughes, Republican, 1647
Iowa, Charles Evans Hughes, Republican, 2271
Iron, Charles Evans Hughes, Republican, 672
Jackson, Charles Evans Hughes, Republican, 1866
Jefferson, Charles Evans Hughes, Republican, 3785
Juneau, Charles Evans Hughes, Republican, 2292
Kenosha, Charles Evans Hughes, Republican, 3537
Kewaunee, Woodrow Wilson, Democrat, 2011
La Crosse, Woodrow Wilson, Democrat, 4123
Lafayette, Charles Evans Hughes, Republican, 2544
Langlade, Woodrow Wilson, Democrat, 1755
Lincoln, Charles Evans Hughes, Republican, 2189
Manitowoc, Woodrow Wilson, Democrat, 4338
Marathon, Charles Evans Hughes, Republican, 5838
Marinette, Charles Evans Hughes, Republican, 2767
Marquette, Charles Evans Hughes, Republican, 1377
Milwaukee, Woodrow Wilson, Democrat, 34812
Monroe, Charles Evans Hughes, Republican, 3013
Oconto, Charles Evans Hughes, Republican, 2570
Oneida, Charles Evans Hughes, Republican, 1089
Outagamie, Charles Evans Hughes, Republican, 5302
Ozaukee, Charles Evans Hughes, Republican, 1610
Pepin, Charles Evans Hughes, Republican, 766
Pierce, Charles Evans Hughes, Republican, 1945
Polk, Charles Evans Hughes, Republican, 2080
Portage, Woodrow Wilson, Democrat, 3000
Price, Charles Evans Hughes, Republican, 1620
Racine, Charles Evans Hughes, Republican, 5081
Richland, Charles Evans Hughes, Republican, 2051
Rock, Charles Evans Hughes, Republican, 7011
Rusk, Charles Evans Hughes, Republican, 989
St. Croix, Charles Evans Hughes, Republican, 2731
Sauk, Charles Evans Hughes, Republican, 3779
Sawyer, Woodrow Wilson, Democrat, 562
Shawano, Charles Evans Hughes, Republican, 3415
Sheboygan, Charles Evans Hughes, Republican, 5562
Taylor, Charles Evans Hughes, Republican, 1544
Trempealeau, Charles Evans Hughes, Republican, 2138
Vernon, Charles Evans Hughes, Republican, 2912
Vilas, Charles Evans Hughes, Republican, 531
Walworth, Charles Evans Hughes, Republican, 3988
Washburn, Charles Evans Hughes, Republican, 938
Washington, Charles Evans Hughes, Republican, 2892
Waukesha, Woodrow Wilson, Democrat, 4192
Waupaca, Charles Evans Hughes, Republican, 4492
Waushara, Charles Evans Hughes, Republican, 2345
Winnebago, Charles Evans Hughes, Republican, 5923
Wood, Charles Evans Hughes, Republican, 2954
