Alachua, James M Cox, Democrat, 72.52
Baker, James M Cox, Democrat, 68.11
Bay, James M Cox, Democrat, 54.9
Bradford, James M Cox, Democrat, 78.82
Brevard, James M Cox, Democrat, 53.31
Broward, Warren G Harding, Republican, 44.24
Calhoun, James M Cox, Democrat, 78.42
Citrus, James M Cox, Democrat, 82.61
Clay, James M Cox, Democrat, 49.69
Columbia, James M Cox, Democrat, 80.88
Dade, James M Cox, Democrat, 53.08
De Soto, James M Cox, Democrat, 64.93
Duval, James M Cox, Democrat, 64.21
Escambia, James M Cox, Democrat, 65.2
Flagler, James M Cox, Democrat, 55.08
Franklin, James M Cox, Democrat, 62.05
Gadsden, James M Cox, Democrat, 96.68
Hamilton, James M Cox, Democrat, 74.39
Hernando, James M Cox, Democrat, 76.04
Hillsborough, James M Cox, Democrat, 56.49
Holmes, James M Cox, Democrat, 54.31
Jackson, James M Cox, Democrat, 78.7
Jefferson, James M Cox, Democrat, 72.08
Lafayette, James M Cox, Democrat, 86.55
Lake, James M Cox, Democrat, 67.72
Lee, James M Cox, Democrat, 55.37
Leon, James M Cox, Democrat, 71.75
Levy, James M Cox, Democrat, 69.01
Liberty, James M Cox, Democrat, 91.63
Madison, James M Cox, Democrat, 93.31
Manatee, James M Cox, Democrat, 62.43
Marion, James M Cox, Democrat, 62.43
Monroe, James M Cox, Democrat, 56.04
Nassau, James M Cox, Democrat, 72.12
Okaloosa, James M Cox, Democrat, 56.63
Okeechobee, James M Cox, Democrat, 65.11
Orange, James M Cox, Democrat, 55.48
Osceola, Warren G Harding, Republican, 55.32
Palm Beach, Warren G Harding, Republican, 48.69
Pasco, James M Cox, Democrat, 61.89
Pinellas, James M Cox, Democrat, 48.94
Polk, James M Cox, Democrat, 65.86
Putnam, James M Cox, Democrat, 53.41
Santa Rosa, James M Cox, Democrat, 70.51
Seminole, James M Cox, Democrat, 62.5
St. Johns, James M Cox, Democrat, 56.3
St. Lucie, James M Cox, Democrat, 58.44
Sumter, James M Cox, Democrat, 79.74
Suwannee, James M Cox, Democrat, 72.56
Taylor, James M Cox, Democrat, 77.98
Volusia, James M Cox, Democrat, 52.47
Wakulla, James M Cox, Democrat, 79.34
Walton, James M Cox, Democrat, 64.24
Washington, James M Cox, Democrat, 61.98
