Adams, Warren G Harding, Republican, 57.07
Alexander, Warren G Harding, Republican, 61.92
Bond, Warren G Harding, Republican, 64.67
Boone, Warren G Harding, Republican, 89.39
Brown, James M Cox, Democrat, 52.91
Bureau, Warren G Harding, Republican, 74.94
Calhoun, Warren G Harding, Republican, 64.82
Carroll, Warren G Harding, Republican, 86.65
Cass, Warren G Harding, Republican, 54.06
Champaign, Warren G Harding, Republican, 71.83
Christian, Warren G Harding, Republican, 52.75
Clark, Warren G Harding, Republican, 55.35
Clay, Warren G Harding, Republican, 59.9
Clinton, Warren G Harding, Republican, 63.71
Coles, Warren G Harding, Republican, 58.76
Cook, Warren G Harding, Republican, 71.12
Crawford, Warren G Harding, Republican, 55.02
Cumberland, Warren G Harding, Republican, 58.18
DeKalb, Warren G Harding, Republican, 83.93
DeWitt, Warren G Harding, Republican, 60.68
Douglas, Warren G Harding, Republican, 65.21
DuPage, Warren G Harding, Republican, 82
Edgar, Warren G Harding, Republican, 53.29
Edwards, Warren G Harding, Republican, 79.21
Effingham, Warren G Harding, Republican, 57.47
Fayette, Warren G Harding, Republican, 58.48
Ford, Warren G Harding, Republican, 82.4
Franklin, Warren G Harding, Republican, 51.11
Fulton, Warren G Harding, Republican, 59.25
Gallatin, Warren G Harding, Republican, 49.94
Greene, James M Cox, Democrat, 49.15
Grundy, Warren G Harding, Republican, 80.05
Hamilton, Warren G Harding, Republican, 54.71
Hancock, Warren G Harding, Republican, 57.75
Hardin, Warren G Harding, Republican, 61.54
Henderson, Warren G Harding, Republican, 76.65
Henry, Warren G Harding, Republican, 78.96
Iroquois, Warren G Harding, Republican, 77.79
Jackson, Warren G Harding, Republican, 59.96
Jasper, Warren G Harding, Republican, 51.63
Jefferson, Warren G Harding, Republican, 53.57
Jersey, Warren G Harding, Republican, 57.9
Jo Daviess, Warren G Harding, Republican, 76.25
Johnson, Warren G Harding, Republican, 70.91
Kane, Warren G Harding, Republican, 82.82
Kankakee, Warren G Harding, Republican, 79.33
Kendall, Warren G Harding, Republican, 87.99
Knox, Warren G Harding, Republican, 73.85
Lake, Warren G Harding, Republican, 82.28
LaSalle, Warren G Harding, Republican, 73.23
Lawrence, Warren G Harding, Republican, 54.17
Lee, Warren G Harding, Republican, 78.94
Livingston, Warren G Harding, Republican, 74.83
Logan, Warren G Harding, Republican, 64.79
Macon, Warren G Harding, Republican, 65.27
Macoupin, Warren G Harding, Republican, 44.68
Madison, Warren G Harding, Republican, 57.82
Marion, Warren G Harding, Republican, 52.06
Marshall, Warren G Harding, Republican, 67.61
Mason, Warren G Harding, Republican, 58.4
Massac, Warren G Harding, Republican, 82.98
McDonough, Warren G Harding, Republican, 63.18
McHenry, Warren G Harding, Republican, 85.1
McLean, Warren G Harding, Republican, 65.27
Menard, Warren G Harding, Republican, 59.19
Mercer, Warren G Harding, Republican, 74.58
Monroe, Warren G Harding, Republican, 70.11
Montgomery, Warren G Harding, Republican, 52.92
Morgan, Warren G Harding, Republican, 62.87
Moultrie, Warren G Harding, Republican, 55.76
Ogle, Warren G Harding, Republican, 82.99
Peoria, Warren G Harding, Republican, 66
Perry, Warren G Harding, Republican, 58.47
Piatt, Warren G Harding, Republican, 68.16
Pike, Warren G Harding, Republican, 54.12
Pope, Warren G Harding, Republican, 77.42
Pulaski, Warren G Harding, Republican, 62.85
Putnam, Warren G Harding, Republican, 74.04
Randolph, Warren G Harding, Republican, 62.54
Richland, Warren G Harding, Republican, 57.05
Rock Island, Warren G Harding, Republican, 71.32
Saline, Warren G Harding, Republican, 52.96
Sangamon, Warren G Harding, Republican, 59.42
Schuyler, Warren G Harding, Republican, 53.86
Scott, Warren G Harding, Republican, 52.25
Shelby, Warren G Harding, Republican, 53.93
St. Clair, Warren G Harding, Republican, 51.34
Stark, Warren G Harding, Republican, 79.57
Stephenson, Warren G Harding, Republican, 74.64
Tazewell, Warren G Harding, Republican, 62.69
Union, James M Cox, Democrat, 53.45
Vermilion, Warren G Harding, Republican, 61.74
Wabash, Warren G Harding, Republican, 52.4
Warren, Warren G Harding, Republican, 69.41
Washington, Warren G Harding, Republican, 70.76
Wayne, Warren G Harding, Republican, 60.5
White, Warren G Harding, Republican, 51.23
Whiteside, Warren G Harding, Republican, 81.74
Will, Warren G Harding, Republican, 76.37
Williamson, Warren G Harding, Republican, 56.73
Winnebago, Warren G Harding, Republican, 79.23
Woodford, Warren G Harding, Republican, 69.06
