Adair, Warren G Harding, Republican, 74.29
Adams, Warren G Harding, Republican, 62.43
Allamakee, Warren G Harding, Republican, 73.23
Appanoose, Warren G Harding, Republican, 65.5
Audubon, Warren G Harding, Republican, 67.68
Benton, Warren G Harding, Republican, 71.02
Black Hawk, Warren G Harding, Republican, 76.56
Boone, Warren G Harding, Republican, 71.07
Bremer, Warren G Harding, Republican, 86.49
Buchanan, Warren G Harding, Republican, 79.2
Buena Vista, Warren G Harding, Republican, 78.58
Butler, Warren G Harding, Republican, 86.69
Calhoun, Warren G Harding, Republican, 76.95
Carroll, Warren G Harding, Republican, 72.89
Cass, Warren G Harding, Republican, 78.23
Cedar, Warren G Harding, Republican, 77.88
Cerro Gordo, Warren G Harding, Republican, 75.73
Cherokee, Warren G Harding, Republican, 77.69
Chickasaw, Warren G Harding, Republican, 66.98
Clarke, Warren G Harding, Republican, 70.79
Clay, Warren G Harding, Republican, 80.05
Clayton, Warren G Harding, Republican, 77.5
Clinton, Warren G Harding, Republican, 66.98
Crawford, Warren G Harding, Republican, 68.65
Dallas, Warren G Harding, Republican, 70.63
Davis, Warren G Harding, Republican, 56.31
Decatur, Warren G Harding, Republican, 61.17
Delaware, Warren G Harding, Republican, 82.96
Des Moines, Warren G Harding, Republican, 63.76
Dickinson, Warren G Harding, Republican, 80.42
Dubuque, Warren G Harding, Republican, 59.22
Emmet, Warren G Harding, Republican, 76
Fayette, Warren G Harding, Republican, 79.14
Floyd, Warren G Harding, Republican, 84.84
Franklin, Warren G Harding, Republican, 86.06
Fremont, Warren G Harding, Republican, 59.33
Greene, Warren G Harding, Republican, 78.98
Grundy, Warren G Harding, Republican, 85.82
Guthrie, Warren G Harding, Republican, 75.19
Hamilton, Warren G Harding, Republican, 82.88
Hancock, Warren G Harding, Republican, 80.84
Hardin, Warren G Harding, Republican, 83.97
Harrison, Warren G Harding, Republican, 62.89
Henry, Warren G Harding, Republican, 71.91
Howard, Warren G Harding, Republican, 66.46
Humboldt, Warren G Harding, Republican, 82.82
Ida, Warren G Harding, Republican, 75.73
Iowa, Warren G Harding, Republican, 69.92
Jackson, Warren G Harding, Republican, 67.99
Jasper, Warren G Harding, Republican, 67.25
Jefferson, Warren G Harding, Republican, 74.62
Johnson, Warren G Harding, Republican, 52.15
Jones, Warren G Harding, Republican, 70.46
Keokuk, Warren G Harding, Republican, 67.95
Kossuth, Warren G Harding, Republican, 77.46
Lee, Warren G Harding, Republican, 65.94
Linn, Warren G Harding, Republican, 72.02
Louisa, Warren G Harding, Republican, 77.49
Lucas, Warren G Harding, Republican, 68.56
Lyon, Warren G Harding, Republican, 81.48
Madison, Warren G Harding, Republican, 68.83
Mahaska, Warren G Harding, Republican, 64.55
Marion, Warren G Harding, Republican, 56.62
Marshall, Warren G Harding, Republican, 79.1
Mills, Warren G Harding, Republican, 69
Mitchell, Warren G Harding, Republican, 83.95
Monona, Warren G Harding, Republican, 69.49
Monroe, Warren G Harding, Republican, 61.21
Montgomery, Warren G Harding, Republican, 76.5
Muscatine, Warren G Harding, Republican, 70.3
O'Brien, Warren G Harding, Republican, 76.51
Osceola, Warren G Harding, Republican, 76.73
Page, Warren G Harding, Republican, 76.1
Palo Alto, Warren G Harding, Republican, 71.42
Plymouth, Warren G Harding, Republican, 76.16
Pocahontas, Warren G Harding, Republican, 70.07
Polk, Warren G Harding, Republican, 66.82
Pottawattamie, Warren G Harding, Republican, 64.66
Poweshiek, Warren G Harding, Republican, 71.41
Ringgold, Warren G Harding, Republican, 72.66
Sac, Warren G Harding, Republican, 78.69
Scott, Warren G Harding, Republican, 58.75
Shelby, Warren G Harding, Republican, 70.55
Sioux, Warren G Harding, Republican, 79.29
Story, Warren G Harding, Republican, 80.8
Tama, Warren G Harding, Republican, 70.01
Taylor, Warren G Harding, Republican, 72.41
Union, Warren G Harding, Republican, 65.63
Van Buren, Warren G Harding, Republican, 71
Wapello, Warren G Harding, Republican, 67.99
Warren, Warren G Harding, Republican, 70.51
Washington, Warren G Harding, Republican, 71.09
Wayne, Warren G Harding, Republican, 62.51
Webster, Warren G Harding, Republican, 64
Winnebago, Warren G Harding, Republican, 87.08
Winneshiek, Warren G Harding, Republican, 75.98
Woodbury, Warren G Harding, Republican, 62.07
Worth, Warren G Harding, Republican, 84.83
Wright, Warren G Harding, Republican, 81.04
