Autauga, Calvin Coolidge, Republican, 81.87
Baldwin, Calvin Coolidge, Republican, 51.72
Barbour, Calvin Coolidge, Republican, 91.59
Bibb, Calvin Coolidge, Republican, 63.68
Blount, Calvin Coolidge, Republican, 56.15
Bullock, Calvin Coolidge, Republican, 98.83
Butler, Calvin Coolidge, Republican, 83.33
Calhoun, Calvin Coolidge, Republican, 67.65
Chambers, Calvin Coolidge, Republican, 91
Cherokee, Calvin Coolidge, Republican, 60.63
Chilton, John W Davis, Democrat, 63.19
Choctaw, Calvin Coolidge, Republican, 97.8
Clarke, Calvin Coolidge, Republican, 91.93
Clay, Calvin Coolidge, Republican, 59.88
Cleburne, John W Davis, Democrat, 51.18
Coffee, Calvin Coolidge, Republican, 82.11
Colbert, Calvin Coolidge, Republican, 65.98
Conecuh, Calvin Coolidge, Republican, 88.1
Coosa, Calvin Coolidge, Republican, 60.12
Covington, Calvin Coolidge, Republican, 85.88
Crenshaw, Calvin Coolidge, Republican, 89.06
Cullman, Calvin Coolidge, Republican, 49.79
Dale, Calvin Coolidge, Republican, 77.52
Dallas, Calvin Coolidge, Republican, 91.76
DeKalb, John W Davis, Democrat, 53.35
Elmore, Calvin Coolidge, Republican, 81.62
Escambia, Calvin Coolidge, Republican, 85.7
Etowah, Calvin Coolidge, Republican, 61.41
Fayette, Calvin Coolidge, Republican, 57.35
Franklin, John W Davis, Democrat, 51.82
Geneva, Calvin Coolidge, Republican, 69.53
Greene, Calvin Coolidge, Republican, 98.31
Hale, Calvin Coolidge, Republican, 96.72
Henry, Calvin Coolidge, Republican, 78.84
Houston, Calvin Coolidge, Republican, 83.87
Jackson, Calvin Coolidge, Republican, 66.11
Jefferson, Calvin Coolidge, Republican, 63.64
Lamar, Calvin Coolidge, Republican, 79.4
Lauderdale, Calvin Coolidge, Republican, 71.3
Lawrence, Calvin Coolidge, Republican, 67.26
Lee, Calvin Coolidge, Republican, 85.77
Limestone, Calvin Coolidge, Republican, 87.35
Lowndes, Calvin Coolidge, Republican, 95.86
Macon, Calvin Coolidge, Republican, 91.34
Madison, Calvin Coolidge, Republican, 83.76
Marengo, Calvin Coolidge, Republican, 98.42
Marion, Calvin Coolidge, Republican, 99.05
Marshall, Calvin Coolidge, Republican, 59.31
Mobile, Calvin Coolidge, Republican, 64.91
Monroe, Calvin Coolidge, Republican, 96.09
Montgomery, Calvin Coolidge, Republican, 87.7
Morgan, Calvin Coolidge, Republican, 71.58
Perry, Calvin Coolidge, Republican, 96.17
Pickens, Calvin Coolidge, Republican, 87.45
Pike, Calvin Coolidge, Republican, 97.34
Randolph, Calvin Coolidge, Republican, 65.32
Russell, Calvin Coolidge, Republican, 91.33
St. Clair, John W Davis, Democrat, 50.64
Shelby, Calvin Coolidge, Republican, 49.18
Sumter, Calvin Coolidge, Republican, 94.68
Talladega, Calvin Coolidge, Republican, 71.72
Tallapoosa, Calvin Coolidge, Republican, 99.59
Tuscaloosa, Calvin Coolidge, Republican, 85.8
Walker, Calvin Coolidge, Republican, 54.59
Washington, Calvin Coolidge, Republican, 89.97
Wilcox, Calvin Coolidge, Republican, 97.81
Winston, John W Davis, Democrat, 61.02
