Alachua, John W Davis, Democrat, 71.4
Baker, John W Davis, Democrat, 56.73
Bay, John W Davis, Democrat, 67.15
Bradford, John W Davis, Democrat, 81.67
Brevard, John W Davis, Democrat, 57.94
Broward, John W Davis, Democrat, 42.87
Calhoun, John W Davis, Democrat, 78.23
Charlotte, John W Davis, Democrat, 60
Citrus, John W Davis, Democrat, 83.76
Clay, John W Davis, Democrat, 57.17
Collier, John W Davis, Democrat, 82.22
Columbia, John W Davis, Democrat, 81.6
Dade, John W Davis, Democrat, 32.83
DeSoto, John W Davis, Democrat, 70.05
Dixie, John W Davis, Democrat, 94.14
Duval, John W Davis, Democrat, 51.93
Escambia, John W Davis, Democrat, 52.74
Flagler, John W Davis, Democrat, 54.3
Franklin, John W Davis, Democrat, 76.51
Gadsden, John W Davis, Democrat, 84.91
Glades, John W Davis, Democrat, 61.1
Hamilton, John W Davis, Democrat, 75.3
Hardee, John W Davis, Democrat, 68.24
Hendry, John W Davis, Democrat, 76.74
Hernando, John W Davis, Democrat, 74.81
Highlands, John W Davis, Democrat, 57.56
Hillsborough, John W Davis, Democrat, 62.26
Holmes, John W Davis, Democrat, 55.9
Jackson, John W Davis, Democrat, 80.76
Jefferson, John W Davis, Democrat, 83.11
Lafayette, John W Davis, Democrat, 88.18
Lake, John W Davis, Democrat, 53.12
Lee, John W Davis, Democrat, 52.1
Leon, John W Davis, Democrat, 85.32
Levy, John W Davis, Democrat, 64.22
Liberty, John W Davis, Democrat, 86.16
Madison, John W Davis, Democrat, 90.73
Manatee, John W Davis, Democrat, 55.04
Marion, John W Davis, Democrat, 73.43
Monroe, John W Davis, Democrat, 67.78
Nassau, John W Davis, Democrat, 80.65
Okaloosa, John W Davis, Democrat, 67.37
Okeechobee, John W Davis, Democrat, 66.91
Orange, John W Davis, Democrat, 45.84
Osceola, John W Davis, Democrat, 50.2
Palm Beach, Calvin Coolidge, Republican, 46.14
Pasco, John W Davis, Democrat, 53.57
Pinellas, Calvin Coolidge, Republican, 47.53
Polk, John W Davis, Democrat, 57.97
Putnam, John W Davis, Democrat, 54.41
St. Johns, John W Davis, Democrat, 54.3
St. Lucie, John W Davis, Democrat, 50.92
Santa Rosa, John W Davis, Democrat, 70.64
Sarasota, John W Davis, Democrat, 44.16
Seminole, John W Davis, Democrat, 59.58
Sumter, John W Davis, Democrat, 70.94
Suwannee, John W Davis, Democrat, 83.65
Taylor, John W Davis, Democrat, 78.29
Union, John W Davis, Democrat, 92.53
Volusia, John W Davis, Democrat, 51.11
Wakulla, John W Davis, Democrat, 85.35
Walton, John W Davis, Democrat, 70.39
Washington, John W Davis, Democrat, 67.55
