Androscoggin, Calvin Coolidge, Republican, 59.8
Aroostook, Calvin Coolidge, Republican, 81.61
Cumberland, Calvin Coolidge, Republican, 73.31
Franklin, Calvin Coolidge, Republican, 72.4
Hancock, Calvin Coolidge, Republican, 77.37
Kennebec, Calvin Coolidge, Republican, 72.26
Knox, Calvin Coolidge, Republican, 69.99
Lincoln, Calvin Coolidge, Republican, 77.36
Oxford, Calvin Coolidge, Republican, 69.9
Penobscot, Calvin Coolidge, Republican, 74.93
Piscataquis, Calvin Coolidge, Republican, 75.94
Sagadahoc, Calvin Coolidge, Republican, 73.26
Somerset, Calvin Coolidge, Republican, 73.83
Waldo, Calvin Coolidge, Republican, 75.8
Washington, Calvin Coolidge, Republican, 69.71
York, Calvin Coolidge, Republican, 68.17
