Aitkin, Calvin Coolidge, Republican, 53.67
Anoka, Calvin Coolidge, Republican, 57.15
Becker, Robert M La Follette, Progressive, 45.92
Beltrami, Robert M La Follette, Progressive, 47.67
Benton, Robert M La Follette, Progressive, 42.28
Big Stone, Calvin Coolidge, Republican, 46.14
Blue Earth, Calvin Coolidge, Republican, 55.09
Brown, Robert M La Follette, Progressive, 63.81
Carlton, Calvin Coolidge, Republican, 49.76
Carver, Robert M La Follette, Progressive, 52.78
Cass, Calvin Coolidge, Republican, 54.13
Chippewa, Robert M La Follette, Progressive, 54.57
Chisago, Calvin Coolidge, Republican, 52.8
Clay, Robert M La Follette, Progressive, 48.54
Clearwater, Robert M La Follette, Progressive, 58.59
Cook, Calvin Coolidge, Republican, 67.97
Cottonwood, Calvin Coolidge, Republican, 56.99
Crow Wing, Calvin Coolidge, Republican, 50.07
Dakota, Robert M La Follette, Progressive, 47.16
Dodge, Calvin Coolidge, Republican, 65.97
Douglas, Robert M La Follette, Progressive, 55.39
Faribault, Calvin Coolidge, Republican, 58.11
Fillmore, Calvin Coolidge, Republican, 62.75
Freeborn, Calvin Coolidge, Republican, 63.75
Goodhue, Calvin Coolidge, Republican, 59.05
Grant, Calvin Coolidge, Republican, 49.21
Hennepin, Calvin Coolidge, Republican, 59.02
Houston, Calvin Coolidge, Republican, 53.58
Hubbard, Calvin Coolidge, Republican, 57.81
Isanti, Robert M La Follette, Progressive, 58.07
Itasca, Calvin Coolidge, Republican, 60.1
Jackson, Calvin Coolidge, Republican, 48.96
Kanabec, Robert M La Follette, Progressive, 48.01
Kandiyohi, Robert M La Follette, Progressive, 56.74
Kittson, Robert M La Follette, Progressive, 48.34
Koochiching, Robert M La Follette, Progressive, 56.13
Lac qui Parle, Calvin Coolidge, Republican, 52.26
Lake, Robert M La Follette, Progressive, 49.16
Lake of the Woods, Robert M La Follette, Progressive, 50.55
Le Sueur, Robert M La Follette, Progressive, 42.52
Lincoln, Calvin Coolidge, Republican, 48.03
Lyon, Calvin Coolidge, Republican, 53.7
McLeod, Robert M La Follette, Progressive, 45.78
Mahnomen, Robert M La Follette, Progressive, 57.91
Marshall, Robert M La Follette, Progressive, 53.88
Martin, Calvin Coolidge, Republican, 56.24
Meeker, Robert M La Follette, Progressive, 47.99
Mille Lacs, Calvin Coolidge, Republican, 48.79
Morrison, Robert M La Follette, Progressive, 47.19
Mower, Calvin Coolidge, Republican, 55.69
Murray, Robert M La Follette, Progressive, 46.12
Nicollet, Calvin Coolidge, Republican, 50.05
Nobles, Robert M La Follette, Progressive, 46.75
Norman, Robert M La Follette, Progressive, 49.83
Olmsted, Calvin Coolidge, Republican, 56.5
Otter Tail, Calvin Coolidge, Republican, 55.45
Pennington, Robert M La Follette, Progressive, 64.28
Pine, Robert M La Follette, Progressive, 49.64
Pipestone, Calvin Coolidge, Republican, 48.16
Polk, Robert M La Follette, Progressive, 49.78
Pope, Robert M La Follette, Progressive, 50.41
Ramsey, Calvin Coolidge, Republican, 47.66
Red Lake, Robert M La Follette, Progressive, 52.33
Redwood, Calvin Coolidge, Republican, 50.66
Renville, Robert M La Follette, Progressive, 48.84
Rice, Calvin Coolidge, Republican, 61.26
Rock, Calvin Coolidge, Republican, 51.98
Roseau, Robert M La Follette, Progressive, 55.85
Saint Louis, Calvin Coolidge, Republican, 57.31
Scott, Robert M La Follette, Progressive, 51.48
Sherburne, Calvin Coolidge, Republican, 63.65
Sibley, Robert M La Follette, Progressive, 58
Stearns, Robert M La Follette, Progressive, 54.2
Steele, Calvin Coolidge, Republican, 59.5
Stevens, Calvin Coolidge, Republican, 48.99
Swift, Robert M La Follette, Progressive, 59.28
Todd, Calvin Coolidge, Republican, 53
Traverse, Robert M La Follette, Progressive, 52.2
Wabasha, Calvin Coolidge, Republican, 44.93
Wadena, Calvin Coolidge, Republican, 54.83
Waseca, Robert M La Follette, Progressive, 54.54
Washington, Calvin Coolidge, Republican, 52.4
Watonwan, Calvin Coolidge, Republican, 53.57
Wilkin, Calvin Coolidge, Republican, 47.17
Winona, Robert M La Follette, Progressive, 47.47
Wright, Calvin Coolidge, Republican, 47.52
Yellow Medicine, Robert M La Follette, Progressive, 58.43
