Aurora, Robert M La Follette, Progressive, 38.72
Beadle, Calvin Coolidge, Republican, 53.37
Bennett, Calvin Coolidge, Republican, 57.07
Bon Homme, Calvin Coolidge, Republican, 41.79
Brookings, Calvin Coolidge, Republican, 48.51
Brown, Calvin Coolidge, Republican, 60.67
Brule, Robert M La Follette, Progressive, 40.13
Buffalo, Calvin Coolidge, Republican, 41.53
Butte, Calvin Coolidge, Republican, 55.59
Campbell, Calvin Coolidge, Republican, 54.55
Charles Mix, Robert M La Follette, Progressive, 44.52
Clark, Calvin Coolidge, Republican, 56.85
Clay, Robert M La Follette, Progressive, 42.99
Codington, Robert M La Follette, Progressive, 44.69
Corson, Calvin Coolidge, Republican, 56.5
Custer, Calvin Coolidge, Republican, 53.36
Davison, Calvin Coolidge, Republican, 51.71
Day, Calvin Coolidge, Republican, 55.17
Deuel, Calvin Coolidge, Republican, 60.32
Dewey, Calvin Coolidge, Republican, 53.05
Douglas, Calvin Coolidge, Republican, 50.25
Edmunds, Robert M La Follette, Progressive, 46.36
Fall River, Calvin Coolidge, Republican, 52.13
Faulk, Calvin Coolidge, Republican, 56.08
Grant, Robert M La Follette, Progressive, 51.06
Gregory, Calvin Coolidge, Republican, 44.61
Haakon, Calvin Coolidge, Republican, 49.87
Hamlin, Calvin Coolidge, Republican, 52.38
Hand, Calvin Coolidge, Republican, 54
Hanson, Robert M La Follette, Progressive, 44.61
Harding, Calvin Coolidge, Republican, 62.07
Hughes, Calvin Coolidge, Republican, 53.21
Hutchinson, Robert M La Follette, Progressive, 70.38
Hyde, Calvin Coolidge, Republican, 50.53
Jackson, Calvin Coolidge, Republican, 56.93
Jerauld, Calvin Coolidge, Republican, 52.89
Jones, Calvin Coolidge, Republican, 55.45
Kingsbury, Calvin Coolidge, Republican, 65.65
Lake, Robert M La Follette, Progressive, 47.51
Lawrence, Calvin Coolidge, Republican, 71.07
Lincoln, Robert M La Follette, Progressive, 49.83
Lyman, Calvin Coolidge, Republican, 44.3
Marshall, Calvin Coolidge, Republican, 51.54
McCook, Calvin Coolidge, Republican, 44.27
McPherson, Robert M La Follette, Progressive, 67.91
Meade, Calvin Coolidge, Republican, 57.43
Mellette, Calvin Coolidge, Republican, 39.93
Miner, Robert M La Follette, Progressive, 53.31
Minnehaha, Calvin Coolidge, Republican, 55.93
Moody, Robert M La Follette, Progressive, 50.05
Pennington, Calvin Coolidge, Republican, 63.57
Perkins, Calvin Coolidge, Republican, 59.21
Potter, Calvin Coolidge, Republican, 59.82
Roberts, Robert M La Follette, Progressive, 53.96
Sanborn, Calvin Coolidge, Republican, 47.34
Shannon, Calvin Coolidge, Republican, 88.89
Spink, Calvin Coolidge, Republican, 57.81
Stanley, Calvin Coolidge, Republican, 43.81
Sully, Calvin Coolidge, Republican, 59.04
Todd, Calvin Coolidge, Republican, 67.01
Tripp, Calvin Coolidge, Republican, 42.45
Turner, Robert M La Follette, Progressive, 46.41
Union, Calvin Coolidge, Republican, 45.04
Walworth, Robert M La Follette, Progressive, 50.98
Washabaugh, Calvin Coolidge, Republican, 57.88
Washington, Calvin Coolidge, Republican, 87.66
Yankton, Robert M La Follette, Progressive, 41.89
Ziebach, Calvin Coolidge, Republican, 55.01
