Beaver, Calvin Coolidge, Republican, 53.34
Box Elder, Calvin Coolidge, Republican, 56.18
Cache, Calvin Coolidge, Republican, 52.01
Carbon, Calvin Coolidge, Republican, 37.59
Daggett, Calvin Coolidge, Republican, 74.05
Davis, Calvin Coolidge, Republican, 55.51
Duchesne, Calvin Coolidge, Republican, 57.6
Emery, Calvin Coolidge, Republican, 42.98
Garfield, Calvin Coolidge, Republican, 69.57
Grand, Calvin Coolidge, Republican, 47.93
Iron, Calvin Coolidge, Republican, 66.47
Juab, Calvin Coolidge, Republican, 43.57
Kane, Calvin Coolidge, Republican, 80.22
Millard, Calvin Coolidge, Republican, 55.74
Morgan, Calvin Coolidge, Republican, 54.1
Piute, Calvin Coolidge, Republican, 61.42
Rich, Calvin Coolidge, Republican, 62.48
Salt Lake, Calvin Coolidge, Republican, 46.44
San Juan, Calvin Coolidge, Republican, 56.89
Sanpete, Calvin Coolidge, Republican, 56.39
Sevier, Calvin Coolidge, Republican, 56.44
Summit, Calvin Coolidge, Republican, 57.16
Tooele, Calvin Coolidge, Republican, 52.47
Uintah, Calvin Coolidge, Republican, 60.9
Utah, Calvin Coolidge, Republican, 46.28
Wasatch, Calvin Coolidge, Republican, 52.39
Washington, Calvin Coolidge, Republican, 54.96
Wayne, Calvin Coolidge, Republican, 57.27
Weber, Calvin Coolidge, Republican, 43.6
