Accomack, John W Davis, Democrat, 85.92
Albemarle, John W Davis, Democrat, 76.75
Alleghany, Calvin Coolidge, Republican, 52.48
Amelia, John W Davis, Democrat, 68.89
Amherst, John W Davis, Democrat, 82.29
Appomattox, John W Davis, Democrat, 88.72
Arlington, Calvin Coolidge, Republican, 44.74
Augusta, John W Davis, Democrat, 58.81
Bath, Calvin Coolidge, Republican, 48.74
Bedford, John W Davis, Democrat, 79.64
Bland, Calvin Coolidge, Republican, 49.96
Botetourt, John W Davis, Democrat, 51.82
Brunswick, John W Davis, Democrat, 90.33
Buchanan, Calvin Coolidge, Republican, 54.93
Buckingham, John W Davis, Democrat, 73.21
Campbell, John W Davis, Democrat, 74.03
Caroline, John W Davis, Democrat, 77.56
Carroll, Calvin Coolidge, Republican, 57.79
Charles City, John W Davis, Democrat, 60.78
Charlotte, John W Davis, Democrat, 80.87
Chesterfield, John W Davis, Democrat, 73.04
Clarke, John W Davis, Democrat, 88.19
Craig, John W Davis, Democrat, 61.46
Culpeper, John W Davis, Democrat, 79.06
Cumberland, John W Davis, Democrat, 81.72
Dickenson, John W Davis, Democrat, 53.1
Dinwiddie, John W Davis, Democrat, 82.53
Elizabeth City, John W Davis, Democrat, 63.22
Essex, John W Davis, Democrat, 82.03
Fairfax, John W Davis, Democrat, 62.2
Fauquier, John W Davis, Democrat, 74.55
Floyd, Calvin Coolidge, Republican, 65.04
Fluvanna, John W Davis, Democrat, 73.26
Franklin, John W Davis, Democrat, 63.55
Frederick, John W Davis, Democrat, 71.92
Giles, John W Davis, Democrat, 59.15
Gloucester, John W Davis, Democrat, 84.38
Goochland, John W Davis, Democrat, 65.89
Grayson, John W Davis, Democrat, 52.37
Greene, John W Davis, Democrat, 53.27
Greensville, John W Davis, Democrat, 72.77
Halifax, John W Davis, Democrat, 84.24
Hanover, John W Davis, Democrat, 80.88
Henrico, John W Davis, Democrat, 65.55
Henry, John W Davis, Democrat, 64.64
Highland, John W Davis, Democrat, 52.26
Isle of Wight, John W Davis, Democrat, 76.3
James City, John W Davis, Democrat, 72.08
King and Queen, John W Davis, Democrat, 69.47
King George, John W Davis, Democrat, 55.67
King William, John W Davis, Democrat, 69.79
Lancaster, John W Davis, Democrat, 84.43
Lee, Calvin Coolidge, Republican, 49.66
Loudoun, John W Davis, Democrat, 88.33
Louisa, John W Davis, Democrat, 67.59
Lunenburg, John W Davis, Democrat, 66.22
Madison, John W Davis, Democrat, 60.66
Mathews, John W Davis, Democrat, 76.78
Mecklenburg, John W Davis, Democrat, 84.3
Middlesex, John W Davis, Democrat, 83.75
Montgomery, John W Davis, Democrat, 52.65
Nansemond, John W Davis, Democrat, 82.67
Nelson, John W Davis, Democrat, 72.82
New Kent, John W Davis, Democrat, 63.8
Norfolk, John W Davis, Democrat, 73.05
Northampton, John W Davis, Democrat, 81.19
Northumberland, John W Davis, Democrat, 80.8
Nottoway, John W Davis, Democrat, 72.35
Orange, John W Davis, Democrat, 78.09
Page, John W Davis, Democrat, 49.34
Patrick, John W Davis, Democrat, 58.9
Pittsylvania, John W Davis, Democrat, 72.08
Powhatan, John W Davis, Democrat, 67.12
Prince Edward, John W Davis, Democrat, 82.73
Prince George, John W Davis, Democrat, 73.23
Prince William, John W Davis, Democrat, 72.39
Princess Anne, John W Davis, Democrat, 80.42
Pulaski, John W Davis, Democrat, 53.84
Rappahannock, John W Davis, Democrat, 78.22
Richmond, John W Davis, Democrat, 72.19
Roanoke, John W Davis, Democrat, 57.04
Rockbridge, John W Davis, Democrat, 65.38
Rockingham, John W Davis, Democrat, 49.38
Russell, John W Davis, Democrat, 57.03
Scott, Calvin Coolidge, Republican, 54.28
Shenandoah, Calvin Coolidge, Republican, 48.8
Smyth, Calvin Coolidge, Republican, 53.5
Southampton, John W Davis, Democrat, 79.7
Spotsylvania, John W Davis, Democrat, 60.87
Stafford, John W Davis, Democrat, 48.44
Surry, John W Davis, Democrat, 77.29
Sussex, John W Davis, Democrat, 81.26
Tazewell, Calvin Coolidge, Republican, 48.04
Warren, John W Davis, Democrat, 78.72
Warwick, John W Davis, Democrat, 76.78
Washington, John W Davis, Democrat, 51.2
Westmoreland, John W Davis, Democrat, 73.89
Wise, John W Davis, Democrat, 50.55
Wythe, Calvin Coolidge, Republican, 50.58
York, John W Davis, Democrat, 77.22
Alexandria City, John W Davis, Democrat, 57.96
Bristol City, John W Davis, Democrat, 68.79
Buena Vista City, John W Davis, Democrat, 59.95
Charlottesville City, John W Davis, Democrat, 71.64
Clifton Forge City, John W Davis, Democrat, 46.9
Danville City, John W Davis, Democrat, 70.37
Fredericksburg City, John W Davis, Democrat, 68.97
Hampton City, John W Davis, Democrat, 76.59
Harrisonburg City, Calvin Coolidge, Republican, 49.69
Hopewell City, John W Davis, Democrat, 56.42
Lynchburg City, John W Davis, Democrat, 74.08
Newport News City, John W Davis, Democrat, 56.56
Norfolk City, John W Davis, Democrat, 63.87
Petersburg City, John W Davis, Democrat, 83.45
Portsmouth City, John W Davis, Democrat, 64.26
Radford City, John W Davis, Democrat, 48.82
Richmond City, John W Davis, Democrat, 73.79
Roanoke City, John W Davis, Democrat, 61.07
South Norfolk City, John W Davis, Democrat, 64.01
Staunton City, John W Davis, Democrat, 63.52
Suffolk City, John W Davis, Democrat, 73.29
Williamsburg City, John W Davis, Democrat, 85.96
Winchester City, John W Davis, Democrat, 65.18
