Alpine, Herbert Hoover, Republican, 94.23
Orange, Herbert Hoover, Republican, 79.35
Riverside, Herbert Hoover, Republican, 77.94
San Bernardino, Herbert Hoover, Republican, 74.73
Los Angeles, Herbert Hoover, Republican, 70.22
Ventura, Herbert Hoover, Republican, 70.17
Humboldt, Herbert Hoover, Republican, 69.75
Santa Barbara, Herbert Hoover, Republican, 69.44
Santa Cruz, Herbert Hoover, Republican, 68.53
Imperial, Herbert Hoover, Republican, 67.61
San Diego, Herbert Hoover, Republican, 67.14
Stanislaus, Herbert Hoover, Republican, 67.13
Tehama, Herbert Hoover, Republican, 65.58
Alameda, Herbert Hoover, Republican, 65.42
Lake, Herbert Hoover, Republican, 65.37
Glenn, Herbert Hoover, Republican, 65.03
Santa Clara, Herbert Hoover, Republican, 63.81
Tulare, Herbert Hoover, Republican, 63.76
Mendocino, Herbert Hoover, Republican, 63.39
Monterey, Herbert Hoover, Republican, 63.12
Kern, Herbert Hoover, Republican, 62.67
Mono, Herbert Hoover, Republican, 61.8
San Joaquin, Herbert Hoover, Republican, 61.1
San Luis Obispo, Herbert Hoover, Republican, 60.82
Butte, Herbert Hoover, Republican, 60.45
Contra Costa, Herbert Hoover, Republican, 60.38
Merced, Herbert Hoover, Republican, 60.17
Sonoma, Herbert Hoover, Republican, 59.71
San Benito, Herbert Hoover, Republican, 58.87
San Mateo, Herbert Hoover, Republican, 58.87
Napa, Herbert Hoover, Republican, 57.48
Marin, Herbert Hoover, Republican, 57.44
Inyo, Herbert Hoover, Republican, 57.37
Yolo, Herbert Hoover, Republican, 56.96
Modoc, Herbert Hoover, Republican, 56.75
Lassen, Herbert Hoover, Republican, 56.73
Colusa, Herbert Hoover, Republican, 56.3
Del Norte, Herbert Hoover, Republican, 55.87
Siskiyou, Herbert Hoover, Republican, 55.49
Mariposa, Herbert Hoover, Republican, 55.03
Madera, Herbert Hoover, Republican, 54.88
Tuolumne, Herbert Hoover, Republican, 54.8
Fresno, Herbert Hoover, Republican, 54.3
Sutter, Herbert Hoover, Republican, 53.98
Calaveras, Herbert Hoover, Republican, 53.79
Solano, Herbert Hoover, Republican, 52.32
Shasta, Herbert Hoover, Republican, 52.2
Nevada, Herbert Hoover, Republican, 52
Sierra, Herbert Hoover, Republican, 51.52
Kings, Herbert Hoover, Republican, 51.51
Sacramento, Herbert Hoover, Republican, 50.83
Yuba, Herbert Hoover, Republican, 50.02
Placer, Al Smith, Democrat, 49.46
San Francisco, Al Smith, Democrat, 49.44
Trinity, Herbert Hoover, Republican, 48.85
Plumas, Al Smith, Democrat, 52
El Dorado, Al Smith, Democrat, 54.63
Amador, Al Smith, Democrat, 55.53
