Adams, Herbert Hoover, Republican, 70.63
Antelope, Herbert Hoover, Republican, 67.8
Arthur, Herbert Hoover, Republican, 69.43
Banner, Herbert Hoover, Republican, 86.3
Blaine, Herbert Hoover, Republican, 73.11
Boone, Herbert Hoover, Republican, 62.57
Box Butte, Herbert Hoover, Republican, 70.71
Boyd, Herbert Hoover, Republican, 58.72
Brown, Herbert Hoover, Republican, 74.06
Buffalo, Herbert Hoover, Republican, 72.22
Burt, Herbert Hoover, Republican, 66.34
Butler, Al Smith, Democrat, 53.99
Cass, Herbert Hoover, Republican, 63.91
Cedar, Al Smith, Democrat, 50.12
Chase, Herbert Hoover, Republican, 71.9
Cherry, Herbert Hoover, Republican, 69.04
Cheyenne, Herbert Hoover, Republican, 62.29
Clay, Herbert Hoover, Republican, 69.27
Colfax, Al Smith, Democrat, 65.47
Cuming, Al Smith, Democrat, 51.5
Custer, Herbert Hoover, Republican, 76.4
Dakota, Al Smith, Democrat, 50.65
Dawes, Herbert Hoover, Republican, 73.32
Dawson, Herbert Hoover, Republican, 74.25
Deuel, Herbert Hoover, Republican, 74.39
Dixon, Herbert Hoover, Republican, 64.81
Dodge, Herbert Hoover, Republican, 60.59
Douglas, Herbert Hoover, Republican, 52.6
Dundy, Herbert Hoover, Republican, 76.42
Fillmore, Herbert Hoover, Republican, 60.55
Franklin, Herbert Hoover, Republican, 63.44
Frontier, Herbert Hoover, Republican, 71.76
Furnas, Herbert Hoover, Republican, 73.17
Gage, Herbert Hoover, Republican, 69.83
Garden, Herbert Hoover, Republican, 77.82
Garfield, Herbert Hoover, Republican, 83.04
Gosper, Herbert Hoover, Republican, 64.1
Grant, Herbert Hoover, Republican, 70.94
Greeley, Al Smith, Democrat, 58.87
Hall, Herbert Hoover, Republican, 66.58
Hamilton, Herbert Hoover, Republican, 68.77
Harlan, Herbert Hoover, Republican, 69.98
Hayes, Herbert Hoover, Republican, 65.83
Hitchcock, Herbert Hoover, Republican, 73.71
Holt, Herbert Hoover, Republican, 54.43
Hooker, Herbert Hoover, Republican, 76.02
Howard, Al Smith, Democrat, 52.85
Jefferson, Herbert Hoover, Republican, 65.96
Johnson, Herbert Hoover, Republican, 63.67
Kearney, Herbert Hoover, Republican, 68.28
Keith, Herbert Hoover, Republican, 67.1
Keya Paha, Herbert Hoover, Republican, 79.76
Kimball, Herbert Hoover, Republican, 74.01
Knox, Herbert Hoover, Republican, 55.46
Lancaster, Herbert Hoover, Republican, 75.17
Lincoln, Herbert Hoover, Republican, 70.58
Logan, Herbert Hoover, Republican, 74.38
Loup, Herbert Hoover, Republican, 83.78
Madison, Herbert Hoover, Republican, 64.32
McPherson, Herbert Hoover, Republican, 84.31
Merrick, Herbert Hoover, Republican, 69.57
Morrill, Herbert Hoover, Republican, 74.27
Nance, Herbert Hoover, Republican, 63.28
Nemaha, Herbert Hoover, Republican, 68.08
Nuckolls, Herbert Hoover, Republican, 65.63
Otoe, Herbert Hoover, Republican, 62.68
Pawnee, Herbert Hoover, Republican, 64.29
Perkins, Herbert Hoover, Republican, 69.37
Phelps, Herbert Hoover, Republican, 77.56
Pierce, Herbert Hoover, Republican, 61.45
Platte, Al Smith, Democrat, 57.83
Polk, Herbert Hoover, Republican, 67.17
Red Willow, Herbert Hoover, Republican, 66.1
Richardson, Herbert Hoover, Republican, 65.09
Rock, Herbert Hoover, Republican, 77.11
Saline, Al Smith, Democrat, 53.97
Sarpy, Herbert Hoover, Republican, 51.04
Saunders, Herbert Hoover, Republican, 58.31
Scotts Bluff, Herbert Hoover, Republican, 81.76
Seward, Herbert Hoover, Republican, 59.68
Sheridan, Herbert Hoover, Republican, 70.22
Sherman, Al Smith, Democrat, 50.45
Sioux, Herbert Hoover, Republican, 72.54
Stanton, Al Smith, Democrat, 51.55
Thayer, Herbert Hoover, Republican, 61.8
Thomas, Herbert Hoover, Republican, 72.24
Thurston, Al Smith, Democrat, 54.14
Valley, Herbert Hoover, Republican, 69.27
Washington, Herbert Hoover, Republican, 58.71
Wayne, Herbert Hoover, Republican, 64.88
Webster, Herbert Hoover, Republican, 68.22
Wheeler, Herbert Hoover, Republican, 64.18
York, Herbert Hoover, Republican, 74.16
