Atlantic, Herbert Hoover, Republican, 65.95
Bergen, Herbert Hoover, Republican, 63.62
Burlington, Herbert Hoover, Republican, 73.19
Camden, Herbert Hoover, Republican, 69.78
Cape May, Herbert Hoover, Republican, 76.4
Cumberland, Herbert Hoover, Republican, 77.92
Essex, Herbert Hoover, Republican, 58.53
Gloucester, Herbert Hoover, Republican, 79.34
Hudson, Al Smith, Democrat, 60.22
Hunterdon, Herbert Hoover, Republican, 73.53
Mercer, Herbert Hoover, Republican, 59.21
Middlesex, Herbert Hoover, Republican, 52.35
Monmouth, Herbert Hoover, Republican, 65.84
Morris, Herbert Hoover, Republican, 68.35
Ocean, Herbert Hoover, Republican, 73.19
Passaic, Herbert Hoover, Republican, 54.53
Salem, Herbert Hoover, Republican, 80.23
Somerset, Herbert Hoover, Republican, 66.66
Sussex, Herbert Hoover, Republican, 74.5
Union, Herbert Hoover, Republican, 64.21
Warren, Herbert Hoover, Republican, 73.15
