Valencia, Herbert Hoover, Republican, 79.87
Chaves, Herbert Hoover, Republican, 69.48
San Juan, Herbert Hoover, Republican, 66.36
Catron, Herbert Hoover, Republican, 64.77
Torrance, Herbert Hoover, Republican, 64.54
Lincoln, Herbert Hoover, Republican, 64.32
Rio Arriba, Herbert Hoover, Republican, 62.67
McKinley, Herbert Hoover, Republican, 62.22
Union, Herbert Hoover, Republican, 61.21
Guadalupe, Herbert Hoover, Republican, 61.12
Santa Fe, Herbert Hoover, Republican, 60.25
Sandoval, Herbert Hoover, Republican, 59.44
San Miguel, Herbert Hoover, Republican, 59.26
Doña Ana, Herbert Hoover, Republican, 59.06
Eddy, Herbert Hoover, Republican, 57.11
Luna, Herbert Hoover, Republican, 56.8
Bernalillo, Herbert Hoover, Republican, 56.99
Taos, Herbert Hoover, Republican, 56.98
Colfax, Herbert Hoover, Republican, 56.29
Curry, Herbert Hoover, Republican, 56.16
Harding, Herbert Hoover, Republican, 55.72
Socorro, Herbert Hoover, Republican, 55.32
Sierra, Herbert Hoover, Republican, 53.79
Lea, Herbert Hoover, Republican, 52.96
Mora, Herbert Hoover, Republican, 52.62
Hidalgo, Herbert Hoover, Republican, 52.38
Otero, Herbert Hoover, Republican, 51.91
Roosevelt, Herbert Hoover, Republican, 51.1
Grant, Herbert Hoover, Republican, 50.69
Quay, Herbert Hoover, Republican, 50.26
De Baca, Al Smith, Democrat, 51.87
